,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,MO,Adair,3665,3985,4052,3994,3982,4185,4151,4151,4031,3962
4,House Heating Fuel: Fuel Oil,MO,Adair,41,23,25,12,30,16,19,16,19,5
5,House Heating Fuel: Gas,MO,Adair,3811,3570,3460,3466,3371,3258,3267,3390,3446,3368
6,House Heating Fuel: Propane,MO,Adair,1488,1401,1328,1508,1698,1712,1656,1723,1700,1603
7,House Heating Fuel: Wood,MO,Adair,471,551,572,497,407,369,286,262,261,255
3,House Heating Fuel: Electric,MO,Andrew,2931,3064,3143,3131,3074,3195,3284,3170,3209,3242
4,House Heating Fuel: Fuel Oil,MO,Andrew,92,77,40,24,14,83,134,134,155,160
5,House Heating Fuel: Gas,MO,Andrew,1851,1872,1814,1854,1972,1832,1758,1864,1841,1939
6,House Heating Fuel: Propane,MO,Andrew,1448,1331,1386,1342,1315,1223,1125,1077,895,745
7,House Heating Fuel: Wood,MO,Andrew,215,193,235,214,227,246,251,284,306,284
3,House Heating Fuel: Electric,MO,Atchison,674,655,705,738,805,845,838,876,847,921
4,House Heating Fuel: Fuel Oil,MO,Atchison,38,49,60,47,34,37,35,22,26,28
5,House Heating Fuel: Gas,MO,Atchison,1106,1054,1016,986,1001,1029,1031,1083,1110,1107
6,House Heating Fuel: Propane,MO,Atchison,539,583,553,551,504,465,400,325,294,311
7,House Heating Fuel: Wood,MO,Atchison,43,44,53,54,61,61,95,75,80,37
3,House Heating Fuel: Electric,MO,Audrain,3281,3375,3356,3515,3499,3453,3412,3569,3583,3716
4,House Heating Fuel: Fuel Oil,MO,Audrain,0,0,0,0,0,0,0,5,5,4
5,House Heating Fuel: Gas,MO,Audrain,4527,4272,4273,4200,4197,4118,4204,4222,4204,4185
6,House Heating Fuel: Propane,MO,Audrain,1139,1106,1017,1058,1047,1071,1028,1032,991,939
7,House Heating Fuel: Wood,MO,Audrain,544,605,572,493,546,548,550,547,461,379
3,House Heating Fuel: Electric,MO,Barry,4414,4692,4734,4869,5126,5299,5353,5466,5409,5400
4,House Heating Fuel: Fuel Oil,MO,Barry,6,10,5,15,13,15,14,14,1,25
5,House Heating Fuel: Gas,MO,Barry,3436,3054,3162,3087,3034,3086,2961,2969,3038,2956
6,House Heating Fuel: Propane,MO,Barry,4653,4424,4008,3682,3396,3020,2916,2859,3101,3489
7,House Heating Fuel: Wood,MO,Barry,1636,1617,1677,1736,1716,1707,1835,1582,1460,1578
3,House Heating Fuel: Electric,MO,Barton,966,1026,1037,1175,1254,1284,1434,1385,1393,1286
4,House Heating Fuel: Fuel Oil,MO,Barton,52,53,46,5,15,14,16,18,19,8
5,House Heating Fuel: Gas,MO,Barton,2246,2142,2151,2101,1937,1875,1742,1853,1824,1896
6,House Heating Fuel: Propane,MO,Barton,1189,1261,1168,1153,1161,1216,1134,1187,1273,1292
7,House Heating Fuel: Wood,MO,Barton,506,493,517,600,587,532,515,422,337,357
3,House Heating Fuel: Electric,MO,Bates,1807,1917,1984,2184,2136,2144,2049,2089,2176,2107
4,House Heating Fuel: Fuel Oil,MO,Bates,11,4,12,11,12,14,21,10,12,11
5,House Heating Fuel: Gas,MO,Bates,2306,2334,2407,2350,2349,2264,2232,2237,2229,2266
6,House Heating Fuel: Propane,MO,Bates,1789,1646,1631,1675,1668,1617,1665,1685,1680,1604
7,House Heating Fuel: Wood,MO,Bates,662,677,676,582,582,586,582,592,543,492
3,House Heating Fuel: Electric,MO,Benton,4241,4501,4327,4484,4647,4648,4716,4818,4883,4857
4,House Heating Fuel: Fuel Oil,MO,Benton,18,14,40,25,22,21,30,9,23,25
5,House Heating Fuel: Gas,MO,Benton,337,380,435,541,613,782,742,830,729,766
6,House Heating Fuel: Propane,MO,Benton,2896,2528,2328,2150,1930,1655,1612,1422,1314,1288
7,House Heating Fuel: Wood,MO,Benton,709,723,868,921,958,959,975,832,920,870
3,House Heating Fuel: Electric,MO,Bollinger,1703,1629,1757,1808,1821,1931,1927,1902,1800,1660
4,House Heating Fuel: Fuel Oil,MO,Bollinger,14,8,4,0,0,0,0,0,0,0
5,House Heating Fuel: Gas,MO,Bollinger,557,588,590,624,612,495,485,497,426,470
6,House Heating Fuel: Propane,MO,Bollinger,1589,1472,1351,1181,1072,1116,1152,1169,1272,1381
7,House Heating Fuel: Wood,MO,Bollinger,928,1061,1073,1099,1195,1140,1172,1106,1035,996
3,House Heating Fuel: Electric,MO,Boone,21023,21579,22494,23584,23539,24825,25996,26904,28074,29096
4,House Heating Fuel: Fuel Oil,MO,Boone,58,34,34,5,10,37,30,27,43,50
5,House Heating Fuel: Gas,MO,Boone,36305,36235,36016,35755,36538,35744,35538,35588,35757,35390
6,House Heating Fuel: Propane,MO,Boone,4461,4418,4368,4344,4325,4443,4305,4476,4455,4507
7,House Heating Fuel: Wood,MO,Boone,1283,1277,1405,1611,1287,1338,1318,1157,945,934
3,House Heating Fuel: Electric,MO,Buchanan,9767,9741,10141,10722,11139,10953,11384,11287,11258,11436
4,House Heating Fuel: Fuel Oil,MO,Buchanan,57,56,43,38,23,47,57,58,51,34
5,House Heating Fuel: Gas,MO,Buchanan,21566,21365,20909,20113,19888,19825,19506,19315,19493,19503
6,House Heating Fuel: Propane,MO,Buchanan,1918,1937,1831,1717,1669,1743,1728,1942,1951,1898
7,House Heating Fuel: Wood,MO,Buchanan,431,435,486,517,466,436,476,470,452,429
3,House Heating Fuel: Electric,MO,Butler,9046,9531,9577,9837,9587,9836,10074,10212,10712,10902
4,House Heating Fuel: Fuel Oil,MO,Butler,46,35,23,34,34,8,17,14,7,10
5,House Heating Fuel: Gas,MO,Butler,4490,4260,3939,3773,3710,3664,3562,3440,3072,2986
6,House Heating Fuel: Propane,MO,Butler,2816,2850,2719,2535,2632,2465,2227,2124,1911,1791
7,House Heating Fuel: Wood,MO,Butler,548,592,680,717,640,577,527,479,436,492
3,House Heating Fuel: Electric,MO,Caldwell,1009,1059,1121,1091,1143,1149,1205,1179,1204,1199
4,House Heating Fuel: Fuel Oil,MO,Caldwell,40,25,26,39,36,41,43,48,29,41
5,House Heating Fuel: Gas,MO,Caldwell,455,437,427,454,384,398,406,405,398,411
6,House Heating Fuel: Propane,MO,Caldwell,1924,1821,1805,1792,1721,1713,1667,1660,1614,1543
7,House Heating Fuel: Wood,MO,Caldwell,259,304,287,291,331,343,323,359,355,363
3,House Heating Fuel: Electric,MO,Callaway,7044,7260,7287,7355,7517,7564,7807,8034,8188,8250
4,House Heating Fuel: Fuel Oil,MO,Callaway,40,44,40,50,52,23,12,34,20,47
5,House Heating Fuel: Gas,MO,Callaway,4322,4269,4278,3896,3826,3893,3941,3696,3712,3547
6,House Heating Fuel: Propane,MO,Callaway,3787,3821,3668,3666,3568,3226,2929,2815,2802,2862
7,House Heating Fuel: Wood,MO,Callaway,1415,1468,1490,1474,1444,1330,1187,1396,1218,1150
3,House Heating Fuel: Electric,MO,Camden,12168,12468,12185,12696,12657,12584,12370,12315,12061,12039
4,House Heating Fuel: Fuel Oil,MO,Camden,8,0,17,28,36,33,36,64,152,280
5,House Heating Fuel: Gas,MO,Camden,455,397,430,344,526,586,613,748,902,921
6,House Heating Fuel: Propane,MO,Camden,4332,3938,3597,3172,2774,2264,2199,2014,1811,1629
7,House Heating Fuel: Wood,MO,Camden,1294,1250,1319,1306,1293,1163,1036,1070,1090,1072
3,House Heating Fuel: Electric,MO,Cape Girardeau,12622,12846,13446,13733,14321,14178,14154,13859,13633,13686
4,House Heating Fuel: Fuel Oil,MO,Cape Girardeau,20,17,17,9,10,17,7,11,6,10
5,House Heating Fuel: Gas,MO,Cape Girardeau,12897,12752,12340,12177,12065,12314,12399,12433,12531,12794
6,House Heating Fuel: Propane,MO,Cape Girardeau,2820,2660,2429,2296,2188,2244,2218,2247,2232,2124
7,House Heating Fuel: Wood,MO,Cape Girardeau,1181,1099,1153,1081,948,915,926,935,824,863
3,House Heating Fuel: Electric,MO,Carroll,863,916,954,882,923,890,885,870,844,853
4,House Heating Fuel: Fuel Oil,MO,Carroll,4,3,10,6,9,9,7,5,5,2
5,House Heating Fuel: Gas,MO,Carroll,1672,1525,1447,1528,1479,1465,1553,1561,1489,1509
6,House Heating Fuel: Propane,MO,Carroll,1060,927,940,929,980,969,978,953,977,927
7,House Heating Fuel: Wood,MO,Carroll,238,257,265,228,223,272,255,208,215,183
3,House Heating Fuel: Electric,MO,Carter,905,998,1124,1134,1221,1265,1233,1139,1160,1080
4,House Heating Fuel: Fuel Oil,MO,Carter,0,0,0,0,0,13,12,11,12,15
5,House Heating Fuel: Gas,MO,Carter,34,18,17,20,22,27,49,44,27,140
6,House Heating Fuel: Propane,MO,Carter,924,910,868,807,725,691,687,668,663,692
7,House Heating Fuel: Wood,MO,Carter,558,530,402,444,471,447,498,541,504,406
3,House Heating Fuel: Electric,MO,Cass,10331,10677,10773,11144,11520,11987,11846,12049,12331,12679
4,House Heating Fuel: Fuel Oil,MO,Cass,52,45,31,19,68,61,102,128,153,96
5,House Heating Fuel: Gas,MO,Cass,21450,21704,22007,21674,21439,21433,21604,21795,22096,22197
6,House Heating Fuel: Propane,MO,Cass,3667,3463,3408,3487,3349,3427,3446,3610,3630,3644
7,House Heating Fuel: Wood,MO,Cass,763,831,870,850,980,940,875,943,1026,896
3,House Heating Fuel: Electric,MO,Cedar,1871,1862,2006,2081,2180,2280,2379,2300,2103,2175
4,House Heating Fuel: Fuel Oil,MO,Cedar,15,19,0,19,32,24,32,20,15,17
5,House Heating Fuel: Gas,MO,Cedar,2123,2102,2081,1870,1762,1652,1532,1544,1632,1663
6,House Heating Fuel: Propane,MO,Cedar,1315,1199,1111,1249,1130,1185,1278,1338,1290,1363
7,House Heating Fuel: Wood,MO,Cedar,743,834,809,730,756,712,616,627,667,561
3,House Heating Fuel: Electric,MO,Chariton,1084,1031,1014,1053,975,1034,1101,1123,1085,1083
4,House Heating Fuel: Fuel Oil,MO,Chariton,23,40,34,19,16,25,11,12,14,11
5,House Heating Fuel: Gas,MO,Chariton,924,858,834,764,737,707,729,736,653,645
6,House Heating Fuel: Propane,MO,Chariton,844,856,825,805,943,926,867,801,872,749
7,House Heating Fuel: Wood,MO,Chariton,237,263,280,297,260,245,183,148,134,163
3,House Heating Fuel: Electric,MO,Christian,8304,8911,8913,9342,9897,10064,9607,10405,10498,10752
4,House Heating Fuel: Fuel Oil,MO,Christian,71,61,59,39,30,31,27,0,12,10
5,House Heating Fuel: Gas,MO,Christian,11553,11905,12149,11937,11747,11566,12135,12200,12659,12816
6,House Heating Fuel: Propane,MO,Christian,6485,6108,6015,6059,6046,5964,6136,6055,5781,5988
7,House Heating Fuel: Wood,MO,Christian,1723,1929,2004,2089,2067,2050,1993,1896,1889,1810
3,House Heating Fuel: Electric,MO,Clark,776,775,772,749,786,818,852,849,847,836
4,House Heating Fuel: Fuel Oil,MO,Clark,3,5,4,12,14,15,12,14,8,4
5,House Heating Fuel: Gas,MO,Clark,819,851,793,783,725,746,727,720,747,666
6,House Heating Fuel: Propane,MO,Clark,868,811,818,844,893,893,894,933,898,803
7,House Heating Fuel: Wood,MO,Clark,308,364,361,311,377,322,309,341,421,326
