,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MO,2.56,2.58,2.57,2.58,2.58,2.57,2.59,2.59,2.56,2.55
1,Avg household size of renter-occupied unit,MO,2.29,2.3,2.29,2.29,2.33,2.32,2.31,2.28,2.22,2.18
2,House Heating Fuel: Electric,MO,765714,781226,808932,822051,805368,840114,841931,867102,902139,912838
3,House Heating Fuel: Fuel Oil,MO,6187,6310,6484,4664,4653,5223,4349,4488,4966,5673
4,House Heating Fuel: Gas,MO,1235745,1220931,1221514,1205979,1210952,1212347,1220773,1213154,1218643,1225703
5,House Heating Fuel: Propane,MO,236581,226158,212317,218963,219176,211223,202010,202547,213759,222354
6,House Heating Fuel: Wood,MO,92774,95401,97410,95809,96594,88827,85233,80774,77808,74529
25,Median Number of Rooms,MO,5.6,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
26,Number of Rooms: 1,MO,37855,38491,42033,38301,34504,44604,42185,47531,51997,55171
27,Number of Rooms: 2,MO,45150,43824,45893,50735,50345,51459,57676,59857,58999,66761
28,Number of Rooms: 3,MO,191856,192540,194405,198961,210231,201724,205443,209375,201824,206446
29,Number of Rooms: 4,MO,441290,451979,437837,422522,419111,436970,428705,429825,427123,430806
30,Number of Rooms: 5,MO,603830,621157,605656,609318,606438,596151,590098,597910,604324,584794
31,Number of Rooms: 6,MO,519981,510632,505724,499607,507922,499402,522608,519147,521299,529372
32,Number of Rooms: 7,MO,336427,335319,344834,348468,348325,349306,335348,338953,343424,348984
33,Number of Rooms: 8,MO,243221,236352,243352,245405,237541,245073,243277,252748,256037,250989
34,Number of Rooms: 9+,MO,294407,293155,300353,305792,321386,321955,334886,337099,341269,346011
35,Owner-Occupied,MO,4149521,4114073,4092513,4080287,4071687,4042187,4057499,4137785,4154688,4200157
36,Renter-Occupied,MO,1672568,1722581,1755265,1789346,1817030,1866547,1860104,1800880,1797323,1762793
37,Total Housing Units,MO,2714017,2723449,2720087,2719109,2735803,2746644,2760226,2792445,2806296,2819334
38,Total Population,MO,5996231,6010688,6021988,6044171,6063589,6083672,6093000,6113532,6126452,6137428
39,Units in Structure: 1 ATTACHED,MO,97957,93873,87953,90037,96260,89876,88337,90414,101246,98119
40,Units in Structure: 1 DETACHED,MO,1891143,1907384,1903644,1904652,1920201,1936604,1929159,1970003,1958515,1980150
41,Units in Structure: 10-19,MO,95242,92504,91265,97852,94509,93263,96855,100843,100929,92882
42,Units in Structure: 2,MO,94554,95720,99181,94799,90595,90350,98516,94730,91418,94351
43,Units in Structure: 20-49,MO,55203,58709,57559,54420,55753,58798,57052,59254,57408,65634
44,Units in Structure: 3-4,MO,121033,128572,125832,126788,123837,133461,132552,129174,129205,120940
45,Units in Structure: 5-9,MO,100578,106524,103957,102196,113355,108803,112250,102717,113178,107855
46,Units in Structure: 50+,MO,67974,65768,67863,67368,67873,69349,68366,72797,75130,84300
47,"Units in Structure: Boat,RV,Van,Etc.",MO,1852,1701,1423,1949,2024,1533,1581,2667,2570,4473
48,Units in Structure: Mobile Home,MO,188481,172694,181410,179048,171396,164607,175558,169846,176697,170630
49,Year Built: 1940-1949,MO,146579,151093,137630,148523,134507,133909,136615,129346,137342,133774
50,Year Built: 1950-1959,MO,298568,302320,301015,288062,288415,293332,283964,286549,276687,276360
51,Year Built: 1960-1969,MO,317695,322914,323878,321830,317780,310084,306225,321948,328081,318573
52,Year Built: 1970-1979,MO,428833,425360,428857,447340,433658,426688,419946,440188,439416,432410
53,Year Built: 1980-1989,MO,343371,333277,327008,327897,329525,344084,336097,324748,337491,340534
54,Year Built: 1990-1999,MO,393878,384967,394256,391518,405157,411399,387680,392914,403269,400101
55,Year Built: 2000-2009,MO,219817,223384,394086,380460,384760,375459,385926,378590,344984,351713
56,Year Built: 2010-2013,MO,166425,189914,22772,37141,50453,64885,75128,70507,67815,67963
57,Year Built: 2014 or later,MO,,,,,,8857.0,31436.0,55896.0,78674.0,101784.0
58,Year Built: before 1940,MO,398851,390220,390585,376338,391548,377947,397209,391759,392537,396122
