,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",MO,153514,145096,155115,142671,131257,133708,122649,113274,118186,111813
8,"Household Income: $100,000 to $124,999",MO,152482,150184,153110,162277,165598,186139,188700,193207,203045,216220
9,"Household Income: $125,000 to $149,999",MO,82801,83644,84338,85609,94474,98177,102034,116227,119451,135532
10,"Household Income: $15,000 to $19,999",MO,147995,146065,141223,136825,129927,129286,123789,118982,118905,115140
11,"Household Income: $150,000 to $199,999",MO,63833,74843,75288,83727,87488,93433,102670,110749,116628,129949
12,"Household Income: $20,000 to $24,999",MO,153258,146383,148080,145425,136647,138121,128270,136287,126566,122095
13,"Household Income: $200,000 or more",MO,58740,62398,63753,71016,76089,86631,93698,100930,121041,126383
14,"Household Income: $25,000 to $29,999",MO,139639,136178,137110,130406,134062,127680,123224,119551,118065,111981
15,"Household Income: $30,000 to $34,999",MO,137774,137112,143549,137998,138252,136149,133429,122480,134751,121608
16,"Household Income: $35,000 to $39,999",MO,131089,128024,122760,124884,125237,120519,123373,119987,116695,113730
17,"Household Income: $40,000 to $44,999",MO,128382,130340,126769,127904,118413,121103,117476,119267,122846,116231
18,"Household Income: $45,000 to $49,999",MO,104239,105493,102077,103279,100043,108063,107254,104649,110011,104380
19,"Household Income: $50,000 to $59,999",MO,192667,205506,200049,206318,201181,194089,200473,198841,197449,198458
20,"Household Income: $60,000 to $74,999",MO,244704,227941,239031,245297,241840,249314,248099,254310,254528,260646
21,"Household Income: $75,000 to $99,999",MO,260738,266329,269069,268478,280263,285435,296437,302218,303086,318344
22,"Household Income: Less than $10,000",MO,198773,195538,197814,190739,194038,166333,160615,154176,153553,155827
23,Household Income: Total:,MO,2350628,2341074,2359135,2362853,2354809,2374180,2372190,2385135,2434806,2458337
24,Median Household Income,MO,44301.0,45247.0,45321.0,46931.0,48363.0,50238.0,51746.0,53578.0,54478.0,57409.0
