Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MO,28470.915000000005,38.62,9335,219.0,1182.0,247.0,2637.0,5782.0,2893.0,2854.0,5089.0,3853.0,3318.0,393.0
Statewide Total,,Cooperative,MO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,MO,3.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Statewide Total,,Investor Owned,MO,25708.53,32.857142857142854,8416,70.0,1171.0,238.0,2471.0,5072.0,2658.0,2610.0,4469.0,3459.0,3121.0,365.0
Statewide Total,,Municipal Owned,MO,2759.3849999999998,40.853658536585364,919,149.0,11.0,9.0,165.0,710.0,234.0,243.0,616.0,393.0,196.0,28.0
"ASHLEY ENERGY, LLC",39712,Privately Owned,MO,3.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP. D/B/A LIBERTY UTILITIES,38906,Investor Owned,MO,2051.71,47.0,1206,27.76,0.162,8.235,470.776,688.245,204.361,156.889,316.512,82.657,75.33,20.784
MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION,32336,Municipal Owned,MO,0.32,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
SUMMIT NATURAL GAS OF MISSOURI,32074,Investor Owned,MO,1120.76,15.0,0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,384.53,273.64,454.86,4.75
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,MO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RICHLAND, CITY OF",30996,Municipal Owned,MO,29.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0
"WAYNESVILLE, CITY OF",30866,Municipal Owned,MO,43.7,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,5.4,0.0
"ST. ROBERT, CITY OF",30865,Municipal Owned,MO,22.83,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.66,0.17,0.0
SPIRE MISSOURI INC. WEST,30769,Investor Owned,MO,9043.04,40.0,2763,3.39,752.9,121.99,731.2,1634.69,1026.66,922.93,1310.87,1151.81,1254.7,131.9
WHEATON MUNICIPAL GAS,30561,Municipal Owned,MO,23.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0
