,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MT,2.46,2.49,2.44,2.48,2.42,2.5,2.52,2.53,2.49,2.49
1,Avg household size of renter-occupied unit,MT,2.23,2.21,2.28,2.33,2.42,2.26,2.25,2.16,2.19,2.12
2,House Heating Fuel: Electric,MT,79763,85153,86337,89434,94131,98131,104012,98887,105015,114538
3,House Heating Fuel: Fuel Oil,MT,6655,6439,5488,4126,4019,4243,4364,3934,3734,3748
4,House Heating Fuel: Gas,MT,224327,223151,221497,217689,221378,224376,218417,229832,225236,225502
5,House Heating Fuel: Propane,MT,51997,48919,48601,49009,50495,49552,47891,52646,56685,59192
6,House Heating Fuel: Wood,MT,34549,35469,37505,37525,34643,32691,33708,30846,34624,29920
25,Median Number of Rooms,MT,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.5
26,Number of Rooms: 1,MT,12382,11596,13985,14831,12128,14503,16182,19275,14183,14722
27,Number of Rooms: 2,MT,15163,19277,15454,17913,16525,15084,16423,18286,18437,18660
28,Number of Rooms: 3,MT,43155,41750,43591,41051,43672,43589,47673,46975,42384,45959
29,Number of Rooms: 4,MT,84719,87304,85992,86556,87859,88784,85088,83836,83126,84977
30,Number of Rooms: 5,MT,98985,98213,96897,94159,98461,97059,94004,91283,92647,97455
31,Number of Rooms: 6,MT,78966,77081,76149,72308,74992,75107,72961,77998,83497,77872
32,Number of Rooms: 7,MT,54172,52826,52034,52984,55270,53851,53470,60299,59030,58601
33,Number of Rooms: 8,MT,37795,41041,39467,45282,39329,43651,42137,43394,46941,45217
34,Number of Rooms: 9+,MT,57669,60095,62592,60683,63279,62594,69811,69062,74916,76475
35,Owner-Occupied,MT,689657,682470,669224,672880,660233,691993,714390,739261,725647,751163
36,Renter-Occupied,MT,272392,286880,307062,313488,334459,312089,299258,282429,307693,288672
37,Total Housing Units,MT,483006,489183,486161,485767,491515,494222,497749,510408,515161,519938
38,Total Population,MT,990898,998199,1005141,1015165,1023579,1032949,1042520,1050493,1062305,1068778
39,Units in Structure: 1 ATTACHED,MT,14406,15625,15134,13107,15371,16541,18861,18208,20255,19803
40,Units in Structure: 1 DETACHED,MT,334828,340535,334255,335828,338252,339405,345631,356854,357557,357191
41,Units in Structure: 10-19,MT,11639,10710,9671,10587,9126,12033,10179,11130,13242,13510
42,Units in Structure: 2,MT,17044,17570,17467,18163,16321,16615,13783,14132,15029,13546
43,Units in Structure: 20-49,MT,9610,8140,9115,10286,7722,9349,11847,8582,9673,12408
44,Units in Structure: 3-4,MT,21957,20638,25514,23318,25022,18737,22683,21386,22181,27152
45,Units in Structure: 5-9,MT,13547,13745,13624,13709,15164,13873,12664,16036,15387,13032
46,Units in Structure: 50+,MT,5816,8184,6977,8291,5896,8710,9151,8510,9601,10990
47,"Units in Structure: Boat,RV,Van,Etc.",MT,504,741,353,585,409,1029,609,874,1028,726
48,Units in Structure: Mobile Home,MT,53655,53295,54051,51893,58232,57930,52341,54696,51208,51580
49,Year Built: 1940-1949,MT,28755,28248,26617,25068,22655,24106,25184,25108,22067,21602
50,Year Built: 1950-1959,MT,46709,49603,44977,45894,44723,47886,47160,49269,46841,44020
51,Year Built: 1960-1969,MT,39402,45405,42765,43784,47035,42945,39871,40426,45762,43517
52,Year Built: 1970-1979,MT,90826,86772,92447,88690,95526,95615,85940,89254,90440,92932
53,Year Built: 1980-1989,MT,54301,56518,56434,53740,56817,52591,57856,59074,55386,61035
54,Year Built: 1990-1999,MT,69772,63284,68863,67685,70111,66780,67320,70939,72697,67481
55,Year Built: 2000-2009,MT,43741,48151,78982,80357,75554,76781,74682,74477,75648,75610
56,Year Built: 2010-2013,MT,32139,36643,6431,7626,11382,14926,18718,17913,16288,18173
57,Year Built: 2014 or later,MT,,,,,,2939.0,8954.0,14723.0,20783.0,26363.0
58,Year Built: before 1940,MT,77361,74559,68645,72923,67712,69653,72064,69225,69249,69205
