,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Montana, Annual (Dollars per Thousand Cubic Feet)",3.55,3.93,2.98,5.04,6.47,7.62,7.25,6.42,7.71,5.63,5.17,5.11,4.23,4.21,5.03,3.71,3.05,3.28,3.02,2.66
"Montana Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",6.03,7.26,5.3,7.08,9.19,10.7,11.26,9.91,11.45,9.5,8.64,8.8,8.05,8.19,9.11,8.21,7.27,7.62,7.32,7.09
"Montana Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",5.9,7.35,5.37,7.08,9.15,10.72,11.12,9.76,11.32,9.41,8.54,8.66,7.98,8.09,8.77,8.08,7.13,7.42,7.09,6.89
"Electricity price in the residential sector, Montana (Dollars per million Btu)",19.02,20.15,21.19,22.15,23.04,23.75,24.28,25.71,26.75,26.19,26.85,28.58,29.55,30.27,29.84,31.89,32.05,32.1,32.13,32.63
"Electricity price in the commercial sector, Montana (Dollars per million Btu)",15.33,17.67,18.57,20.06,21.74,21.77,21.81,23.75,25.04,24.39,25.05,26.72,26.75,27.95,28.26,29.97,29.87,29.66,29.62,30.51
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),5.270675466920646,5.67501660622903,4.235607087459067,7.002669130434783,8.755981271306666,9.976472522238781,9.195786076464342,7.915793367543793,9.157017430570395,6.708113578635844,6.0608503916065954,5.808151367356829,4.710270617546366,4.620261384319516,5.432416999345204,4.001960447591159,3.2488558571696418,3.4207209059460864,3.0747348089620954,2.66
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),8.952724807191972,10.48361846341546,7.533126699172166,9.837082826086958,12.437012037605605,14.008957478734244,14.28200706496393,12.218927145227257,13.598942876787422,11.31919697993615,10.128771254058218,10.002295896818023,8.96399018232819,8.988109438854355,9.83883078807849,8.856090370545395,7.743994125122392,7.946918690033287,7.452668477351834,7.09
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),8.759714156290652,10.61358067577185,7.632620825387648,9.837082826086958,12.382879232218858,14.035142445984217,14.104433264866687,12.033978702060345,13.444544398710361,11.211962482231492,10.011540105284395,9.843168462095916,8.886042441612293,8.878364512861017,9.471629639017383,8.71585995054894,7.594866315285097,7.738338146987794,7.218499932298429,6.89
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),28.23894292417766,29.09709532201398,30.118293350086457,30.77561929347826,31.180495902767483,31.09464860934003,30.79637047400748,31.700163158808554,31.77045606585708,31.205238832055556,31.476563445771202,32.48472917398398,32.905081973639504,33.21978909818331,32.22730084701011,34.39960072066902,34.13961646632361,33.477177158801645,32.7123276198517,32.63
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),22.76040983320944,25.515914359304574,26.394370340307006,27.871734673913043,29.421179727698135,28.502336851592947,27.663461286577558,29.28350350142758,29.73952223884341,29.06054887796239,29.366402767842406,30.370607541247445,29.78717234500361,30.67370681513788,30.52089550725556,32.32850528687521,31.817483427428595,30.932494533646626,30.156836106442803,30.51
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
