,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",MT,28179,28683,26397,26612,26980,23097,24786,19463,21951,21550
8,"Household Income: $100,000 to $124,999",MT,24491,23497,28804,30157,29828,31151,29940,36523,35936,39064
9,"Household Income: $125,000 to $149,999",MT,11404,12530,13194,13357,14409,16492,18585,19965,19158,23818
10,"Household Income: $15,000 to $19,999",MT,27354,25981,26074,23449,23205,22977,22330,21243,18131,21335
11,"Household Income: $150,000 to $199,999",MT,9312,9173,10750,11804,12661,13262,15669,19798,20393,23210
12,"Household Income: $20,000 to $24,999",MT,28847,27976,28419,27461,24585,27177,22193,24639,24157,23022
13,"Household Income: $200,000 or more",MT,7246,7935,9543,12640,13100,14439,15598,14736,17377,18918
14,"Household Income: $25,000 to $29,999",MT,24746,26372,24803,21685,24324,21648,22568,23556,22396,18577
15,"Household Income: $30,000 to $34,999",MT,27662,22900,24000,24538,25189,24526,24449,24667,21901,21148
16,"Household Income: $35,000 to $39,999",MT,23051,22217,23284,18534,23316,24141,22135,19695,19036,20959
17,"Household Income: $40,000 to $44,999",MT,22404,22070,20241,21642,22021,19954,22241,18254,20672,21917
18,"Household Income: $45,000 to $49,999",MT,18920,22033,18027,18217,17993,15585,20513,18492,19942,20023
19,"Household Income: $50,000 to $59,999",MT,34589,35308,31997,34893,34047,36406,33707,37241,37350,36769
20,"Household Income: $60,000 to $74,999",MT,39731,42403,45319,45065,43241,45370,43775,44324,48702,44994
21,"Household Income: $75,000 to $99,999",MT,47058,46199,47108,44491,45096,48871,50902,53046,56953,58858
22,"Household Income: Less than $10,000",MT,27753,28973,30978,31743,30967,29708,26734,27449,27366,23489
23,Household Income: Total:,MT,402747,404250,408938,406288,410962,414804,416125,423091,431421,437651
24,Median Household Income,MT,42666.0,44222.0,45076.0,46972.0,46328.0,49509.0,50027.0,53386.0,55328.0,57153.0
