,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,30001000100,557,64990,4349,0.06691798738267425,2643.6,1210.2,495.4
1,30001000200,1514,73708,3266,0.04430997992076844,1761.3,1212.1,292.8
2,30001000300,1906,51622,1965,0.03806516601448995,1258.7,584.7,121.9
3,30003000100,1605,64023,2592,0.040485450541211755,1544.7,955.2,91.9
4,30003940400,441,55322,4374,0.07906438668160949,2454.7,1710.3,209.0
5,30003940500,399,57939,5049,0.08714337492880443,3462.8,1353.2,233.5
6,30003940600,729,58916,3923,0.06658632629506415,2555.0,1201.6,166.9
7,30003940700,513,53190,5063,0.09518706523782666,2787.7,2028.5,246.8
8,30005000100,500,57062,3127,0.05480004205951421,1704.8,1254.1,168.3
9,30005000200,1002,55719,2722,0.04885227660223622,1573.4,963.8,185.0
10,30005940100,423,44791,2720,0.0607264852314081,1821.8,698.7,199.2
11,30005940200,395,36882,4986,0.13518789653489507,3004.0,1493.1,488.5
12,30007000100,874,54900,2302,0.04193078324225865,1408.9,518.9,374.0
13,30007000200,1546,81705,3684,0.04508903983844318,1470.2,1789.5,424.2
14,30009000100,988,79453,3343,0.04207518910550892,2047.4,1079.8,215.6
15,30009000200,789,69536,2176,0.031293143120110445,1303.7,718.4,153.6
16,30009000300,1095,57579,2317,0.04024036541100054,1672.0,523.5,121.9
17,30009000400,999,77819,4826,0.06201570310592529,2501.2,2030.1,294.3
18,30009000500,660,84248,3517,0.041745798119836676,2047.8,1207.3,261.8
19,30011000300,625,65611,5713,0.0870738138421911,3053.5,2290.9,368.2
20,30013000100,1258,54571,1640,0.03005259203606311,1005.5,572.2,62.7
21,30013000200,1687,66898,1813,0.02710095966994529,1093.2,652.3,67.4
22,30013000300,1518,55362,1755,0.031700444348108814,1060.7,630.5,63.4
23,30013000400,881,48916,1574,0.03217761059775943,985.6,542.5,45.4
24,30013000700,830,36255,1706,0.04705557854089091,1166.2,479.2,60.2
25,30013000800,832,45697,1619,0.03542902159879204,1059.4,508.3,51.1
26,30013000900,1396,49308,1717,0.03482193558854547,1065.8,581.2,69.8
27,30013001000,1483,76119,1873,0.024606208699536253,1123.5,680.5,69.1
28,30013001100,1747,62938,1886,0.02996599828402555,1206.0,620.1,60.3
29,30013001200,1147,56673,779,0.013745522559243379,534.7,236.1,7.8
30,30013001600,1909,47597,1871,0.03930920015967393,1148.5,642.5,79.8
31,30013001700,895,57779,2142,0.037072292701500545,1285.0,774.2,82.6
32,30013001800,1418,71960,2073,0.028807670928293495,1318.1,669.5,85.8
33,30013001900,2394,87042,2045,0.023494404999885112,1196.5,778.1,70.3
34,30013002100,2243,61347,1426,0.02324482044761765,921.3,444.1,60.8
35,30013002200,3018,53758,1708,0.03177201532795119,1082.7,555.8,69.2
36,30013002300,2817,122246,2283,0.018675457683686992,1382.9,815.9,83.8
37,30013010100,1547,58507,2040,0.034867622677628315,1342.6,539.0,158.4
38,30013010400,747,65008,3978,0.06119246861924686,2406.3,1213.1,358.2
39,30013010600,1562,67014,4370,0.06521025457367118,2360.1,1525.0,484.7
40,30013010700,1535,68803,2788,0.0405214888885659,1699.0,845.9,243.5
41,30013010800,1580,43681,1245,0.028502094732263457,841.9,361.4,41.5
42,30015010200,895,57621,2321,0.04028045330695406,1486.0,662.2,172.4
43,30015010300,1361,53550,4396,0.08209150326797386,2106.2,1909.1,380.7
44,30017961300,805,85047,4849,0.05701553258786318,2703.8,1911.5,233.8
45,30017961500,711,51229,1617,0.031564153116398916,1056.2,484.0,76.3
46,30017961600,840,69751,1570,0.022508637868991127,975.5,519.6,75.1
47,30017961800,653,77399,1504,0.019431775604335972,868.1,571.6,64.7
48,30017961900,819,79096,1405,0.01776322443612825,911.4,433.1,60.6
49,30017962000,1061,47588,1224,0.025720769942002186,759.5,405.6,58.9
50,30019020300,856,68342,3927,0.057461004945714204,1634.2,1957.9,335.1
51,30021000100,573,72397,5319,0.07346989516140172,3290.9,1758.1,270.0
52,30021000200,1170,76100,1631,0.021432325886990802,967.4,586.7,76.6
53,30021000300,2229,70502,1269,0.01799948937618791,817.9,380.5,71.0
54,30023000300,1360,38795,1910,0.04923314860162392,1176.1,639.4,94.3
55,30023000400,1461,55279,1675,0.030300837569420577,911.3,670.9,93.0
56,30023000500,1034,73120,3334,0.04559628008752735,2103.7,978.0,252.6
57,30025000100,1302,77637,2409,0.03102901966845705,1081.5,1197.9,129.6
58,30027030100,1840,82080,4024,0.04902534113060429,2107.6,1439.4,476.8
59,30027030200,3135,54642,1616,0.02957432012005417,904.5,604.6,107.1
60,30029000100,1265,53396,3519,0.06590381301970186,2734.2,440.9,344.4
61,30029000201,1924,55349,2509,0.04533053894379302,1815.6,517.1,176.0
62,30029000202,969,78136,2433,0.031138015767379953,1776.0,443.6,213.2
63,30029000203,2135,59487,2778,0.046699278834030966,2326.8,336.2,115.4
64,30029000300,2131,90182,3002,0.03328823933822714,2453.6,385.9,162.2
65,30029000401,2301,84851,2362,0.027837031973695064,1774.3,485.7,102.4
66,30029000402,1331,66524,2624,0.039444411039624795,1728.9,723.3,172.1
67,30029000601,1678,96369,2732,0.028349365459847047,1768.7,769.6,194.1
68,30029000602,1346,70426,2921,0.04147615937295885,2150.2,500.2,271.0
69,30029000700,2271,53770,2163,0.040226892319137064,1679.5,317.4,166.3
70,30029000800,3111,97872,2261,0.023101602092529018,1703.8,406.0,151.7
71,30029000900,2984,57738,1786,0.03093283452838685,1385.6,319.3,81.0
72,30029001000,965,42450,1352,0.03184923439340401,1110.9,201.2,40.4
73,30029001100,2551,48357,1523,0.03149492317554852,1186.9,244.6,91.4
74,30029001200,2824,65327,2213,0.03387573285165399,1571.9,528.2,112.7
75,30029001301,1596,79177,3070,0.03877388635588618,2320.8,575.0,174.4
76,30029001302,1914,80686,3530,0.043749845078452275,2466.7,727.3,335.8
77,30029001400,2060,73102,3488,0.04771415282755602,2415.6,845.6,227.0
78,30029001700,2896,78142,2887,0.03694556064600343,1728.4,757.9,400.6
79,30031000101,2198,99825,2015,0.020185324317555722,957.6,882.0,175.8
80,30031000102,958,98860,4730,0.04784543799312159,2404.1,1954.2,372.0
81,30031000103,3150,66538,1312,0.01971805584778623,891.8,357.5,62.8
82,30031000200,4093,87613,1498,0.01709791925855752,914.5,514.9,68.3
83,30031000300,1387,74515,2594,0.0348117828625109,1536.1,852.9,204.9
84,30031000400,1996,77617,1789,0.023049074300733087,912.0,694.3,182.7
85,30031000501,748,135546,4522,0.03336136809643959,2403.1,1726.2,392.3
86,30031000502,2355,124687,2216,0.017772502345874068,1606.7,528.9,80.3
87,30031000503,5735,77140,1199,0.015543168265491314,782.9,381.0,35.2
88,30031000504,993,117889,2395,0.020315720720338624,1635.8,659.2,100.1
89,30031000600,1337,44835,869,0.019382179101148655,615.3,217.9,35.4
