Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MT,312297,15122,5651,9851,13149,48446,42094,28807,52734,45342,46137,4964
Statewide Total,,Cooperative,MT,1572,1212,0,0,0,0,81,0,0,142,129,8
Statewide Total,,Privately Owned,MT,31134,553,502,1487,2875,2962,4771,3951,4192,4134,5007,700
Statewide Total,,Investor Owned,MT,279431,13357,5149,8364,10274,45484,37242,24856,48485,40984,40982,4254
Statewide Total,,Municipal Owned,MT,160,0,0,0,0,0,0,0,57,82,19,2
SLEEPY HOLLOW OIL AND GAS,32651,Privately Owned,MT,151,0,0,0,0,0,0,0,0,0,146,5
ABACO ENERGY SERVICES LLC,32313,Privately Owned,MT,153,0,0,0,0,0,0,0,24,95,34,0
NORTHWESTERN CORPORATION,31632,Investor Owned,MT,609,0,0,0,0,0,0,0,380,153,71,5
NORTHWESTERN CORPORATION,31632,Investor Owned,MT,193476,0,5035,8260,8807,38031,23519,14380,37293,28957,25725,3469
ENERGY WEST MONTANA,31191,Privately Owned,MT,30415,162,502,1487,2875,2962,4771,3951,4163,4028,4819,695
MILLER OIL COMPANY,31065,Privately Owned,MT,415,391,0,0,0,0,0,0,5,11,8,0
SHELBY GAS ASSOCIATION,18260,Cooperative,MT,1572,1212,0,0,0,0,81,0,0,142,129,8
SACO MUNICIPAL GAS SERVICE,18024,Municipal Owned,MT,160,0,0,0,0,0,0,0,57,82,19,2
MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,MT,85346,13357,114,104,1467,7453,13723,10476,10812,11874,15186,780
