,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,NE,All Sectors,Ammonia,CAP,8189.746566503087,TON
1,NE,All Sectors,Carbon Monoxide,CAP,19310.217553276205,TON
2,NE,All Sectors,Nitrogen Oxides,CAP,4672.013068096821,TON
3,NE,All Sectors,PM10 Primary (Filt + Cond),CAP,6490.79044774914,TON
4,NE,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3315.2592542870248,TON
5,NE,All Sectors,Sulfur Dioxide,CAP,145.0161633866739,TON
6,NE,All Sectors,Volatile Organic Compounds,CAP,4945.899710154862,TON
7,NE,All Sectors,Carbon Dioxide,GHG,319810.92247422104,TON
8,NE,All Sectors,Methane,GHG,312.968856644352,TON
9,NE,All Sectors,Nitrous Oxide,GHG,26.213979679276996,TON
10,NE,All Sectors,Sulfur Hexafluoride,GHG,0.0,TON
11,NE,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,2492.996803601,TON
12,NE,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,574.4942404604001,TON
13,NE,Agriculture - Fertilizer Application,Ammonia,CAP,224.7,TON
14,NE,Agriculture - Livestock Waste,Ammonia,CAP,7604.421026010001,TON
15,NE,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,227.14325804,TON
16,NE,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,1776.8035,TON
17,NE,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,2694.3032,TON
18,NE,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,2388.134,TON
19,NE,Commercial Cooking,Carbon Monoxide,CAP,59.41351597,TON
20,NE,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,283.4208234,TON
21,NE,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,266.869952115,TON
22,NE,Commercial Cooking,Volatile Organic Compounds,CAP,0.7263021119999999,TON
23,NE,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,805.1127248,TON
24,NE,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,0.0294372,TON
25,NE,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,237.58567799999997,TON
26,NE,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,41.045460000000006,TON
