,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NE,Adams,2.56,2.51,2.48,2.47,2.48,2.51,2.53,2.56,2.55,2.52
1,Avg household size of renter-occupied unit,NE,Adams,2.09,2.09,2.13,2.12,2.07,1.98,1.95,1.9,1.93,2.02
2,FIPS Code,NE,Adams,31001,31001,31001,31001,31001,31001,31001,31001,31001,31001
3,House Heating Fuel: Electric,NE,Adams,2654,2785,3064,3019,3068,3348,3609,3991,4262,4391
4,House Heating Fuel: Fuel Oil,NE,Adams,23,18,5,6,14,17,29,33,33,22
5,House Heating Fuel: Gas,NE,Adams,8792,8743,8656,8677,8527,8399,8252,7857,7612,7447
6,House Heating Fuel: Propane,NE,Adams,588,606,576,644,675,644,621,576,513,537
7,House Heating Fuel: Wood,NE,Adams,181,148,156,146,196,191,149,133,162,169
26,Median Number of Rooms,NE,Adams,5.9,6.0,6.0,6.0,6.0,6.0,6.0,5.9,6.0,5.9
27,Number of Rooms: 1,NE,Adams,24,31,27,116,108,182,160,185,147,231
28,Number of Rooms: 2,NE,Adams,288,237,205,188,140,163,209,213,219,299
29,Number of Rooms: 3,NE,Adams,1168,1040,1083,1022,1088,1090,1172,1247,1187,1170
30,Number of Rooms: 4,NE,Adams,1959,1958,2127,1992,1948,2004,2020,1846,2103,2103
31,Number of Rooms: 5,NE,Adams,2513,2434,2178,2314,2230,2282,2272,2483,2347,2356
32,Number of Rooms: 6,NE,Adams,2034,1979,2076,2077,2277,2185,2223,2117,2027,1974
33,Number of Rooms: 7,NE,Adams,1744,1932,1847,1883,1901,1745,1676,1580,1537,1623
34,Number of Rooms: 8,NE,Adams,1521,1554,1582,1586,1446,1445,1378,1427,1528,1626
35,Number of Rooms: 9+,NE,Adams,2156,2219,2308,2293,2392,2522,2565,2696,2778,2524
36,Owner-Occupied,NE,Adams,22341,22080,21725,21696,22122,22096,21934,22163,22104,21331
37,Renter-Occupied,NE,Adams,7678,7617,8063,8079,7624,7644,7857,7624,7783,8605
38,Total Housing Units,NE,Adams,13407,13384,13433,13471,13530,13618,13675,13794,13873,13906
39,Total Population,NE,Adams,31126,31181,31299,31367,31396,31442,31536,31564,31583,31587
40,Units in Structure: 1 ATTACHED,NE,Adams,283,296,297,278,259,308,348,412,453,473
41,Units in Structure: 1 DETACHED,NE,Adams,10090,10215,10238,10457,10641,10383,10400,10470,10469,10341
42,Units in Structure: 10-19,NE,Adams,206,155,174,198,231,265,232,215,184,156
43,Units in Structure: 2,NE,Adams,474,442,444,409,359,411,446,419,408,386
44,Units in Structure: 20-49,NE,Adams,256,248,265,235,185,147,142,135,165,295
45,Units in Structure: 3-4,NE,Adams,843,763,906,738,719,860,968,956,989,981
46,Units in Structure: 5-9,NE,Adams,396,358,246,217,244,304,300,381,403,378
47,Units in Structure: 50+,NE,Adams,229,251,257,308,286,290,240,251,236,272
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Adams,14,8,12,10,8,15,18,23,20,20
49,Units in Structure: Mobile Home,NE,Adams,616,648,594,621,598,635,581,532,546,604
50,Year Built: 1940-1949,NE,Adams,1703,1546,1461,1359,1197,1869,1602,1657,1668,1714
51,Year Built: 1950-1959,NE,Adams,1774,1834,1799,1841,1815,1368,1368,1476,1595,1571
52,Year Built: 1960-1969,NE,Adams,1583,1603,1416,1256,1370,2276,2408,2350,2202,2232
53,Year Built: 1970-1979,NE,Adams,2277,2164,2225,2290,2287,916,838,750,964,992
54,Year Built: 1980-1989,NE,Adams,855,860,912,806,857,1302,1368,1327,1259,1325
55,Year Built: 1990-1999,NE,Adams,1185,1212,1212,1316,1243,1038,989,1057,1080,922
56,Year Built: 2000-2009,NE,Adams,506,558,1010,1040,1130,98,123,196,172,199
57,Year Built: 2010-2013,NE,Adams,228,388,20,46,70,0,49,114,243,290
58,Year Built: before 1940,NE,Adams,3296,3219,3378,3517,3561,1076,1248,1358,1451,1655
0,Avg household size of owner-occupied unit,NE,Antelope,2.43,2.44,2.38,2.38,2.36,2.36,2.39,2.34,2.39,2.33
1,Avg household size of renter-occupied unit,NE,Antelope,2.12,2.13,2.14,1.97,2.03,1.99,2.05,2.18,2.23,2.26
2,FIPS Code,NE,Antelope,31003,31003,31003,31003,31003,31003,31003,31003,31003,31003
3,House Heating Fuel: Electric,NE,Antelope,712,823,830,794,828,873,865,868,881,797
4,House Heating Fuel: Fuel Oil,NE,Antelope,16,4,8,25,21,20,20,21,8,8
5,House Heating Fuel: Gas,NE,Antelope,1095,1080,1079,1132,1112,1089,1077,1124,1126,1203
6,House Heating Fuel: Propane,NE,Antelope,681,653,623,688,644,642,591,556,523,586
7,House Heating Fuel: Wood,NE,Antelope,216,183,232,180,175,151,154,142,106,95
26,Median Number of Rooms,NE,Antelope,6.2,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.2
27,Number of Rooms: 1,NE,Antelope,18,18,17,14,8,22,27,42,50,47
28,Number of Rooms: 2,NE,Antelope,24,26,32,29,43,52,78,75,85,70
29,Number of Rooms: 3,NE,Antelope,119,127,123,120,115,112,141,148,143,153
30,Number of Rooms: 4,NE,Antelope,379,320,366,287,309,296,332,342,351,347
31,Number of Rooms: 5,NE,Antelope,671,675,633,594,560,585,542,528,523,582
32,Number of Rooms: 6,NE,Antelope,658,636,679,766,763,714,687,667,651,642
33,Number of Rooms: 7,NE,Antelope,415,480,477,501,477,469,413,424,377,386
34,Number of Rooms: 8,NE,Antelope,479,476,432,408,413,362,332,361,365,338
35,Number of Rooms: 9+,NE,Antelope,528,530,528,554,581,649,732,731,769,766
36,Owner-Occupied,NE,Antelope,4895,5027,5005,5115,5043,5037,5046,4955,4934,4780
37,Renter-Occupied,NE,Antelope,1654,1574,1558,1396,1401,1366,1293,1373,1365,1499
38,Total Housing Units,NE,Antelope,3291,3288,3287,3273,3269,3261,3284,3318,3314,3331
39,Total Population,NE,Antelope,6742,6697,6655,6600,6531,6486,6421,6406,6372,6341
40,Units in Structure: 1 ATTACHED,NE,Antelope,24,26,33,28,17,14,15,9,15,20
41,Units in Structure: 1 DETACHED,NE,Antelope,2991,2941,2923,2959,2939,2918,2904,2944,2963,2998
42,Units in Structure: 10-19,NE,Antelope,4,9,17,25,30,35,41,50,32,36
43,Units in Structure: 2,NE,Antelope,12,17,15,3,34,34,37,42,40,13
44,Units in Structure: 20-49,NE,Antelope,27,32,22,20,11,9,9,3,7,13
45,Units in Structure: 3-4,NE,Antelope,52,53,50,40,43,46,45,34,61,54
46,Units in Structure: 5-9,NE,Antelope,42,34,33,17,29,48,76,93,89,83
47,Units in Structure: 50+,NE,Antelope,2,8,4,12,14,15,9,10,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Antelope,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Antelope,137,168,190,169,152,142,148,133,107,114
50,Year Built: 1940-1949,NE,Antelope,222,242,286,245,237,260,254,318,300,338
51,Year Built: 1950-1959,NE,Antelope,263,230,234,236,238,295,315,311,320,300
52,Year Built: 1960-1969,NE,Antelope,191,208,226,208,261,516,501,483,472,471
53,Year Built: 1970-1979,NE,Antelope,520,481,531,593,514,197,192,166,200,198
54,Year Built: 1980-1989,NE,Antelope,187,220,200,194,204,168,204,248,248,275
55,Year Built: 1990-1999,NE,Antelope,202,223,163,186,165,185,180,197,167,145
56,Year Built: 2000-2009,NE,Antelope,34,33,111,156,186,25,72,72,68,75
57,Year Built: 2010-2013,NE,Antelope,35,65,3,10,18,3,2,6,17,36
58,Year Built: before 1940,NE,Antelope,1637,1586,1533,1445,1446,240,215,193,164,195
0,Avg household size of owner-occupied unit,NE,Arthur,2.47,2.56,2.84,2.75,2.43,2.48,2.46,2.44,2.25,2.08
1,Avg household size of renter-occupied unit,NE,Arthur,2.26,2.48,2.5,3.04,2.65,2.5,2.26,2.28,1.98,2.35
2,FIPS Code,NE,Arthur,31005,31005,31005,31005,31005,31005,31005,31005,31005,31005
3,House Heating Fuel: Electric,NE,Arthur,61,63,67,62,56,50,43,40,48,44
4,House Heating Fuel: Fuel Oil,NE,Arthur,0,0,0,0,0,0,0,0,0,1
5,House Heating Fuel: Gas,NE,Arthur,10,10,8,7,7,4,1,2,1,4
6,House Heating Fuel: Propane,NE,Arthur,82,81,83,87,99,101,113,109,120,135
7,House Heating Fuel: Wood,NE,Arthur,25,23,22,18,22,16,16,16,14,8
26,Median Number of Rooms,NE,Arthur,6.3,6.3,6.1,6.2,6.2,6.3,6.1,6.3,6.4,6.1
27,Number of Rooms: 1,NE,Arthur,0,0,0,3,3,6,7,6,4,4
28,Number of Rooms: 2,NE,Arthur,5,0,2,2,2,2,2,0,0,0
29,Number of Rooms: 3,NE,Arthur,0,0,3,7,9,8,16,12,9,11
30,Number of Rooms: 4,NE,Arthur,20,23,31,31,33,29,31,26,31,27
31,Number of Rooms: 5,NE,Arthur,41,35,45,26,26,38,40,43,46,59
32,Number of Rooms: 6,NE,Arthur,63,66,59,70,70,58,57,57,55,60
33,Number of Rooms: 7,NE,Arthur,29,30,30,27,23,28,26,29,29,26
34,Number of Rooms: 8,NE,Arthur,41,30,24,24,30,29,31,38,45,41
