,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,NE,Adams,2654,2785,3064,3019,3068,3348,3609,3991,4262,4391
4,House Heating Fuel: Fuel Oil,NE,Adams,23,18,5,6,14,17,29,33,33,22
5,House Heating Fuel: Gas,NE,Adams,8792,8743,8656,8677,8527,8399,8252,7857,7612,7447
6,House Heating Fuel: Propane,NE,Adams,588,606,576,644,675,644,621,576,513,537
7,House Heating Fuel: Wood,NE,Adams,181,148,156,146,196,191,149,133,162,169
3,House Heating Fuel: Electric,NE,Antelope,712,823,830,794,828,873,865,868,881,797
4,House Heating Fuel: Fuel Oil,NE,Antelope,16,4,8,25,21,20,20,21,8,8
5,House Heating Fuel: Gas,NE,Antelope,1095,1080,1079,1132,1112,1089,1077,1124,1126,1203
6,House Heating Fuel: Propane,NE,Antelope,681,653,623,688,644,642,591,556,523,586
7,House Heating Fuel: Wood,NE,Antelope,216,183,232,180,175,151,154,142,106,95
3,House Heating Fuel: Electric,NE,Arthur,61,63,67,62,56,50,43,40,48,44
4,House Heating Fuel: Fuel Oil,NE,Arthur,0,0,0,0,0,0,0,0,0,1
5,House Heating Fuel: Gas,NE,Arthur,10,10,8,7,7,4,1,2,1,4
6,House Heating Fuel: Propane,NE,Arthur,82,81,83,87,99,101,113,109,120,135
7,House Heating Fuel: Wood,NE,Arthur,25,23,22,18,22,16,16,16,14,8
3,House Heating Fuel: Electric,NE,Banner,41,35,40,65,61,62,60,60,71,74
4,House Heating Fuel: Fuel Oil,NE,Banner,0,11,14,13,16,17,7,5,4,6
5,House Heating Fuel: Gas,NE,Banner,37,34,36,32,26,24,17,9,7,4
6,House Heating Fuel: Propane,NE,Banner,207,201,177,191,189,214,212,202,166,167
7,House Heating Fuel: Wood,NE,Banner,32,31,31,12,9,10,7,16,17,19
3,House Heating Fuel: Electric,NE,Blaine,56,79,62,58,49,44,42,41,44,62
4,House Heating Fuel: Fuel Oil,NE,Blaine,0,0,0,0,0,0,0,0,0,0
5,House Heating Fuel: Gas,NE,Blaine,4,5,15,19,19,16,24,12,5,9
6,House Heating Fuel: Propane,NE,Blaine,140,107,100,112,127,129,132,138,134,116
