,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NE,Adams,2.56,2.51,2.48,2.47,2.48,2.51,2.53,2.56,2.55,2.52
1,Avg household size of renter-occupied unit,NE,Adams,2.09,2.09,2.13,2.12,2.07,1.98,1.95,1.9,1.93,2.02
36,Owner-Occupied,NE,Adams,22341,22080,21725,21696,22122,22096,21934,22163,22104,21331
37,Renter-Occupied,NE,Adams,7678,7617,8063,8079,7624,7644,7857,7624,7783,8605
0,Avg household size of owner-occupied unit,NE,Antelope,2.43,2.44,2.38,2.38,2.36,2.36,2.39,2.34,2.39,2.33
1,Avg household size of renter-occupied unit,NE,Antelope,2.12,2.13,2.14,1.97,2.03,1.99,2.05,2.18,2.23,2.26
36,Owner-Occupied,NE,Antelope,4895,5027,5005,5115,5043,5037,5046,4955,4934,4780
37,Renter-Occupied,NE,Antelope,1654,1574,1558,1396,1401,1366,1293,1373,1365,1499
0,Avg household size of owner-occupied unit,NE,Arthur,2.47,2.56,2.84,2.75,2.43,2.48,2.46,2.44,2.25,2.08
1,Avg household size of renter-occupied unit,NE,Arthur,2.26,2.48,2.5,3.04,2.65,2.5,2.26,2.28,1.98,2.35
36,Owner-Occupied,NE,Arthur,279,294,335,300,277,263,281,273,295,272
37,Renter-Occupied,NE,Arthur,147,154,155,207,199,185,156,148,123,155
0,Avg household size of owner-occupied unit,NE,Banner,2.13,2.1,2.18,2.41,2.42,2.46,2.5,2.37,2.49,2.49
1,Avg household size of renter-occupied unit,NE,Banner,2.49,2.42,3.1,2.58,2.82,2.34,2.58,2.56,2.51,2.7
36,Owner-Occupied,NE,Banner,451,403,428,507,512,560,520,485,508,490
37,Renter-Occupied,NE,Banner,269,300,350,309,276,260,273,243,188,232
0,Avg household size of owner-occupied unit,NE,Blaine,2.34,2.51,2.27,2.22,2.39,2.26,2.13,2.1,2.15,2.17
1,Avg household size of renter-occupied unit,NE,Blaine,2.01,2.12,2.55,2.54,2.36,2.53,2.56,2.26,2.3,2.45
36,Owner-Occupied,NE,Blaine,370,394,306,322,311,278,309,296,312,340
37,Renter-Occupied,NE,Blaine,169,191,278,264,283,273,271,206,168,137
0,Avg household size of owner-occupied unit,NE,Boone,2.37,2.4,2.44,2.48,2.42,2.41,2.36,2.27,2.25,2.26
1,Avg household size of renter-occupied unit,NE,Boone,2.03,1.89,1.91,2.05,2.17,2.2,2.32,2.44,2.4,2.17
36,Owner-Occupied,NE,Boone,4203,4325,4375,4280,4280,4225,4126,4020,4000,3975
37,Renter-Occupied,NE,Boone,1230,1079,991,1057,1018,1045,1123,1230,1205,1196
0,Avg household size of owner-occupied unit,NE,Box Butte,2.4,2.39,2.38,2.43,2.46,2.48,2.53,2.6,2.43,2.43
1,Avg household size of renter-occupied unit,NE,Box Butte,2.22,2.2,2.14,2.01,2.03,1.98,1.93,1.84,1.94,1.91
36,Owner-Occupied,NE,Box Butte,7746,7772,7361,7775,7574,7900,8274,8601,7736,7921
37,Renter-Occupied,NE,Box Butte,3465,3397,3771,3327,3524,3208,2799,2395,3141,2841
0,Avg household size of owner-occupied unit,NE,Boyd,2.25,2.3,2.29,2.29,2.25,2.14,2.15,2.16,2.12,2.03
1,Avg household size of renter-occupied unit,NE,Boyd,2.25,2.14,1.9,1.77,1.75,2.2,2.31,2.56,2.71,2.47
36,Owner-Occupied,NE,Boyd,1576,1659,1679,1786,1698,1612,1589,1599,1557,1497
37,Renter-Occupied,NE,Boyd,521,404,314,280,342,400,390,423,458,412
0,Avg household size of owner-occupied unit,NE,Brown,2.44,2.38,2.25,2.08,2.07,2.05,2.04,2.03,2.04,2.1
1,Avg household size of renter-occupied unit,NE,Brown,1.78,1.85,1.78,1.86,1.89,1.9,1.84,2.06,2.1,2.27
36,Owner-Occupied,NE,Brown,2299,2358,2381,2235,2097,2144,2216,2185,2167,2197
37,Renter-Occupied,NE,Brown,708,748,751,878,938,881,756,825,776,775
0,Avg household size of owner-occupied unit,NE,Buffalo,2.64,2.65,2.66,2.64,2.64,2.64,2.61,2.61,2.61,2.62
1,Avg household size of renter-occupied unit,NE,Buffalo,2.15,2.18,2.22,2.26,2.24,2.22,2.27,2.19,2.15,2.19
36,Owner-Occupied,NE,Buffalo,29820,29980,30192,30315,30561,30665,30754,31156,31759,32447
37,Renter-Occupied,NE,Buffalo,12802,13129,13580,14087,14429,14960,15282,15334,15010,14585
0,Avg household size of owner-occupied unit,NE,Burt,2.36,2.39,2.37,2.37,2.36,2.43,2.39,2.31,2.31,2.34
1,Avg household size of renter-occupied unit,NE,Burt,2.1,2.18,2.04,2.03,2.0,1.94,1.98,1.98,1.86,1.92
36,Owner-Occupied,NE,Burt,5187,5360,5326,5269,5261,5409,5176,5049,5072,5110
37,Renter-Occupied,NE,Burt,1590,1448,1405,1378,1317,1118,1299,1379,1341,1287
0,Avg household size of owner-occupied unit,NE,Butler,2.51,2.48,2.41,2.42,2.35,2.31,2.35,2.39,2.41,2.43
1,Avg household size of renter-occupied unit,NE,Butler,2.11,2.04,2.15,2.15,2.11,2.08,2.13,2.08,2.06,1.99
36,Owner-Occupied,NE,Butler,6518,6560,6303,6397,6392,6450,6468,6507,6372,6369
37,Renter-Occupied,NE,Butler,1798,1693,1921,1798,1759,1624,1557,1418,1514,1484
0,Avg household size of owner-occupied unit,NE,Cass,2.69,2.63,2.63,2.64,2.64,2.62,2.65,2.61,2.61,2.64
1,Avg household size of renter-occupied unit,NE,Cass,2.24,2.22,2.32,2.34,2.26,2.36,2.36,2.26,2.22,2.3
36,Owner-Occupied,NE,Cass,21332,21040,20543,20261,20745,20649,20974,21145,21305,21416
37,Renter-Occupied,NE,Cass,3734,3975,4441,4715,4305,4419,4194,4070,4100,4181
0,Avg household size of owner-occupied unit,NE,Cedar,2.62,2.55,2.6,2.54,2.51,2.45,2.46,2.45,2.43,2.43
1,Avg household size of renter-occupied unit,NE,Cedar,2.29,2.29,2.19,2.02,2.1,2.11,2.07,2.17,2.38,2.2
36,Owner-Occupied,NE,Cedar,7254,7125,7144,7295,7163,7136,7057,6939,6849,6853
37,Renter-Occupied,NE,Cedar,1488,1548,1502,1338,1419,1391,1451,1473,1525,1498
0,Avg household size of owner-occupied unit,NE,Chase,2.34,2.34,2.34,2.33,2.38,2.26,2.4,2.27,2.21,2.2
1,Avg household size of renter-occupied unit,NE,Chase,1.98,2.01,1.97,2.2,2.06,2.21,2.18,2.06,1.9,2.23
36,Owner-Occupied,NE,Chase,3039,3103,3185,3052,3133,2995,3218,3059,2919,2800
37,Renter-Occupied,NE,Chase,819,751,699,854,781,830,770,670,741,911
0,Avg household size of owner-occupied unit,NE,Cherry,2.37,2.54,2.41,2.34,2.39,2.25,2.21,2.23,2.25,2.21
1,Avg household size of renter-occupied unit,NE,Cherry,2.11,1.79,1.77,1.76,1.76,1.92,1.92,1.99,2.14,2.28
36,Owner-Occupied,NE,Cherry,3923,4246,4291,4108,3992,3909,3678,3650,3529,3431
37,Renter-Occupied,NE,Cherry,1803,1418,1336,1521,1638,1730,1973,2018,2141,2239
0,Avg household size of owner-occupied unit,NE,Cheyenne,2.49,2.44,2.44,2.43,2.43,2.41,2.39,2.4,2.31,2.35
1,Avg household size of renter-occupied unit,NE,Cheyenne,1.83,1.82,1.82,1.88,1.94,1.96,1.88,1.89,1.95,1.78
36,Owner-Occupied,NE,Cheyenne,7601,7377,7224,7133,7118,7282,7415,7465,7040,6889
37,Renter-Occupied,NE,Cheyenne,2381,2550,2684,2769,2808,2688,2567,2438,2702,2607
0,Avg household size of owner-occupied unit,NE,Clay,2.56,2.6,2.52,2.46,2.44,2.46,2.46,2.41,2.44,2.46
1,Avg household size of renter-occupied unit,NE,Clay,2.08,1.99,2.04,2.2,2.29,2.21,2.17,2.18,2.17,2.19
36,Owner-Occupied,NE,Clay,5187,5376,5259,5075,4946,4988,4896,4867,4944,4985
37,Renter-Occupied,NE,Clay,1243,1052,1134,1292,1375,1293,1316,1298,1191,1124
0,Avg household size of owner-occupied unit,NE,Colfax,2.78,2.75,2.7,2.75,2.8,2.84,2.86,2.77,2.8,2.85
1,Avg household size of renter-occupied unit,NE,Colfax,2.55,2.69,3.29,3.01,2.93,2.94,2.81,3.05,3.05,2.84
36,Owner-Occupied,NE,Colfax,8328,8025,7444,7526,7639,7642,7562,6978,7377,7689
37,Renter-Occupied,NE,Colfax,1812,2162,2883,2849,2760,2780,2839,3543,3289,2935
0,Avg household size of owner-occupied unit,NE,Cuming,2.36,2.37,2.34,2.36,2.34,2.43,2.38,2.38,2.32,2.35
1,Avg household size of renter-occupied unit,NE,Cuming,2.44,2.42,2.57,2.29,2.29,2.38,2.29,2.26,2.44,2.4
36,Owner-Occupied,NE,Cuming,6799,6821,6547,6366,6209,6311,6184,6151,6036,6097
37,Renter-Occupied,NE,Cuming,2336,2220,2440,2572,2716,2616,2720,2739,2811,2712
0,Avg household size of owner-occupied unit,NE,Custer,2.37,2.38,2.33,2.28,2.24,2.29,2.29,2.27,2.2,2.21
1,Avg household size of renter-occupied unit,NE,Custer,2.17,2.34,2.24,2.21,2.26,2.14,2.08,2.16,2.23,2.19
