,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,NE,Adams,283,296,297,278,259,308,348,412,453,473
41,Units in Structure: 1 DETACHED,NE,Adams,10090,10215,10238,10457,10641,10383,10400,10470,10469,10341
42,Units in Structure: 10-19,NE,Adams,206,155,174,198,231,265,232,215,184,156
43,Units in Structure: 2,NE,Adams,474,442,444,409,359,411,446,419,408,386
44,Units in Structure: 20-49,NE,Adams,256,248,265,235,185,147,142,135,165,295
45,Units in Structure: 3-4,NE,Adams,843,763,906,738,719,860,968,956,989,981
46,Units in Structure: 5-9,NE,Adams,396,358,246,217,244,304,300,381,403,378
47,Units in Structure: 50+,NE,Adams,229,251,257,308,286,290,240,251,236,272
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Adams,14,8,12,10,8,15,18,23,20,20
49,Units in Structure: Mobile Home,NE,Adams,616,648,594,621,598,635,581,532,546,604
40,Units in Structure: 1 ATTACHED,NE,Antelope,24,26,33,28,17,14,15,9,15,20
41,Units in Structure: 1 DETACHED,NE,Antelope,2991,2941,2923,2959,2939,2918,2904,2944,2963,2998
42,Units in Structure: 10-19,NE,Antelope,4,9,17,25,30,35,41,50,32,36
43,Units in Structure: 2,NE,Antelope,12,17,15,3,34,34,37,42,40,13
44,Units in Structure: 20-49,NE,Antelope,27,32,22,20,11,9,9,3,7,13
45,Units in Structure: 3-4,NE,Antelope,52,53,50,40,43,46,45,34,61,54
46,Units in Structure: 5-9,NE,Antelope,42,34,33,17,29,48,76,93,89,83
47,Units in Structure: 50+,NE,Antelope,2,8,4,12,14,15,9,10,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Antelope,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Antelope,137,168,190,169,152,142,148,133,107,114
40,Units in Structure: 1 ATTACHED,NE,Arthur,3,2,3,7,11,7,14,10,10,6
41,Units in Structure: 1 DETACHED,NE,Arthur,215,207,214,207,213,221,224,229,246,251
42,Units in Structure: 10-19,NE,Arthur,0,0,0,0,0,0,0,0,0,0
43,Units in Structure: 2,NE,Arthur,0,2,1,1,2,2,0,0,0,0
44,Units in Structure: 20-49,NE,Arthur,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NE,Arthur,0,0,0,0,0,0,0,0,0,0
46,Units in Structure: 5-9,NE,Arthur,0,0,0,0,0,0,0,0,0,0
47,Units in Structure: 50+,NE,Arthur,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Arthur,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Arthur,14,11,18,22,21,23,21,22,20,22
40,Units in Structure: 1 ATTACHED,NE,Banner,5,6,7,9,4,4,3,4,0,0
41,Units in Structure: 1 DETACHED,NE,Banner,300,306,324,346,342,358,349,366,374,390
42,Units in Structure: 10-19,NE,Banner,0,0,0,0,0,0,0,0,0,0
43,Units in Structure: 2,NE,Banner,6,9,0,0,0,0,0,0,0,0
44,Units in Structure: 20-49,NE,Banner,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NE,Banner,13,16,5,8,4,5,5,4,1,2
46,Units in Structure: 5-9,NE,Banner,8,0,0,0,0,0,0,0,0,0
47,Units in Structure: 50+,NE,Banner,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Banner,0,0,0,0,0,0,0,2,3,2
49,Units in Structure: Mobile Home,NE,Banner,42,46,43,40,37,39,27,29,22,21
40,Units in Structure: 1 ATTACHED,NE,Blaine,15,0,3,1,1,1,1,0,0,0
41,Units in Structure: 1 DETACHED,NE,Blaine,299,321,328,325,313,299,303,296,286,281
42,Units in Structure: 10-19,NE,Blaine,0,0,0,3,3,2,5,7,0,0
43,Units in Structure: 2,NE,Blaine,0,0,0,0,0,0,0,0,0,0
44,Units in Structure: 20-49,NE,Blaine,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NE,Blaine,0,0,0,0,0,0,0,0,0,0
46,Units in Structure: 5-9,NE,Blaine,0,0,0,0,0,0,3,3,3,4
47,Units in Structure: 50+,NE,Blaine,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Blaine,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Blaine,23,25,30,29,32,39,40,34,36,37
40,Units in Structure: 1 ATTACHED,NE,Boone,12,13,8,12,11,17,17,19,15,9
41,Units in Structure: 1 DETACHED,NE,Boone,2371,2347,2349,2373,2375,2356,2374,2392,2355,2350
42,Units in Structure: 10-19,NE,Boone,12,15,6,12,17,21,19,22,23,20
43,Units in Structure: 2,NE,Boone,33,37,49,39,32,33,30,27,36,34
44,Units in Structure: 20-49,NE,Boone,48,52,59,57,71,62,56,58,48,49
45,Units in Structure: 3-4,NE,Boone,53,52,41,32,28,46,38,42,58,74
46,Units in Structure: 5-9,NE,Boone,46,47,42,36,33,20,31,36,47,54
47,Units in Structure: 50+,NE,Boone,0,0,0,0,3,3,3,4,4,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Boone,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Boone,93,110,90,77,76,79,60,64,59,54
40,Units in Structure: 1 ATTACHED,NE,Box Butte,69,62,50,70,86,91,81,95,139,163
41,Units in Structure: 1 DETACHED,NE,Box Butte,3844,3544,3555,3669,3657,3777,3963,4001,3876,4015
42,Units in Structure: 10-19,NE,Box Butte,124,249,249,223,282,352,283,271,297,254
43,Units in Structure: 2,NE,Box Butte,212,226,200,133,200,87,68,51,158,139
44,Units in Structure: 20-49,NE,Box Butte,202,259,314,290,211,178,196,215,242,162
45,Units in Structure: 3-4,NE,Box Butte,222,179,198,179,146,120,125,149,150,197
46,Units in Structure: 5-9,NE,Box Butte,89,104,165,222,292,265,241,196,170,152
47,Units in Structure: 50+,NE,Box Butte,48,13,43,57,67,103,137,133,140,89
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Box Butte,0,15,29,23,12,5,0,0,0,0
49,Units in Structure: Mobile Home,NE,Box Butte,674,814,664,596,513,470,346,348,287,272
40,Units in Structure: 1 ATTACHED,NE,Boyd,3,0,3,5,6,5,5,3,0,0
41,Units in Structure: 1 DETACHED,NE,Boyd,1197,1165,1111,1142,1142,1133,1143,1169,1184,1173
42,Units in Structure: 10-19,NE,Boyd,0,1,12,14,18,25,24,17,22,20
43,Units in Structure: 2,NE,Boyd,3,3,2,3,3,3,2,2,3,1
44,Units in Structure: 20-49,NE,Boyd,0,0,6,13,13,15,14,9,2,3
45,Units in Structure: 3-4,NE,Boyd,9,10,11,8,11,7,9,8,7,5
46,Units in Structure: 5-9,NE,Boyd,21,25,16,11,13,5,5,8,11,12
47,Units in Structure: 50+,NE,Boyd,0,0,0,0,2,2,1,1,2,0
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Boyd,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Boyd,206,202,195,188,171,175,182,176,177,181
40,Units in Structure: 1 ATTACHED,NE,Brown,14,11,19,18,16,11,6,5,0,0
41,Units in Structure: 1 DETACHED,NE,Brown,1568,1591,1635,1581,1495,1440,1487,1521,1589,1578
42,Units in Structure: 10-19,NE,Brown,0,0,0,0,0,0,6,6,6,6
43,Units in Structure: 2,NE,Brown,31,48,50,89,71,93,84,77,46,51
44,Units in Structure: 20-49,NE,Brown,35,29,29,7,9,7,29,23,31,38
45,Units in Structure: 3-4,NE,Brown,88,99,88,109,158,124,63,67,62,43
46,Units in Structure: 5-9,NE,Brown,0,0,4,28,53,53,47,39,13,0
47,Units in Structure: 50+,NE,Brown,0,0,0,0,0,0,0,0,0,4
48,"Units in Structure: Boat,RV,Van,Etc.",NE,Brown,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,NE,Brown,67,59,53,45,58,127,151,138,133,173
