,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,NE,40094,37158,42716,37437,42156,40556,41474,40601,38138,38575
50,Year Built: 1950-1959,NE,79967,83673,80136,82236,79619,81013,77632,74092,80537,86572
51,Year Built: 1960-1969,NE,98927,90370,91224,91700,96987,92538,91071,94029,93950,91101
52,Year Built: 1970-1979,NE,137185,134576,131895,132114,133746,131985,133028,134821,134406,136911
53,Year Built: 1980-1989,NE,73856,75406,78365,76753,77567,78879,77096,78887,79797,78563
54,Year Built: 1990-1999,NE,85222,91387,87681,93328,88765,98751,96418,97000,98885,97168
55,Year Built: 2000-2009,NE,55426,53894,99966,100887,100500,96691,95429,98235,94368,92116
56,Year Built: 2010-2013,NE,41196,50203,6999,15399,19252,22153,26468,23930,23850,24058
57,Year Built: 2014 or later,NE,,,,,,4047.0,13501.0,20724.0,29599.0,39941.0
58,Year Built: before 1940,NE,185804,184515,185292,177034,176365,174312,175074,175221,171481,166162
