,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",NE,46499,39013,40350,38358,35318,36827,33266,28420,33679,30395
8,"Household Income: $100,000 to $124,999",NE,49853,54998,56596,58694,64176,68011,69003,70339,74856,75244
9,"Household Income: $125,000 to $149,999",NE,26181,26251,28284,30736,31617,35526,37347,40844,44015,47119
10,"Household Income: $15,000 to $19,999",NE,38875,39080,40458,36276,38625,36030,31084,32931,34686,26514
11,"Household Income: $150,000 to $199,999",NE,20312,24195,24795,25325,29587,33059,37665,39056,40328,47279
12,"Household Income: $20,000 to $24,999",NE,45603,44154,41491,43163,41553,41023,37602,36833,36439,35113
13,"Household Income: $200,000 or more",NE,16572,22347,20793,24967,23724,28667,31453,32993,35835,41375
14,"Household Income: $25,000 to $29,999",NE,40956,38650,40214,38839,38837,36402,38037,29959,35126,30390
15,"Household Income: $30,000 to $34,999",NE,44454,41691,41690,39576,40289,39770,40412,38999,36755,36654
16,"Household Income: $35,000 to $39,999",NE,36572,37657,36878,36719,38984,37763,36761,37886,36267,32908
17,"Household Income: $40,000 to $44,999",NE,37736,37010,42828,37884,35613,34794,35558,38085,33679,37925
18,"Household Income: $45,000 to $49,999",NE,33707,31669,32472,37146,33772,32086,33429,31630,34989,31514
19,"Household Income: $50,000 to $59,999",NE,66482,64625,65354,65659,68523,61397,57950,63314,64936,64039
20,"Household Income: $60,000 to $74,999",NE,78943,78971,82898,81846,80600,82098,83173,88007,82701,86318
21,"Household Income: $75,000 to $99,999",NE,91778,92823,94305,90962,96030,98049,99028,105880,102838,111438
22,"Household Income: Less than $10,000",NE,44781,50666,44164,44429,43517,42657,45794,39314,38361,37219
23,Household Income: Total:,NE,719304,723800,733570,730579,740765,744159,747562,754490,765490,771444
24,Median Household Income,NE,48408.0,50296.0,50723.0,51440.0,52686.0,54996.0,56927.0,59970.0,59566.0,63229.0
