State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NE,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,80,21844,113,223,0,0,0,491659,853105,3153159,1919288,1625604,2083955,1786602,1870049,2138420,2027538,1313131
NE,Residential Total Volume (Mcf),47104528,40771186,40587616,42510246,46663208,43825752,42190221,38600383,37963106,35896107,38595746,42356736,40143315,40132201,39716832,31285746,41228720,42146920,34663440,33049686,34068876,42379014,41638944
NE,Residential Sales Volume (Mcf),47104528,38476163,34098646,34552484,35889665,35956807,36072527,33735014,32440232,30816171,33060692,36888552,35233228,35069146,34669552,26845872,36092724,37008701,30447731,28914810,29818302,37370279,36516762
NE,Residential Transported Volume (Mcf),0,2295023,6488970,7957762,10773543,7868945,6117694,4865369,5522874,5079936,5535054,5468184,4910087,5063055,5047280,4439874,5135996,5138219,4215709,4134876,4250574,5008735,5122182
NE,Residential Sales Price (Dollars),6.16,5.69,5.82,6.85,8.98,7.41,8.25,9.28,10.98,11.92,11.58,11.63,10.79,10.4,10.25,10.26,9.93,10.59,10.35,9.94,10.5,10.06,9.74
NE,Residential Transported Price (Dollars),,,,,,,,,,,,3.77,4.42,4.55,4.14,5.09,4.59,4.57,6.28,7.04,7.86,6.93,5.46
NE,Residential Sales Revenue (Dollars),268245307,197358413,172419948,222107933,312546135,222256638,282384432,305788614,346360912,348199470,368732063,409816796,329048314,313864862,306466359,233031372,302802729,324684751,269861319,231625820,268653351,319107914,288505612
NE,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,20619628,21726372,23033286,20914578,22602116,23586556,23462053,26493237,29095192,33410977,34727579,27979999
NE,Residential Total Customers,444970,523790,460173,475673,476275,487332,492451,497391,501279,499504,494005,512013,512551,510776,514481,515338,527397,522408,525165,535245,533844,538069,553265
NE,Residential Sales Customers,444970,452269,385848,401204,402601,413386,417918,422614,427811,426977,424072,438031,442328,442413,446652,447617,459712,454725,457504,467542,465936,470558,485565
NE,Residential Transported Customers,0,71521,74325,74469,73674,73946,74533,74777,73468,72527,69933,73982,70223,68363,67829,67721,67685,67683,67661,67703,67908,67511,67700
NE,Commercial Total Volume (Mcf),33852746,28910717,27585853,28907131,27791946,28184675,28368047,29858072,27400644,28087418,30066912,34812643,31789911,31992608,32115288,26502970,32213812,32407164,29464068,26971215,29018187,35348871,35387643
NE,Commercial Sales Volume (Mcf),25115235,20969850,18358538,17672428,17708963,17954289,18547750,18965979,17672863,18292375,19216060,20020651,19497742,19328952,19466455,14780087,18466084,18279383,16524862,15787079,15996069,19880355,19661919
NE,Commercial Transported Volume (Mcf),8737511,7940867,9227315,11234703,10082983,10230386,9820297,10892093,9727781,9795043,10850852,14791992,12292169,12663656,12648833,11722883,13747728,14127781,12939206,11184136,13022118,15468516,15725724
NE,Commercial Sales Price (Dollars),5.56,5.2,5.55,6.5,7.78,7.15,7.95,8.7,10.02,10.99,10.66,10.72,9.61,9.31,8.98,8.75,8.51,9.98,9.07,8.62,8.91,8.44,8.18
NE,Commercial Transported Price (Dollars),,,,,,,,,,,,1.02,1.02,1.08,1.02,1.06,1.05,1.06,1.17,1.4,1.12,1.23,1.09
NE,Commercial Sales Revenue (Dollars),122478369,89076899,75959362,96537040,132369202,91668598,127955459,144163248,167064564,176013490,176071916,192586729,145040841,136936753,130155349,91467465,119893836,132817400,105701665,86020851,101951153,124857772,114585860
NE,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,20399062,16678268,18846348,17937785,18207434,21403399,21892339,23542257,24877875,28634216,32393767,26976671
NE,Commercial Total Customers,51661,63819,53943,55194,55692,56560,55999,57087,57389,56548,55761,58160,56454,56246,56553,56608,58005,57191,57521,58226,58538,58786,59808
NE,Commercial Sales Customers,49567,50236,37563,36297,35582,35792,38378,38991,39801,39322,38807,40334,40456,40348,40881,41074,42400,41467,41718,42402,42815,43166,44137
NE,Commercial Transported Customers,2094,13583,16380,18897,20110,20768,17621,18096,17588,17226,16954,17826,15998,15898,15672,15534,15605,15724,15803,15824,15723,15620,15671
NE,Industrial Total Volume (Mcf),44417675,53052684,45749741,46816467,40145107,40426028,38114746,38865973,40948361,53408082,65656038,76258849,80872738,85180089,86127643,85439358,88139797,86878410,85603549,91021130,89520868,89516347,89696419
NE,Industrial Sales Volume (Mcf),12012475,6727160,6482791,7188388,7239596,6340724,6282783,6405741,6663361,6221961,6396320,7751746,7172425,7162001,6532772,5848488,6845999,6396229,6047435,5685808,5419423,4707787,4950619
