Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,NE,338,440,434,363,364,316,288,264,328,353,325
,Statewide Total,Cooperative,NE,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,NE,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,NE,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Municipal Owned,NE,338,440,434,363,364,316,288,264,328,353,325
39393,ADM FREMONT,Cooperative,NE,0,0,0,0,0,0,0,0,0,0,0
31483,CITY OF SCRIBNER UTILITIES,Municipal Owned,NE,0,1,2,0,1,0,0,0,0,0,0
31363,CITY OF WAHOO,Municipal Owned,NE,0,0,0,0,0,0,0,0,0,0,0
30927,E&S GASLINE,Privately Owned,NE,0,0,0,0,0,0,0,0,0,0,0
22769,"WISNER, CITY OF",Municipal Owned,NE,0,0,0,0,0,0,0,0,0,1,1
18799,"SUPERIOR UTILITIES, CITY OF",Municipal Owned,NE,2,5,2,3,2,3,2,0,0,8,4
18664,STROMSBURG GAS DEPARTMENT,Municipal Owned,NE,0,0,0,0,2,0,0,1,2,0,0
15742,PONCA GAS DEPT,Municipal Owned,NE,0,0,0,0,0,0,0,0,0,0,2
15217,"PENDER MUNICIPAL GAS DEPT, VILLAGE OF",Municipal Owned,NE,0,0,0,0,0,0,0,0,0,1,0
13180,NEBRASKA CITY UTILITIES,Municipal Owned,NE,0,0,0,0,0,0,0,0,0,0,0
12390,METROPOLITAN UTILITIES DISTRICT,Municipal Owned,NE,316,405,405,336,335,298,271,244,308,309,299
11952,"LYONS GAS SYSTEM, CITY OF",Municipal Owned,NE,0,4,0,0,1,0,0,0,0,0,0
7135,HASTINGS UTILITIES,Municipal Owned,NE,2,2,5,4,4,0,6,6,5,9,4
5613,FREMONT DEPT OF UTIL - GAS DIV,Municipal Owned,NE,7,10,9,10,3,5,2,4,3,13,6
5057,FALLS CITY UTILITIES,Municipal Owned,NE,8,11,10,10,13,7,6,8,8,8,5
2180,CENTRAL CITY GAS SYSTEM DEPT,Municipal Owned,NE,0,0,0,0,0,0,0,0,1,2,0
893,STUART GAS CO,Municipal Owned,NE,0,0,0,0,3,0,0,0,0,0,0
342,"ALMA NATURAL  GAS SYSTEMS, CITY OF",Municipal Owned,NE,3,2,1,0,0,3,1,1,1,2,4
