,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,NV,Churchill,5.3,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.4,5.5
27,Number of Rooms: 1,NV,Churchill,139,141,148,136,86,76,73,116,66,118
28,Number of Rooms: 2,NV,Churchill,167,77,91,94,182,210,194,251,274,186
29,Number of Rooms: 3,NV,Churchill,810,734,672,663,726,620,745,795,756,698
30,Number of Rooms: 4,NV,Churchill,1808,1833,1750,1837,1950,1810,1942,1836,1806,1866
31,Number of Rooms: 5,NV,Churchill,2915,2856,2922,2989,3038,3159,2996,2950,2908,2669
32,Number of Rooms: 6,NV,Churchill,2586,2487,2291,2192,2021,2066,1967,2180,2364,2551
33,Number of Rooms: 7,NV,Churchill,1175,1251,1335,1275,1164,1255,1353,1361,1370,1387
34,Number of Rooms: 8,NV,Churchill,728,845,994,1017,1035,971,861,814,763,784
35,Number of Rooms: 9+,NV,Churchill,447,605,616,553,557,571,552,564,601,688
26,Median Number of Rooms,NV,Clark,5.3,5.3,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.1
27,Number of Rooms: 1,NV,Clark,16468,19293,21952,21783,22659,23739,24609,25050,27887,29323
28,Number of Rooms: 2,NV,Clark,19269,19684,19916,22439,24348,26386,28206,30827,32858,35312
29,Number of Rooms: 3,NV,Clark,82775,85364,89089,93565,97210,99717,100349,100886,101113,101652
30,Number of Rooms: 4,NV,Clark,152777,153837,156837,160121,161582,163092,164500,164605,164390,165951
31,Number of Rooms: 5,NV,Clark,175337,181036,183447,182985,185504,184466,182902,182972,185053,185593
32,Number of Rooms: 6,NV,Clark,162264,161902,161821,158524,156732,152200,154455,155691,156104,156339
33,Number of Rooms: 7,NV,Clark,97103,98674,95282,95416,93917,94868,93393,95886,94636,95363
34,Number of Rooms: 8,NV,Clark,56300,57157,56549,56386,55004,55595,57395,59984,61587,63672
35,Number of Rooms: 9+,NV,Clark,50547,52597,54001,53760,54175,57068,58355,61716,64928,66665
26,Median Number of Rooms,NV,Douglas,5.7,5.7,5.6,5.6,5.5,5.4,5.4,5.4,5.4,5.5
27,Number of Rooms: 1,NV,Douglas,231,280,251,317,277,270,298,380,423,458
28,Number of Rooms: 2,NV,Douglas,255,427,383,401,463,506,389,433,437,355
29,Number of Rooms: 3,NV,Douglas,819,791,862,980,1080,1259,1601,1816,2022,1965
30,Number of Rooms: 4,NV,Douglas,3488,3467,3422,3441,3967,4078,4238,4029,3951,3621
31,Number of Rooms: 5,NV,Douglas,5980,5966,6219,6252,5920,6103,6141,5806,5779,5867
32,Number of Rooms: 6,NV,Douglas,5806,5721,5658,5433,5409,5170,4741,5056,5059,5333
33,Number of Rooms: 7,NV,Douglas,3018,3087,3000,2883,2741,2791,2842,2951,3155,3199
34,Number of Rooms: 8,NV,Douglas,1479,1556,1638,1763,1614,1691,1767,1768,1459,1720
35,Number of Rooms: 9+,NV,Douglas,2347,2314,2231,2177,2206,1842,1793,1824,1923,1881
26,Median Number of Rooms,NV,Elko,5.4,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.6,5.7
27,Number of Rooms: 1,NV,Elko,232,357,450,378,318,335,314,371,444,499
28,Number of Rooms: 2,NV,Elko,482,441,282,395,376,413,392,406,392,413
29,Number of Rooms: 3,NV,Elko,1408,1195,1172,1133,1097,1169,1139,1276,1216,1112
30,Number of Rooms: 4,NV,Elko,3140,3087,3195,3446,3547,3409,3358,3153,3269,3149
31,Number of Rooms: 5,NV,Elko,4968,4331,4126,4088,4275,4319,4464,4608,4787,4864
32,Number of Rooms: 6,NV,Elko,4214,4530,4554,4061,4030,4017,4094,4363,4705,4563
33,Number of Rooms: 7,NV,Elko,2281,2334,2460,2478,2655,2664,2649,2708,2568,2712
34,Number of Rooms: 8,NV,Elko,1288,1575,1643,1997,1915,1921,2028,2109,1781,1990
35,Number of Rooms: 9+,NV,Elko,1479,1666,1742,1736,1726,1945,1987,2081,2188,2277
26,Median Number of Rooms,NV,Esmeralda,4.4,4.2,4.1,4.1,4.1,4.2,4.3,4.2,4.2,4.3
27,Number of Rooms: 1,NV,Esmeralda,29,45,53,68,84,88,62,55,34,41
28,Number of Rooms: 2,NV,Esmeralda,58,84,90,68,48,52,30,27,63,60
29,Number of Rooms: 3,NV,Esmeralda,113,132,149,153,164,156,148,165,156,113
30,Number of Rooms: 4,NV,Esmeralda,271,280,282,284,297,308,326,340,313,319
31,Number of Rooms: 5,NV,Esmeralda,237,202,210,179,161,189,201,209,213,238
32,Number of Rooms: 6,NV,Esmeralda,101,96,74,83,111,119,124,127,118,108
33,Number of Rooms: 7,NV,Esmeralda,49,26,34,36,45,46,48,39,32,27
34,Number of Rooms: 8,NV,Esmeralda,5,13,13,11,16,24,16,18,15,26
35,Number of Rooms: 9+,NV,Esmeralda,43,40,23,31,13,21,14,12,5,18
26,Median Number of Rooms,NV,Eureka,4.9,5.1,5.1,5.0,5.0,5.1,5.1,5.2,5.3,5.4
27,Number of Rooms: 1,NV,Eureka,5,16,23,17,19,18,8,0,8,9
28,Number of Rooms: 2,NV,Eureka,89,61,79,76,59,36,39,29,39,68
29,Number of Rooms: 3,NV,Eureka,88,100,130,166,169,148,149,115,84,112
30,Number of Rooms: 4,NV,Eureka,225,156,106,131,177,165,187,202,171,129
31,Number of Rooms: 5,NV,Eureka,366,379,315,285,301,340,323,353,364,336
32,Number of Rooms: 6,NV,Eureka,181,185,178,126,170,200,212,237,285,305
33,Number of Rooms: 7,NV,Eureka,52,60,83,123,130,127,128,144,84,112
34,Number of Rooms: 8,NV,Eureka,75,76,78,88,68,57,55,37,36,37
35,Number of Rooms: 9+,NV,Eureka,50,59,71,56,33,30,45,50,103,118
26,Median Number of Rooms,NV,Humboldt,5.3,5.3,5.3,5.2,5.3,5.2,5.1,5.1,5.3,5.3
27,Number of Rooms: 1,NV,Humboldt,67,106,125,82,109,106,144,174,189,163
28,Number of Rooms: 2,NV,Humboldt,104,130,124,224,197,192,146,166,169,170
29,Number of Rooms: 3,NV,Humboldt,534,372,533,540,536,671,641,490,439,356
30,Number of Rooms: 4,NV,Humboldt,1360,1330,1164,1202,1165,1221,1262,1262,1144,1214
31,Number of Rooms: 5,NV,Humboldt,1790,1952,1944,2067,2071,2089,2315,2561,2348,2468
32,Number of Rooms: 6,NV,Humboldt,1166,1240,1148,1062,1120,1163,985,1004,1273,1202
33,Number of Rooms: 7,NV,Humboldt,1223,1190,1135,1041,949,807,717,784,846,790
34,Number of Rooms: 8,NV,Humboldt,453,430,480,445,515,411,503,540,590,656
35,Number of Rooms: 9+,NV,Humboldt,412,368,466,448,503,533,510,474,495,533
26,Median Number of Rooms,NV,Lander,5.2,5.3,5.4,5.5,5.6,5.7,5.6,5.6,5.4,5.2
27,Number of Rooms: 1,NV,Lander,79,57,17,16,15,0,23,23,25,46
28,Number of Rooms: 2,NV,Lander,76,38,97,100,83,89,100,57,50,0
29,Number of Rooms: 3,NV,Lander,124,104,104,40,67,78,67,87,170,138
30,Number of Rooms: 4,NV,Lander,372,389,297,356,375,332,346,335,313,450
31,Number of Rooms: 5,NV,Lander,703,730,714,717,676,656,666,756,802,1002
32,Number of Rooms: 6,NV,Lander,337,318,330,397,478,543,491,616,581,444
33,Number of Rooms: 7,NV,Lander,237,320,227,293,310,258,216,293,270,252
34,Number of Rooms: 8,NV,Lander,229,257,282,258,231,195,141,140,120,125
35,Number of Rooms: 9+,NV,Lander,134,154,250,292,285,333,455,381,246,200
26,Median Number of Rooms,NV,Lincoln,5.6,5.3,5.1,4.9,5.0,4.9,5.1,5.3,5.6,5.5
27,Number of Rooms: 1,NV,Lincoln,36,61,61,92,101,72,55,57,24,10
28,Number of Rooms: 2,NV,Lincoln,100,109,107,107,111,133,125,153,86,98
29,Number of Rooms: 3,NV,Lincoln,197,285,334,377,371,328,284,296,229,284
30,Number of Rooms: 4,NV,Lincoln,372,474,520,604,570,555,511,413,425,346
31,Number of Rooms: 5,NV,Lincoln,420,445,510,475,505,569,533,493,570,593
32,Number of Rooms: 6,NV,Lincoln,424,490,499,426,458,417,417,481,585,505
33,Number of Rooms: 7,NV,Lincoln,338,206,197,195,210,209,272,327,373,321
34,Number of Rooms: 8,NV,Lincoln,177,184,132,125,137,154,151,150,238,216
35,Number of Rooms: 9+,NV,Lincoln,292,293,296,300,327,234,233,291,236,264
26,Median Number of Rooms,NV,Lyon,5.6,5.5,5.5,5.5,5.4,5.4,5.5,5.5,5.6,5.6
27,Number of Rooms: 1,NV,Lyon,291,346,392,211,189,193,274,252,236,266
28,Number of Rooms: 2,NV,Lyon,219,197,195,251,290,369,439,429,447,303
29,Number of Rooms: 3,NV,Lyon,769,1152,1069,1038,1039,996,770,863,975,959
30,Number of Rooms: 4,NV,Lyon,2839,3201,3514,3540,3605,3801,3980,3647,3585,3208
