,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NV,Churchill,2.84,2.76,2.63,2.59,2.52,2.44,2.45,2.4,2.37,2.39
1,Avg household size of renter-occupied unit,NV,Churchill,2.73,2.79,2.67,2.65,2.57,2.63,2.57,2.44,2.42,2.37
36,Owner-Occupied,NV,Churchill,16117,15879,15501,14825,14306,14175,14092,15039,15303,15510
37,Renter-Occupied,NV,Churchill,8522,8637,8873,9326,9613,9604,9581,8460,8154,8159
0,Avg household size of owner-occupied unit,NV,Clark,2.73,2.74,2.74,2.76,2.78,2.79,2.79,2.82,2.81,2.82
1,Avg household size of renter-occupied unit,NV,Clark,2.64,2.68,2.73,2.74,2.76,2.77,2.78,2.75,2.7,2.68
36,Owner-Occupied,NV,Clark,1107624,1097428,1079151,1068707,1055550,1060405,1072616,1113806,1147012,1189374
37,Renter-Occupied,NV,Clark,766854,809517,853773,886563,926330,953638,975059,975795,971740,969879
0,Avg household size of owner-occupied unit,NV,Douglas,2.41,2.4,2.39,2.35,2.33,2.33,2.34,2.28,2.29,2.29
1,Avg household size of renter-occupied unit,NV,Douglas,2.54,2.55,2.53,2.52,2.46,2.48,2.41,2.43,2.36,2.34
36,Owner-Occupied,NV,Douglas,35176,33685,33521,32877,32761,32003,32310,32192,32920,33984
37,Renter-Occupied,NV,Douglas,11586,13050,13214,13852,14064,14964,14836,15160,14640,13887
0,Avg household size of owner-occupied unit,NV,Elko,2.87,2.87,2.87,2.94,2.92,2.93,2.95,2.91,2.94,2.92
1,Avg household size of renter-occupied unit,NV,Elko,2.38,2.47,2.49,2.46,2.69,2.71,2.79,2.82,2.82,2.66
36,Owner-Occupied,NV,Elko,35341,36228,35925,36274,36527,36475,36577,36748,37602,37601
37,Renter-Occupied,NV,Elko,11943,11376,12441,12956,13636,14248,14615,14793,13790,13831
0,Avg household size of owner-occupied unit,NV,Esmeralda,1.69,1.71,1.78,2.08,2.06,2.3,2.43,2.23,2.0,1.95
1,Avg household size of renter-occupied unit,NV,Esmeralda,1.89,1.72,1.68,1.92,2.39,2.42,2.24,2.2,2.35,1.98
36,Owner-Occupied,NV,Esmeralda,553,557,527,552,575,666,617,601,529,558
37,Renter-Occupied,NV,Esmeralda,339,314,366,408,450,470,447,496,447,405
0,Avg household size of owner-occupied unit,NV,Eureka,2.22,2.28,2.5,2.56,2.44,2.46,2.61,2.42,2.52,2.42
1,Avg household size of renter-occupied unit,NV,Eureka,2.81,2.81,2.52,2.18,1.9,1.45,1.43,1.89,2.19,2.33
36,Owner-Occupied,NV,Eureka,1177,1210,1213,1233,1281,1341,1395,1276,1385,1380
37,Renter-Occupied,NV,Eureka,547,532,565,547,464,323,330,447,440,474
0,Avg household size of owner-occupied unit,NV,Humboldt,2.62,2.64,2.61,2.61,2.67,2.69,2.74,2.63,2.62,2.52
1,Avg household size of renter-occupied unit,NV,Humboldt,2.49,2.61,2.6,2.66,2.99,2.87,2.72,2.9,2.78,2.64
36,Owner-Occupied,NV,Humboldt,11558,11734,11580,11671,11842,12158,12726,12670,12382,11704
37,Renter-Occupied,NV,Humboldt,4182,4329,4729,4917,4942,4683,4141,4201,4308,4913
0,Avg household size of owner-occupied unit,NV,Lander,2.73,2.66,2.84,2.89,2.74,2.77,2.8,2.6,2.66,2.63
1,Avg household size of renter-occupied unit,NV,Lander,2.9,3.04,2.95,2.79,3.14,2.84,2.73,2.98,2.99,2.31
36,Owner-Occupied,NV,Lander,3821,3780,4230,4565,4529,4610,4729,4616,4475,4240
37,Renter-Occupied,NV,Lander,1577,1784,1448,1207,1336,1278,1120,1213,1216,1347
0,Avg household size of owner-occupied unit,NV,Lincoln,2.67,2.71,2.5,2.56,2.68,2.59,2.6,2.53,2.41,2.53
1,Avg household size of renter-occupied unit,NV,Lincoln,2.74,2.58,2.51,2.45,2.36,2.48,2.43,2.19,1.86,1.53
36,Owner-Occupied,NV,Lincoln,3350,3546,3461,3166,3319,3310,3255,3384,3624,3819
37,Renter-Occupied,NV,Lincoln,1377,1304,1483,1786,1601,1500,1417,1303,1000,777
0,Avg household size of owner-occupied unit,NV,Lyon,2.87,2.77,2.72,2.6,2.54,2.5,2.51,2.48,2.48,2.5
1,Avg household size of renter-occupied unit,NV,Lyon,2.83,2.83,2.86,2.76,2.74,2.94,2.9,2.85,2.81,2.7
36,Owner-Occupied,NV,Lyon,36790,35539,35489,35282,35977,34270,33798,35297,36046,37402
37,Renter-Occupied,NV,Lyon,13986,15653,15699,15850,15187,17098,17822,16746,16874,16750
0,Avg household size of owner-occupied unit,NV,Mineral,1.88,1.8,1.91,2.06,2.23,2.18,2.18,2.2,2.12,2.02
1,Avg household size of renter-occupied unit,NV,Mineral,2.42,2.72,2.33,2.3,2.6,2.36,2.08,2.66,2.54,2.44
