,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,NV,Churchill,261,343,319,310,313,381,333,361,375,358
41,Units in Structure: 1 DETACHED,NV,Churchill,6647,6770,6851,7044,7237,7612,7387,7633,7576,7518
42,Units in Structure: 10-19,NV,Churchill,77,104,94,92,112,72,70,54,17,63
43,Units in Structure: 2,NV,Churchill,561,414,337,268,234,188,213,208,245,230
44,Units in Structure: 20-49,NV,Churchill,90,88,114,150,191,163,258,306,212,193
45,Units in Structure: 3-4,NV,Churchill,637,687,687,562,491,358,409,407,403,449
46,Units in Structure: 5-9,NV,Churchill,378,358,270,382,310,315,256,357,337,266
47,Units in Structure: 50+,NV,Churchill,87,60,56,49,17,17,72,68,123,138
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Churchill,13,14,22,23,13,5,8,4,10,15
49,Units in Structure: Mobile Home,NV,Churchill,2024,1991,2069,1876,1841,1627,1677,1469,1610,1717
40,Units in Structure: 1 ATTACHED,NV,Clark,42096,41615,41151,40699,40306,40481,41760,42240,43061,43679
41,Units in Structure: 1 DETACHED,NV,Clark,477459,486733,491001,493390,495593,500952,506360,516822,523528,531003
42,Units in Structure: 10-19,NV,Clark,56921,57855,58660,58219,57255,56615,57426,56383,55173,56442
43,Units in Structure: 2,NV,Clark,8411,8309,8764,8783,9263,9135,9090,8776,9519,9549
44,Units in Structure: 20-49,NV,Clark,20787,22965,25297,25419,25418,26327,26787,25677,26510,27515
45,Units in Structure: 3-4,NV,Clark,55537,55554,56508,56715,57551,57366,57913,59653,61047,62705
46,Units in Structure: 5-9,NV,Clark,85425,86473,83792,84480,84192,83486,80666,82522,81174,79574
47,Units in Structure: 50+,NV,Clark,36047,40836,45320,48713,52973,55714,57462,59047,62323,63259
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Clark,1245,1048,739,608,565,644,695,789,825,896
49,Units in Structure: Mobile Home,NV,Clark,28912,28156,27662,27953,28015,26411,26005,25708,25396,25248
40,Units in Structure: 1 ATTACHED,NV,Douglas,858,772,906,776,846,1039,1308,1270,1758,1594
41,Units in Structure: 1 DETACHED,NV,Douglas,18320,18490,18363,18282,18191,18048,17975,18121,17927,18255
42,Units in Structure: 10-19,NV,Douglas,249,229,226,300,287,242,202,226,226,201
43,Units in Structure: 2,NV,Douglas,889,782,762,807,792,764,823,745,622,766
44,Units in Structure: 20-49,NV,Douglas,167,211,211,203,238,253,287,357,448,376
45,Units in Structure: 3-4,NV,Douglas,779,941,837,846,863,898,848,955,813,915
46,Units in Structure: 5-9,NV,Douglas,492,587,707,728,710,686,557,635,726,671
47,Units in Structure: 50+,NV,Douglas,86,59,96,65,149,202,306,330,359,285
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Douglas,25,37,30,26,15,22,11,12,13,17
49,Units in Structure: Mobile Home,NV,Douglas,1558,1501,1526,1614,1586,1556,1493,1412,1316,1319
40,Units in Structure: 1 ATTACHED,NV,Elko,421,346,335,193,155,123,114,191,303,332
41,Units in Structure: 1 DETACHED,NV,Elko,11892,12230,12300,12471,12533,12539,12714,13235,13425,13591
42,Units in Structure: 10-19,NV,Elko,229,224,215,225,256,262,363,343,266,289
43,Units in Structure: 2,NV,Elko,530,380,366,428,560,526,623,615,610,533
44,Units in Structure: 20-49,NV,Elko,102,127,157,92,91,100,148,216,222,267
45,Units in Structure: 3-4,NV,Elko,1383,1245,1253,1340,1204,1157,1067,1136,1194,1357
46,Units in Structure: 5-9,NV,Elko,726,770,892,908,796,835,799,828,814,808
47,Units in Structure: 50+,NV,Elko,123,89,116,142,191,204,205,236,232,245
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Elko,28,22,22,13,12,3,0,0,33,52
49,Units in Structure: Mobile Home,NV,Elko,4058,4083,3968,3900,4141,4443,4392,4275,4251,4105
40,Units in Structure: 1 ATTACHED,NV,Esmeralda,7,7,6,8,13,18,17,14,6,2
41,Units in Structure: 1 DETACHED,NV,Esmeralda,260,260,230,267,305,361,331,343,355,348
42,Units in Structure: 10-19,NV,Esmeralda,34,31,20,16,12,18,19,17,6,14
43,Units in Structure: 2,NV,Esmeralda,40,23,12,2,3,12,14,10,8,9
44,Units in Structure: 20-49,NV,Esmeralda,30,72,76,67,68,91,97,115,116,90
45,Units in Structure: 3-4,NV,Esmeralda,33,38,26,30,31,16,10,35,30,48
46,Units in Structure: 5-9,NV,Esmeralda,17,15,9,11,11,5,4,0,0,0
47,Units in Structure: 50+,NV,Esmeralda,0,10,10,10,10,10,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Esmeralda,6,7,4,7,9,4,8,10,11,9
49,Units in Structure: Mobile Home,NV,Esmeralda,479,455,535,495,477,468,469,448,417,430
40,Units in Structure: 1 ATTACHED,NV,Eureka,0,0,0,0,0,0,18,19,20,26
41,Units in Structure: 1 DETACHED,NV,Eureka,592,610,636,634,681,681,657,568,570,585
42,Units in Structure: 10-19,NV,Eureka,0,0,0,0,0,0,0,0,5,6
43,Units in Structure: 2,NV,Eureka,26,21,41,42,44,47,51,32,33,39
44,Units in Structure: 20-49,NV,Eureka,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NV,Eureka,33,15,17,12,16,16,32,72,71,72
46,Units in Structure: 5-9,NV,Eureka,17,16,11,11,10,0,0,0,0,0
47,Units in Structure: 50+,NV,Eureka,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Eureka,6,6,0,0,0,0,5,5,5,14
49,Units in Structure: Mobile Home,NV,Eureka,457,424,358,369,375,377,383,471,470,484
40,Units in Structure: 1 ATTACHED,NV,Humboldt,30,41,117,136,85,110,103,95,102,90
41,Units in Structure: 1 DETACHED,NV,Humboldt,3595,3814,4246,4282,4369,4236,4086,3972,3881,3700
42,Units in Structure: 10-19,NV,Humboldt,76,78,38,0,0,0,0,0,0,0
43,Units in Structure: 2,NV,Humboldt,27,41,59,152,144,156,133,92,106,107
44,Units in Structure: 20-49,NV,Humboldt,104,108,90,97,110,147,156,173,152,122
45,Units in Structure: 3-4,NV,Humboldt,162,131,121,128,122,169,128,163,153,167
46,Units in Structure: 5-9,NV,Humboldt,237,173,158,224,228,166,151,156,90,223
47,Units in Structure: 50+,NV,Humboldt,62,59,57,55,36,0,30,32,35,66
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Humboldt,84,107,118,51,44,26,47,50,44,47
49,Units in Structure: Mobile Home,NV,Humboldt,2732,2566,2115,1986,2027,2183,2389,2722,2930,3030
40,Units in Structure: 1 ATTACHED,NV,Lander,41,59,44,21,23,26,3,10,9,10
41,Units in Structure: 1 DETACHED,NV,Lander,1066,1115,1194,1237,1285,1104,1196,1325,1163,1137
42,Units in Structure: 10-19,NV,Lander,0,0,0,0,0,0,0,0,0,0
43,Units in Structure: 2,NV,Lander,0,0,0,17,21,25,23,28,0,0
44,Units in Structure: 20-49,NV,Lander,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NV,Lander,66,72,36,39,76,91,86,62,86,71
46,Units in Structure: 5-9,NV,Lander,34,43,33,10,9,8,0,0,0,0
47,Units in Structure: 50+,NV,Lander,0,0,0,0,16,19,34,29,50,0
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Lander,0,0,0,0,0,0,22,22,24,22
49,Units in Structure: Mobile Home,NV,Lander,1084,1078,1011,1145,1090,1211,1141,1212,1245,1417
40,Units in Structure: 1 ATTACHED,NV,Lincoln,0,16,25,30,34,34,123,136,137,160
41,Units in Structure: 1 DETACHED,NV,Lincoln,1530,1670,1772,1787,1975,1841,1771,1858,1954,1850
42,Units in Structure: 10-19,NV,Lincoln,15,7,0,12,24,33,32,64,46,35
43,Units in Structure: 2,NV,Lincoln,52,45,62,65,50,15,15,13,17,16
44,Units in Structure: 20-49,NV,Lincoln,21,7,55,111,0,0,0,0,0,0
45,Units in Structure: 3-4,NV,Lincoln,20,19,22,32,16,37,50,43,52,60
46,Units in Structure: 5-9,NV,Lincoln,7,21,64,32,41,43,28,0,0,0
47,Units in Structure: 50+,NV,Lincoln,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Lincoln,23,44,50,59,71,24,11,13,0,17
49,Units in Structure: Mobile Home,NV,Lincoln,688,718,606,573,579,644,551,534,560,499
40,Units in Structure: 1 ATTACHED,NV,Lyon,212,206,328,331,303,255,361,294,279,308
41,Units in Structure: 1 DETACHED,NV,Lyon,14041,14534,14876,15549,16387,16491,16392,17192,17290,17297
42,Units in Structure: 10-19,NV,Lyon,164,120,162,154,110,125,145,112,97,41
43,Units in Structure: 2,NV,Lyon,318,238,253,210,205,118,148,143,186,205
44,Units in Structure: 20-49,NV,Lyon,60,39,57,22,67,142,222,270,354,330
45,Units in Structure: 3-4,NV,Lyon,1053,1156,1035,852,774,660,715,598,507,553
46,Units in Structure: 5-9,NV,Lyon,347,441,581,493,400,459,445,388,434,451
47,Units in Structure: 50+,NV,Lyon,89,72,87,74,48,60,157,184,210,209
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Lyon,34,31,24,40,32,41,54,43,28,37
49,Units in Structure: Mobile Home,NV,Lyon,5163,5309,4883,4627,4118,4068,3788,3755,3785,3989
40,Units in Structure: 1 ATTACHED,NV,Mineral,12,45,36,43,58,72,42,61,54,39
41,Units in Structure: 1 DETACHED,NV,Mineral,2290,2145,2100,1957,1748,1854,1903,1850,2057,2167
42,Units in Structure: 10-19,NV,Mineral,36,34,49,68,80,44,47,71,57,44
43,Units in Structure: 2,NV,Mineral,64,82,101,117,116,89,113,101,79,50
44,Units in Structure: 20-49,NV,Mineral,14,12,12,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NV,Mineral,184,178,134,135,91,104,120,127,141,86
46,Units in Structure: 5-9,NV,Mineral,93,105,104,54,59,94,78,66,66,44
47,Units in Structure: 50+,NV,Mineral,11,12,13,0,0,0,0,7,5,3
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Mineral,0,0,0,0,0,0,0,6,8,10
49,Units in Structure: Mobile Home,NV,Mineral,585,518,505,446,459,457,472,481,435,473
40,Units in Structure: 1 ATTACHED,NV,Nye,317,330,202,236,251,325,311,412,304,324
41,Units in Structure: 1 DETACHED,NV,Nye,9824,10403,11070,11512,11591,11690,11629,11859,12207,12114
42,Units in Structure: 10-19,NV,Nye,84,103,112,178,269,258,277,327,299,285
43,Units in Structure: 2,NV,Nye,625,431,375,278,362,334,399,399,516,455
44,Units in Structure: 20-49,NV,Nye,178,144,226,236,163,159,131,145,137,159
45,Units in Structure: 3-4,NV,Nye,585,684,590,526,601,757,610,527,526,492
46,Units in Structure: 5-9,NV,Nye,386,267,205,231,228,205,364,297,264,272
47,Units in Structure: 50+,NV,Nye,107,112,90,23,31,15,15,84,171,172
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Nye,194,222,200,234,159,185,222,245,196,226
49,Units in Structure: Mobile Home,NV,Nye,9022,9225,8904,8503,8396,7975,7828,8053,7719,7905
40,Units in Structure: 1 ATTACHED,NV,Pershing,30,25,31,5,0,8,9,16,79,106
41,Units in Structure: 1 DETACHED,NV,Pershing,1292,1374,1449,1472,1427,1246,1225,1169,1090,1060
42,Units in Structure: 10-19,NV,Pershing,28,53,20,29,21,47,55,64,41,59
43,Units in Structure: 2,NV,Pershing,13,8,7,21,25,24,27,29,25,32
44,Units in Structure: 20-49,NV,Pershing,14,21,0,0,9,19,20,16,23,40
45,Units in Structure: 3-4,NV,Pershing,85,96,93,119,130,103,77,59,81,67
46,Units in Structure: 5-9,NV,Pershing,119,105,110,93,131,160,101,103,109,102
47,Units in Structure: 50+,NV,Pershing,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Pershing,0,0,0,0,0,10,18,20,16,50
49,Units in Structure: Mobile Home,NV,Pershing,884,777,746,690,686,801,871,993,1015,978
40,Units in Structure: 1 ATTACHED,NV,Storey,0,0,0,0,0,5,7,10,15,18
41,Units in Structure: 1 DETACHED,NV,Storey,1576,1510,1508,1537,1535,1546,1502,1441,1424,1478
42,Units in Structure: 10-19,NV,Storey,0,0,0,0,0,0,0,0,0,0
43,Units in Structure: 2,NV,Storey,0,0,0,0,0,0,0,0,0,25
44,Units in Structure: 20-49,NV,Storey,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NV,Storey,25,0,0,23,37,43,77,70,39,31
46,Units in Structure: 5-9,NV,Storey,0,0,28,29,30,32,27,0,0,0
47,Units in Structure: 50+,NV,Storey,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NV,Storey,45,46,45,46,37,0,0,0,0,0
49,Units in Structure: Mobile Home,NV,Storey,373,401,426,369,357,356,388,448,445,421
40,Units in Structure: 1 ATTACHED,NV,Washoe,9645,10424,11226,11068,10757,10396,9943,9212,9460,9026
