,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NV,2.7,2.73,2.67,2.73,2.76,2.75,2.78,2.75,2.75,2.75
1,Avg household size of renter-occupied unit,NV,2.69,2.74,2.74,2.76,2.73,2.73,2.72,2.65,2.52,2.55
2,House Heating Fuel: Electric,NV,288359,320235,321747,323768,351476,361369,369932,393340,417183,413115
3,House Heating Fuel: Fuel Oil,NV,8664,6691,7231,6665,5896,6529,7190,7045,5834,5404
4,House Heating Fuel: Gas,NV,638719,605079,627705,621978,611388,622936,623652,639476,646974,664388
5,House Heating Fuel: Propane,NV,31061,28705,26371,27742,27175,25153,28287,27839,26003,29867
6,House Heating Fuel: Wood,NV,15273,13633,15907,13813,17073,14312,13487,14295,17336,14014
25,Median Number of Rooms,NV,5.3,5.2,5.1,5.2,5.1,5.2,5.2,5.2,5.2,5.1
26,Number of Rooms: 1,NV,29761,32584,33315,30784,30972,38775,40897,39894,47703,40086
27,Number of Rooms: 2,NV,30611,33978,32734,43467,42823,43359,42813,44217,53056,53027
28,Number of Rooms: 3,NV,114783,124110,131213,131869,138421,129674,131200,128425,134389,141279
29,Number of Rooms: 4,NV,216962,214687,225236,219282,228197,224130,218484,219220,217072,235127
30,Number of Rooms: 5,NV,252566,273223,263430,254711,256735,253777,256289,259233,269381,267595
31,Number of Rooms: 6,NV,240657,211725,214169,208271,213789,211851,221141,233327,224736,222131
32,Number of Rooms: 7,NV,131057,140859,126663,138331,132179,134789,137192,139331,133027,139565
33,Number of Rooms: 8,NV,84210,81634,77964,80828,75185,83568,87204,91679,93374,92041
34,Number of Rooms: 9+,NV,74463,71117,78118,79393,80668,89941,86539,94407,95979,94830
35,Owner-Occupied,NV,1529941,1510276,1475783,1487765,1510002,1545410,1606078,1702489,1764464,1779866
36,Renter-Occupied,NV,1138547,1176892,1246865,1266056,1292539,1308699,1296060,1257310,1232313,1262627
37,Total Housing Units,NV,1175070,1183917,1182842,1186936,1198969,1209864,1221759,1249733,1268717,1285681
38,Total Population,NV,2704642,2723322,2758931,2790136,2839099,2890845,2940058,2998039,3034392,3080156
39,Units in Structure: 1 ATTACHED,NV,58223,55845,56378,49011,52722,56762,58882,56602,57457,54563
40,Units in Structure: 1 DETACHED,NV,688294,686328,696588,706859,709211,714256,727062,749855,756031,762812
41,Units in Structure: 10-19,NV,72849,67848,70479,70464,65955,69018,70533,62385,69141,71777
42,Units in Structure: 2,NV,16397,14997,16112,14081,16417,16056,15783,14674,18280,18554
43,Units in Structure: 20-49,NV,31564,36667,40614,32098,32929,35653,38891,37231,37898,38538
44,Units in Structure: 3-4,NV,72242,76128,70202,74973,76409,73461,75281,80171,82589,88436
45,Units in Structure: 5-9,NV,106538,108768,96671,110480,102378,105813,91505,108726,97930,95335
46,Units in Structure: 50+,NV,53113,63465,66529,63785,75267,71958,77541,74979,82799,84215
47,"Units in Structure: Boat,RV,Van,Etc.",NV,1628,866,806,1423,1140,1766,1557,1873,1517,2085
48,Units in Structure: Mobile Home,NV,74222,73005,68463,63762,66541,65121,64724,63237,65075,69366
49,Year Built: 1940-1949,NV,12020,15049,14268,11962,16073,13384,12446,14337,14703,15268
50,Year Built: 1950-1959,NV,36733,37909,35739,38153,34746,35194,35414,37645,36003,35677
51,Year Built: 1960-1969,NV,68015,66984,76636,70920,75084,75239,78302,73241,69785,75269
52,Year Built: 1970-1979,NV,172822,176775,172756,164558,157145,153955,155126,162406,166847,166799
53,Year Built: 1980-1989,NV,199714,175875,193865,188099,188385,185404,187077,197064,189808,184117
54,Year Built: 1990-1999,NV,310211,309567,306752,307062,331206,330712,337954,338375,334116,347597
55,Year Built: 2000-2009,NV,222757,238783,357108,367611,357940,363885,338399,330085,340853,326736
56,Year Built: 2010-2013,NV,139171,147953,11581,22885,26623,31383,41613,44313,42449,43718
57,Year Built: 2014 or later,NV,,,,,,7777.0,20976.0,39913.0,59883.0,76492.0
58,Year Built: before 1940,NV,13627,15022,14137,15686,11767,12931,14452,12354,14270,14008
