,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,NV,5.3,5.2,5.1,5.2,5.1,5.2,5.2,5.2,5.2,5.1
26,Number of Rooms: 1,NV,29761,32584,33315,30784,30972,38775,40897,39894,47703,40086
27,Number of Rooms: 2,NV,30611,33978,32734,43467,42823,43359,42813,44217,53056,53027
28,Number of Rooms: 3,NV,114783,124110,131213,131869,138421,129674,131200,128425,134389,141279
29,Number of Rooms: 4,NV,216962,214687,225236,219282,228197,224130,218484,219220,217072,235127
30,Number of Rooms: 5,NV,252566,273223,263430,254711,256735,253777,256289,259233,269381,267595
31,Number of Rooms: 6,NV,240657,211725,214169,208271,213789,211851,221141,233327,224736,222131
32,Number of Rooms: 7,NV,131057,140859,126663,138331,132179,134789,137192,139331,133027,139565
33,Number of Rooms: 8,NV,84210,81634,77964,80828,75185,83568,87204,91679,93374,92041
34,Number of Rooms: 9+,NV,74463,71117,78118,79393,80668,89941,86539,94407,95979,94830
