,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",NV,46091,50769,51242,48733,50942,48258,42720,41810,41667,45099
8,"Household Income: $100,000 to $124,999",NV,75364,73625,72357,76672,78074,84951,88474,101430,103695,116598
9,"Household Income: $125,000 to $149,999",NV,42198,40032,40592,45937,42795,43753,54275,55544,60008,64746
10,"Household Income: $15,000 to $19,999",NV,50823,54029,53374,52674,49934,50363,53143,43830,44630,39946
11,"Household Income: $150,000 to $199,999",NV,35985,35672,35315,38943,39062,44909,45943,56747,66152,69365
12,"Household Income: $20,000 to $24,999",NV,60476,56580,61524,55964,59181,57403,53188,53034,53460,50808
13,"Household Income: $200,000 or more",NV,29981,30616,30991,32338,32797,39678,45689,52046,60713,73527
14,"Household Income: $25,000 to $29,999",NV,53498,56713,54710,55843,54955,53744,56693,49265,47139,44720
15,"Household Income: $30,000 to $34,999",NV,58719,55812,61214,54584,59100,61644,57215,56256,58742,48167
16,"Household Income: $35,000 to $39,999",NV,49391,50867,53047,51367,53314,52560,50798,51270,51823,46762
17,"Household Income: $40,000 to $44,999",NV,52845,56285,54102,54413,52268,53263,53783,55763,59290,51108
18,"Household Income: $45,000 to $49,999",NV,42995,48784,48449,44410,47797,49755,44637,45300,50181,51006
19,"Household Income: $50,000 to $59,999",NV,82435,86302,86483,91398,86964,82304,87876,98766,92355,90046
20,"Household Income: $60,000 to $74,999",NV,113402,101642,113691,111804,114955,116289,116975,120144,115225,123473
21,"Household Income: $75,000 to $99,999",NV,126353,114969,121733,118173,131981,136009,135242,145001,150362,159361
22,"Household Income: Less than $10,000",NV,69255,69655,67781,69318,67400,67182,68507,68407,74368,68825
23,Household Income: Total:,NV,989811,982352,1006605,1002571,1021519,1042065,1055158,1094613,1129810,1143557
24,Median Household Income,NV,51001.0,48927.0,49760.0,51230.0,51450.0,52431.0,55180.0,58003.0,58646.0,63276.0
