,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Nevada (Million cubic feet)",7262,7994,9052,9048,9388,11091,10670,11165,11778,13211,13182,13112,15983,11427,11891,12602,12226,14141,15275,16765,17153,19135,18184,20683,21263,20686,22607,25243,30023,28772,29942,32609,31958,32848,36534,36397,37937,38088,38665,38742,39379,40595,37071,41664,35135,37029,39075,40911,41837,47931,
"Natural gas consumed by (delivered to) the commercial sector, Nevada (Million cubic feet)",9633,11014,12755,13144,14078,14965,18389,17436,19940,19638,10207,8294,8449,11758,12012,12232,11451,13747,14879,15116,15073,16960,16101,17549,18694,18703,20421,21958,23314,22710,25586,22912,22685,24099,26862,26552,28046,28224,28920,29531,29475,30763,28991,31211,29105,29873,31125,32200,32772,35190,
"Natural gas consumed by the industrial sector, Nevada (Million cubic feet)",10327,10012,7672,10342,9272,10043,12633,9583,11039,11756,7354,7097,6183,9083,8881,6173,3477,6197,7218,7859,7511,6677,9289,6288,5983,7037,7448,8420,10055,12115,11341,11482,11028,10677,11742,13758,13579,13239,12892,11462,10732,11083,11303,13212,16435,17728,18330,19272,20156,20683,
"Natural gas consumed by the electric power sector, Nevada (Million cubic feet)",25336,37491,40043,40538,30700,25152,25105,32868,21749,39828,27541,44249,15688,9562,9389,8080,6592,7076,10658,23210,24348,22940,34672,39414,54710,61635,71134,75656,84093,89954,121054,108510,109605,115960,136945,147743,166867,171473,180668,192049,175837,162778,189291,181326,166727,209692,209901,196541,199840,193172,
"Residential carbon dioxide emissions, natural gas, Nevada (million metric tons CO2)",,,,,,,,,,,0.735843,0.749638,0.908224,0.646814,0.66793,0.709527,0.68788,0.75298,0.807363,0.915652,0.938307,1.052061,0.996616,1.128621,1.159447,1.134033,1.247362,1.375176,1.669481,1.557691,1.636215,1.770448,1.752249,1.804404,2.000926,2.015145,2.088098,2.094306,2.119932,2.116165,2.1671,2.20599,2.03796,2.287538,1.926169,2.042735,2.158239,2.256712,2.300219,,
"Commercial carbon dioxide emissions, natural gas, Nevada (million metric tons CO2)",,,,,,,,,,,0.569776,0.474167,0.48011,0.665543,0.674722,0.688729,0.644267,0.732023,0.786406,0.825562,0.824501,0.932471,0.882492,0.95762,1.019325,1.025373,1.126764,1.196269,1.29644,1.229535,1.398149,1.243967,1.243807,1.323817,1.471208,1.470041,1.543684,1.551908,1.585652,1.613029,1.622101,1.671709,1.593769,1.713624,1.595626,1.64794,1.719142,1.776178,1.801804,,
"Industrial carbon dioxide emissions, natural gas, Nevada (million metric tons CO2)",,,,,,,,,,,0.410499,0.405724,0.351341,0.514172,0.498839,0.347574,0.19562,0.329959,0.381477,0.429228,0.410871,0.367099,0.509079,0.343117,0.326245,0.385775,0.410977,0.458728,0.559111,0.65594,0.619702,0.623363,0.604687,0.586488,0.6431,0.761682,0.747409,0.727937,0.706874,0.626069,0.590627,0.602246,0.6214,0.725391,0.901008,0.977994,1.012427,1.063043,1.108195,,
"Natural Gas Citygate Price in Nevada, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.31,3.93,3.19,2.83,2.87,3.33,2.75,2.33,2.37,3.03,3.18,2.73,3.1,3.39,3.02,2.59,4.79,5.06,4.39,5.67,6.77,8.5,8.64,8.72,9.44,7.93,7.19,6.77,5.13,5.16,5.9,4.06,3.73,4.13,3.99,4.11,
"Nevada Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.51,1.51,1.52,1.54,1.72,1.95,2.04,2.78,2.8,2.83,4.06,4.84,5.56,6.81,6.95,7.04,5.96,5.31,5.87,5.55,5.66,5.61,5.59,5.69,6.66,6.76,6.19,6.27,7.11,7.14,6.63,8.96,9.7,8.96,10.05,12.46,14.31,14.17,13.33,13.18,12.25,10.66,10.14,9.42,11.44,11.82,10.23,8.82,9.24,9.5,10.36
"Nevada Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.76,0.77,0.8,0.87,1.06,1.55,1.77,2.2,2.4,2.8,3.87,4.58,5.54,6.03,6.14,6.12,4.91,4.29,4.62,4.44,4.38,4.34,4.33,4.4,5.36,5.4,4.91,5.08,6.28,6.02,5.54,8.0,7.71,7.29,8.38,10.39,12.12,12.03,11.21,10.92,9.77,8.07,7.43,6.61,8.21,8.66,6.84,5.71,6.34,6.49,7.25
