,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,NH,Belknap,825,800,772,858,831,1161,1294,1331,1465,1578
41,Units in Structure: 1 DETACHED,NH,Belknap,26759,27074,27125,27034,27070,27292,27177,27460,27677,27975
42,Units in Structure: 10-19,NH,Belknap,521,545,630,603,581,536,602,614,576,718
43,Units in Structure: 2,NH,Belknap,1729,1576,1570,1555,1744,1643,1662,1614,1543,1444
44,Units in Structure: 20-49,NH,Belknap,533,450,476,567,432,554,613,637,597,634
45,Units in Structure: 3-4,NH,Belknap,1623,1825,1787,1847,1843,1729,1585,1675,1457,1435
46,Units in Structure: 5-9,NH,Belknap,1653,1655,1719,1657,1630,1391,1362,1400,1399,1488
47,Units in Structure: 50+,NH,Belknap,332,345,369,425,421,387,351,360,296,346
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Belknap,7,8,7,0,0,0,0,0,0,5
49,Units in Structure: Mobile Home,NH,Belknap,2814,2860,2857,2835,2989,2918,3069,3057,3324,2984
40,Units in Structure: 1 ATTACHED,NH,Carroll,314,311,295,245,369,518,624,643,688,630
41,Units in Structure: 1 DETACHED,NH,Carroll,29909,30436,30245,30622,30633,30730,30441,30898,31258,31639
42,Units in Structure: 10-19,NH,Carroll,661,778,753,778,713,658,692,730,860,681
43,Units in Structure: 2,NH,Carroll,1215,1290,1528,1568,1530,1462,1449,1278,1414,1266
44,Units in Structure: 20-49,NH,Carroll,466,440,347,263,307,437,484,558,549,672
45,Units in Structure: 3-4,NH,Carroll,2318,2028,2057,1675,1663,1464,1469,1485,1551,1494
46,Units in Structure: 5-9,NH,Carroll,1805,1827,1929,1681,1744,1787,1994,1966,2074,2145
47,Units in Structure: 50+,NH,Carroll,84,75,38,23,23,13,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Carroll,0,16,16,17,18,18,0,13,14,9
49,Units in Structure: Mobile Home,NH,Carroll,2588,2448,2570,2996,3009,3040,3134,3158,2514,2632
40,Units in Structure: 1 ATTACHED,NH,Cheshire,704,709,599,653,652,665,759,845,751,752
41,Units in Structure: 1 DETACHED,NH,Cheshire,23562,23525,23587,23367,23340,23398,23333,23825,24307,24538
42,Units in Structure: 10-19,NH,Cheshire,892,934,802,765,785,684,680,704,807,741
43,Units in Structure: 2,NH,Cheshire,2127,2164,2158,2119,2020,1979,1880,1712,1817,1961
44,Units in Structure: 20-49,NH,Cheshire,874,1027,1015,972,986,984,899,1065,1084,1045
45,Units in Structure: 3-4,NH,Cheshire,2030,1962,1959,2175,2288,2330,2466,2478,2215,2101
46,Units in Structure: 5-9,NH,Cheshire,1628,1687,1801,1841,1902,1782,1817,1651,1384,1531
47,Units in Structure: 50+,NH,Cheshire,237,323,330,281,377,535,557,558,598,558
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Cheshire,0,0,0,0,0,2,1,2,2,2
49,Units in Structure: Mobile Home,NH,Cheshire,2422,2331,2449,2522,2432,2546,2572,2464,2486,2359
40,Units in Structure: 1 ATTACHED,NH,Coos,227,208,301,279,323,368,388,320,289,320
41,Units in Structure: 1 DETACHED,NH,Coos,14179,14398,14382,14293,14346,14179,14168,14376,14456,14491
42,Units in Structure: 10-19,NH,Coos,153,233,309,296,310,355,260,217,219,231
43,Units in Structure: 2,NH,Coos,1709,1593,1589,1733,1592,1697,1576,1551,1465,1537
44,Units in Structure: 20-49,NH,Coos,309,316,354,345,313,344,314,278,247,267
45,Units in Structure: 3-4,NH,Coos,1591,1460,1384,1286,1365,1209,1338,1432,1552,1519
46,Units in Structure: 5-9,NH,Coos,852,913,839,767,697,667,610,613,618,700
47,Units in Structure: 50+,NH,Coos,82,64,41,28,49,56,110,118,148,167
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Coos,3,7,6,5,4,5,2,3,0,7
49,Units in Structure: Mobile Home,NH,Coos,1972,2027,2035,2202,2287,2404,2511,2583,2532,2355
40,Units in Structure: 1 ATTACHED,NH,Grafton,3915,4464,5125,5032,4511,4098,4101,4146,4707,5251
41,Units in Structure: 1 DETACHED,NH,Grafton,30758,31427,31803,31734,32010,31814,31929,32292,32409,32125
42,Units in Structure: 10-19,NH,Grafton,1098,1031,941,1226,1316,1585,1620,1721,1551,1560
43,Units in Structure: 2,NH,Grafton,2104,2172,2037,1970,1927,1850,1779,1681,1809,1934
44,Units in Structure: 20-49,NH,Grafton,1145,1040,932,799,787,774,821,850,972,1172
45,Units in Structure: 3-4,NH,Grafton,2711,2566,2612,2943,2957,3088,3227,3205,2937,2860
46,Units in Structure: 5-9,NH,Grafton,2918,2828,2548,2667,2890,3059,3147,3493,3094,3088
47,Units in Structure: 50+,NH,Grafton,984,842,866,886,1024,1227,1144,1116,1081,962
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Grafton,0,0,0,5,5,8,17,30,33,32
49,Units in Structure: Mobile Home,NH,Grafton,4368,4319,4134,3985,4026,4087,3988,3813,3993,3929
40,Units in Structure: 1 ATTACHED,NH,Hillsborough,9778,10221,10126,10011,10288,10452,10202,10219,10080,9611
41,Units in Structure: 1 DETACHED,NH,Hillsborough,95004,94573,94600,94513,94878,95205,96361,97706,98287,98613
42,Units in Structure: 10-19,NH,Hillsborough,6793,6907,6801,6873,7081,7304,7318,7328,7368,7113
43,Units in Structure: 2,NH,Hillsborough,12838,13191,13671,13785,13654,13395,13077,13201,12540,12395
44,Units in Structure: 20-49,NH,Hillsborough,11645,11651,11682,11968,11785,11760,12213,12676,12866,13479
45,Units in Structure: 3-4,NH,Hillsborough,11997,12409,12635,12573,12161,11876,11659,11336,11156,11311
46,Units in Structure: 5-9,NH,Hillsborough,8744,8524,8372,8526,8710,9167,9010,8856,9187,9596
47,Units in Structure: 50+,NH,Hillsborough,4292,4479,4564,4717,4754,4720,4654,4757,5335,5528
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Hillsborough,24,37,24,26,31,23,38,42,59,66
49,Units in Structure: Mobile Home,NH,Hillsborough,3488,3473,3485,3330,3412,3305,3074,3168,3277,3480
40,Units in Structure: 1 ATTACHED,NH,Merrimack,2748,2770,2590,2889,2837,2778,2943,3004,3091,3092
41,Units in Structure: 1 DETACHED,NH,Merrimack,40487,41352,41598,41538,41600,41860,41138,41391,41721,41856
42,Units in Structure: 10-19,NH,Merrimack,2283,2258,2409,2230,1993,1691,1767,1811,1773,1999
43,Units in Structure: 2,NH,Merrimack,3979,3583,3410,3555,3342,3338,3577,3695,3386,3366
44,Units in Structure: 20-49,NH,Merrimack,1960,2223,2247,2584,2439,2578,2727,2901,2803,2862
45,Units in Structure: 3-4,NH,Merrimack,3570,3438,3254,3134,3414,3272,3263,3384,3516,3540
46,Units in Structure: 5-9,NH,Merrimack,3043,2839,3096,2828,2943,3124,3247,3106,3108,3151
47,Units in Structure: 50+,NH,Merrimack,1151,1122,1157,1130,1128,1082,1131,1309,1442,1420
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Merrimack,7,11,0,0,0,0,0,8,10,9
49,Units in Structure: Mobile Home,NH,Merrimack,3655,3698,3636,3562,3893,3930,3918,3840,3825,3665
40,Units in Structure: 1 ATTACHED,NH,Rockingham,9483,9258,9368,9547,9663,9892,10005,10065,9945,10033
41,Units in Structure: 1 DETACHED,NH,Rockingham,80588,81669,81559,81952,82762,83970,84752,85812,86360,86781
42,Units in Structure: 10-19,NH,Rockingham,4147,3882,3897,4051,4291,4479,4556,4545,4693,4532
43,Units in Structure: 2,NH,Rockingham,5759,6118,6464,6016,5979,5411,5156,4886,5225,5119
44,Units in Structure: 20-49,NH,Rockingham,5824,5696,5587,6016,6018,5696,5879,6226,5945,6071
45,Units in Structure: 3-4,NH,Rockingham,4902,5020,5177,4632,4675,5040,4772,4920,5230,5314
46,Units in Structure: 5-9,NH,Rockingham,5291,5040,5139,4782,4593,4426,4630,4924,4885,5007
47,Units in Structure: 50+,NH,Rockingham,1787,1785,1781,2053,2078,1956,2047,2315,2333,2525
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Rockingham,31,30,36,30,29,54,52,68,78,93
49,Units in Structure: Mobile Home,NH,Rockingham,7598,7642,7636,7847,7380,7070,6788,6426,6501,6694
40,Units in Structure: 1 ATTACHED,NH,Strafford,2119,2111,1844,1960,2114,2099,2129,2340,2417,2319
41,Units in Structure: 1 DETACHED,NH,Strafford,28634,29614,29363,28971,28929,28991,29103,29970,30197,30490
42,Units in Structure: 10-19,NH,Strafford,1577,1449,1437,1499,1499,1532,1592,1425,1430,1642
43,Units in Structure: 2,NH,Strafford,3076,2898,3006,3112,3320,3566,3552,3587,3567,3614
44,Units in Structure: 20-49,NH,Strafford,2022,2009,2177,2140,2256,2254,2334,2168,2204,2247
45,Units in Structure: 3-4,NH,Strafford,3493,3570,3763,4204,4125,4322,4277,4281,4212,4161
46,Units in Structure: 5-9,NH,Strafford,3263,3256,3518,3659,3559,3179,2983,2933,2888,2909
47,Units in Structure: 50+,NH,Strafford,1607,1480,1450,1178,1170,1279,1269,1286,1415,1494
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Strafford,13,10,0,0,0,0,7,20,31,31
49,Units in Structure: Mobile Home,NH,Strafford,5270,5032,5120,5052,5056,5015,5150,5099,5141,4976
40,Units in Structure: 1 ATTACHED,NH,Sullivan,420,376,368,368,361,355,394,458,478,400
41,Units in Structure: 1 DETACHED,NH,Sullivan,14799,15159,15340,15739,15895,15753,15759,15882,15714,15894
42,Units in Structure: 10-19,NH,Sullivan,414,475,483,438,532,444,324,303,304,202
43,Units in Structure: 2,NH,Sullivan,1247,1105,1199,1189,1118,1198,1292,1391,1327,1330
44,Units in Structure: 20-49,NH,Sullivan,501,453,443,425,441,522,558,548,486,428
45,Units in Structure: 3-4,NH,Sullivan,1181,1351,1422,1378,1430,1458,1354,1149,1333,1307
46,Units in Structure: 5-9,NH,Sullivan,999,786,707,572,532,496,603,704,780,814
47,Units in Structure: 50+,NH,Sullivan,274,322,275,315,344,352,273,348,268,300
48,"Units in Structure: Boat,RV,Van,Etc.",NH,Sullivan,0,0,0,0,3,2,2,2,2,0
49,Units in Structure: Mobile Home,NH,Sullivan,2243,2204,2051,1882,1720,1762,1804,1781,1917,1977
