,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,NH,Belknap,1533,1697,1851,1767,1722,2814,2598,2790,2770,2792
51,Year Built: 1950-1959,NH,Belknap,3109,3226,3211,3137,2948,3189,3483,3713,3528,3444
52,Year Built: 1960-1969,NH,Belknap,3756,3586,3498,3490,3476,5241,5222,5259,5548,5477
53,Year Built: 1970-1979,NH,Belknap,4716,4601,4807,4630,4999,7462,7493,7340,7123,7206
54,Year Built: 1980-1989,NH,Belknap,7593,7578,7411,7280,7408,3788,3657,3376,3453,3606
55,Year Built: 1990-1999,NH,Belknap,4568,4496,4259,3987,3826,5980,6137,6301,6235,5928
56,Year Built: 2000-2009,NH,Belknap,2852,3174,4811,5305,5671,264,351,449,478,621
57,Year Built: 2010-2013,NH,Belknap,1045,1230,29,120,199,9,130,275,381,714
58,Year Built: before 1940,NH,Belknap,7624,7550,7435,7665,7292,1862,1826,1641,1863,1882
50,Year Built: 1940-1949,NH,Carroll,1482,1477,1244,1086,1016,2238,2167,2311,2381,2604
51,Year Built: 1950-1959,NH,Carroll,2452,2462,2455,2455,2247,3430,3382,3352,3216,3643
52,Year Built: 1960-1969,NH,Carroll,3928,4077,4131,4317,3887,6649,6236,6022,6126,5878
53,Year Built: 1970-1979,NH,Carroll,7366,7412,6958,6920,6778,9548,9873,9593,9657,9537
54,Year Built: 1980-1989,NH,Carroll,9454,9389,9620,9226,9446,4885,4958,4988,4764,4332
55,Year Built: 1990-1999,NH,Carroll,4375,4331,4582,4582,4878,5883,5862,6247,6123,6262
56,Year Built: 2000-2009,NH,Carroll,2412,2799,4195,4958,5252,232,244,448,494,461
57,Year Built: 2010-2013,NH,Carroll,771,1078,40,82,169,0,3,49,242,384
58,Year Built: before 1940,NH,Carroll,7120,6624,6553,6242,6336,859,881,852,1091,1145
50,Year Built: 1940-1949,NH,Cheshire,1556,1471,1351,1369,1607,2833,2904,2940,2966,3128
51,Year Built: 1950-1959,NH,Cheshire,3317,3255,3125,3047,2817,3080,3098,3255,3193,3248
52,Year Built: 1960-1969,NH,Cheshire,2902,2807,2906,3002,3054,4598,4468,4187,4322,4432
53,Year Built: 1970-1979,NH,Cheshire,4724,4660,4852,4700,4382,5368,5446,5355,5399,5596
54,Year Built: 1980-1989,NH,Cheshire,4851,4895,5078,5219,5416,3001,3163,3217,3181,3125
55,Year Built: 1990-1999,NH,Cheshire,3139,3121,3131,3125,2977,3511,3531,3678,3603,3580
56,Year Built: 2000-2009,NH,Cheshire,2148,2280,3444,3413,3391,436,638,654,548,587
57,Year Built: 2010-2013,NH,Cheshire,957,1115,86,206,352,12,85,232,330,400
58,Year Built: before 1940,NH,Cheshire,10882,11058,10727,10614,10786,1539,1558,1623,1717,1584
50,Year Built: 1940-1949,NH,Coos,1358,1297,1255,1244,1185,2175,2096,2085,1944,1957
51,Year Built: 1950-1959,NH,Coos,1874,1919,2054,2099,2166,1339,1508,1645,1701,1661
52,Year Built: 1960-1969,NH,Coos,1508,1524,1467,1289,1313,3093,2807,2716,2873,2708
53,Year Built: 1970-1979,NH,Coos,2930,3048,3022,3064,2971,2715,2742,2648,2673,2694
54,Year Built: 1980-1989,NH,Coos,3085,3002,2945,2870,2845,2090,2020,1987,1956,1944
55,Year Built: 1990-1999,NH,Coos,1862,1933,2002,2054,2057,2254,2515,2648,2521,2459
56,Year Built: 2000-2009,NH,Coos,1062,1300,1797,1997,2316,85,106,150,176,169
57,Year Built: 2010-2013,NH,Coos,367,447,40,60,81,4,10,60,103,168
58,Year Built: before 1940,NH,Coos,7031,6749,6658,6557,6352,1205,1180,1280,1354,1249
50,Year Built: 1940-1949,NH,Grafton,1970,2014,1898,1802,1839,2875,2907,2898,2999,2959
51,Year Built: 1950-1959,NH,Grafton,3212,3016,3109,3047,2852,3780,3865,4086,3859,3481
52,Year Built: 1960-1969,NH,Grafton,3999,4060,3727,3810,3940,7313,7312,7185,7268,7364
53,Year Built: 1970-1979,NH,Grafton,7912,7995,7656,7656,7586,12034,12152,11997,11979,11825
54,Year Built: 1980-1989,NH,Grafton,11613,11474,12234,12059,11835,5057,4875,4805,4888,5066
55,Year Built: 1990-1999,NH,Grafton,5153,5298,5312,5275,5111,6425,6673,6802,7087,6768
56,Year Built: 2000-2009,NH,Grafton,2629,2992,4697,5303,6029,787,966,1181,1153,1174
57,Year Built: 2010-2013,NH,Grafton,759,1238,169,434,577,3,114,273,392,609
58,Year Built: before 1940,NH,Grafton,12754,12602,12196,11861,11684,1708,1534,1652,1566,1630
50,Year Built: 1940-1949,NH,Hillsborough,7608,7292,7274,6714,6496,12196,12489,12354,11939,12214
51,Year Built: 1950-1959,NH,Hillsborough,12607,12534,12647,12609,12694,15618,15941,16245,16362,16479
52,Year Built: 1960-1969,NH,Hillsborough,15948,16436,15958,16292,15737,25495,25983,25858,25892,26264
53,Year Built: 1970-1979,NH,Hillsborough,27108,27202,26745,26851,25982,35458,35547,35817,35500,35814
54,Year Built: 1980-1989,NH,Hillsborough,32880,33115,33577,34195,34855,17510,17274,17588,18078,17578
55,Year Built: 1990-1999,NH,Hillsborough,16850,16203,16135,16069,16685,17200,16918,17477,17474,17256
56,Year Built: 2000-2009,NH,Hillsborough,11039,11290,16113,16727,17041,1398,1887,2304,2580,2712
57,Year Built: 2010-2013,NH,Hillsborough,3849,4717,259,462,921,202,519,995,1658,2494
58,Year Built: before 1940,NH,Hillsborough,36714,36676,37252,36403,36343,6332,6022,6243,6260,6369
50,Year Built: 1940-1949,NH,Merrimack,2197,2435,2241,2140,2256,3904,3797,3476,4006,3770
51,Year Built: 1950-1959,NH,Merrimack,3839,4191,4336,4112,4194,4538,4341,4474,4504,4475
52,Year Built: 1960-1969,NH,Merrimack,4862,4911,4728,4642,4441,8794,9066,9217,9231,9522
53,Year Built: 1970-1979,NH,Merrimack,9395,8825,8842,8674,8647,12521,13055,13267,13021,12358
54,Year Built: 1980-1989,NH,Merrimack,12665,12495,12147,12437,12887,6730,6637,6673,6622,6765
55,Year Built: 1990-1999,NH,Merrimack,6733,6400,6592,6582,6431,8152,7868,7746,7825,7933
56,Year Built: 2000-2009,NH,Merrimack,4623,5063,7871,8182,8181,647,802,938,1078,1185
57,Year Built: 2010-2013,NH,Merrimack,2066,2677,151,296,483,50,226,398,716,1066
58,Year Built: before 1940,NH,Merrimack,16503,16297,16489,16385,16069,2257,2111,2208,2053,2058
50,Year Built: 1940-1949,NH,Rockingham,4231,4659,4918,4459,4483,9173,9148,9146,9111,9428
51,Year Built: 1950-1959,NH,Rockingham,9150,9280,9331,9618,9239,11704,11798,12098,12117,11806
52,Year Built: 1960-1969,NH,Rockingham,12553,12258,11980,11767,11535,21224,21861,21798,21315,21743
53,Year Built: 1970-1979,NH,Rockingham,22170,21233,21450,21764,21248,27788,27746,27714,28106,27269
54,Year Built: 1980-1989,NH,Rockingham,26880,27438,27753,27569,28414,17480,17592,17455,17067,16816
55,Year Built: 1990-1999,NH,Rockingham,16337,16472,16589,16369,17097,16112,15945,16597,15994,16254
56,Year Built: 2000-2009,NH,Rockingham,10831,10520,15683,16246,15937,1665,2058,2584,3300,3661
57,Year Built: 2010-2013,NH,Rockingham,4046,5244,461,761,1166,174,426,990,2083,3130
58,Year Built: before 1940,NH,Rockingham,19212,19036,18479,18373,18349,4411,4348,4129,4030,3792
50,Year Built: 1940-1949,NH,Strafford,2340,2291,2114,2044,1947,4358,4520,4587,4671,4442
51,Year Built: 1950-1959,NH,Strafford,4567,4269,4413,4283,4324,5039,5111,4740,4611,4433
52,Year Built: 1960-1969,NH,Strafford,4314,4699,5082,4700,4866,6747,6719,6917,6999,7214
53,Year Built: 1970-1979,NH,Strafford,7578,7015,6823,6823,6642,9335,9423,9185,9099,9209
54,Year Built: 1980-1989,NH,Strafford,9991,9503,9563,9883,9856,5095,4862,4858,4837,4873
55,Year Built: 1990-1999,NH,Strafford,4952,5172,5130,5099,4865,7003,6802,7457,7325,7463
56,Year Built: 2000-2009,NH,Strafford,4179,4392,7234,7128,7098,687,913,1135,1324,1432
57,Year Built: 2010-2013,NH,Strafford,2243,2610,99,200,439,11,127,362,674,904
58,Year Built: before 1940,NH,Strafford,10910,11478,11220,11615,11991,2156,2359,2610,2589,2352
50,Year Built: 1940-1949,NH,Sullivan,1114,1184,1136,1174,1308,1893,1867,1638,1503,1622
51,Year Built: 1950-1959,NH,Sullivan,1645,1713,1796,1868,1678,1691,1478,1727,1630,1772
52,Year Built: 1960-1969,NH,Sullivan,1601,1664,1489,1564,1562,3380,3447,3538,3560,3493
53,Year Built: 1970-1979,NH,Sullivan,3694,3692,3371,3284,3331,3448,3437,3733,3953,3851
54,Year Built: 1980-1989,NH,Sullivan,3890,3751,3578,3622,3708,2002,2058,1864,1842,1881
55,Year Built: 1990-1999,NH,Sullivan,2223,2226,2347,2263,2144,2588,2547,2530,2459,2287
56,Year Built: 2000-2009,NH,Sullivan,998,1125,1961,2159,2356,190,237,291,347,339
57,Year Built: 2010-2013,NH,Sullivan,417,595,38,62,93,0,5,47,56,158
58,Year Built: before 1940,NH,Sullivan,6496,6281,6572,6310,6196,1251,1174,1134,1115,954
