,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NH,2.58,2.61,2.57,2.58,2.59,2.61,2.61,2.61,2.62,2.6
1,Avg household size of renter-occupied unit,NH,2.22,2.15,2.22,2.22,2.2,2.19,2.18,2.12,2.11,2.04
2,House Heating Fuel: Electric,NH,41909,40613,39257,42038,46268,46002,48677,47927,50260,53861
3,House Heating Fuel: Fuel Oil,NH,253772,252159,245324,239542,230361,232674,229187,227681,232152,227725
4,House Heating Fuel: Gas,NH,100857,100958,104858,101529,100601,103292,110428,111070,113986,115248
5,House Heating Fuel: Propane,NH,70863,74416,72091,76485,76212,78670,81949,90341,86695,94024
6,House Heating Fuel: Wood,NH,40272,37084,43948,44711,49555,42472,35047,37912,35632,34512
25,Median Number of Rooms,NH,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.5
26,Number of Rooms: 1,NH,9243,11040,11948,12222,11168,9224,12173,11852,12289,16616
27,Number of Rooms: 2,NH,14469,15469,16226,14932,17696,14932,19668,19105,18667,18518
28,Number of Rooms: 3,NH,53453,54009,53053,54298,51919,53835,53882,57317,56590,58603
29,Number of Rooms: 4,NH,109953,105979,101719,104556,108948,103444,104738,104448,104008,106380
30,Number of Rooms: 5,NH,116566,117987,120597,120968,115318,117101,111039,114100,119712,116367
31,Number of Rooms: 6,NH,108730,110950,109109,106562,109185,112236,106725,110379,108288,112633
32,Number of Rooms: 7,NH,80004,80059,77823,76683,78747,80396,82978,81131,82714,76353
33,Number of Rooms: 8,NH,54741,56874,56812,55638,57531,56870,61152,62858,58620,59197
34,Number of Rooms: 9+,NH,67837,65335,69718,70637,69353,74566,72982,73499,77224,77631
35,Owner-Occupied,NH,952789,961551,945219,938290,945879,958581,952421,961569,991875,997222
36,Renter-Occupied,NH,323866,316539,335395,344298,340411,330265,339978,338743,322041,321416
37,Total Housing Units,NH,614996,617702,617005,616496,619865,622604,625337,634689,638112,642298
38,Total Population,NH,1316759,1318194,1320718,1323459,1326813,1330608,1334795,1342795,1356458,1359711
39,Units in Structure: 1 ATTACHED,NH,31087,31500,33201,31365,31611,34560,34548,35476,33543,31288
40,Units in Structure: 1 DETACHED,NH,389597,394279,390280,387464,388574,393169,399831,407329,403645,400650
41,Units in Structure: 10-19,NH,17650,18768,17998,17951,21704,19681,19012,17695,18634,22681
42,Units in Structure: 2,NH,37710,36596,36797,36766,36866,35601,33346,33034,34508,34554
43,Units in Structure: 20-49,NH,25449,26009,27052,27734,25718,26712,26809,32410,27938,33253
44,Units in Structure: 3-4,NH,35873,36253,35646,36298,36903,34727,34866,36650,35243,34732
45,Units in Structure: 5-9,NH,30252,27349,28773,29602,28855,31809,29595,28110,29293,34088
46,Units in Structure: 50+,NH,10281,11479,11262,12069,12399,11416,12039,12443,16081,14628
47,"Units in Structure: Boat,RV,Van,Etc.",NH,126,158,22,37,119,259,394,419,174,155
48,Units in Structure: Mobile Home,NH,36971,35311,35974,37210,37116,34670,34897,31123,39053,36269
49,Year Built: 1940-1949,NH,25217,24998,21518,22191,24825,23773,21894,23778,23853,22729
50,Year Built: 1950-1959,NH,47319,43413,45494,44981,43134,44439,46272,44178,42500,45325
51,Year Built: 1960-1969,NH,54847,55018,50710,57175,52230,52796,57496,56474,55019,49959
52,Year Built: 1970-1979,NH,92836,92094,94454,93622,88359,93464,93521,91132,100694,90720
53,Year Built: 1980-1989,NH,127349,123413,126351,124382,128937,123672,123879,123420,124620,125236
54,Year Built: 1990-1999,NH,61943,65023,69962,64964,69723,67414,62083,65588,65648,66484
55,Year Built: 2000-2009,NH,44037,49745,73116,75642,74446,76789,73671,82698,71634,73048
56,Year Built: 2010-2013,NH,24976,29449,4663,6742,10362,9722,11148,12520,13209,13897
57,Year Built: 2014 or later,NH,,,,,,2132.0,6124.0,10456.0,13735.0,17875.0
58,Year Built: before 1940,NH,136472,134549,130737,126797,127849,128403,129249,124445,127200,137025
