,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New Hampshire (Million cubic feet)",3673,3914,4225,4219,4322,3737,4095,3850,3945,3743,4331,4465,4526,4309,4613,4698,5102,5604,5927,6290,5903,5609,6449,6493,6572,6507,7012,6939,6267,6613,7274,6812,6922,7940,7086,7793,6718,7394,7054,7213,6738,6955,6422,7185,7755,7842,6861,7331,8134,8034,
"Natural gas consumed by (delivered to) the commercial sector, New Hampshire (Million cubic feet)",2255,2523,2575,2326,2409,2618,2567,2587,2997,3369,4116,4376,4414,4437,4100,4955,4438,4601,5034,5371,5073,5028,5862,6142,6412,6514,7099,7489,6808,7214,8323,7349,8768,9673,8943,9844,8494,9360,10043,9935,8406,8890,8130,9204,9412,9630,8509,9078,10129,10135,
"Natural gas consumed by the industrial sector, New Hampshire (Million cubic feet)",801,971,1021,1359,1245,1099,1171,1180,1203,1223,1001,1175,1053,869,1726,892,729,1731,1971,2241,3276,3457,3828,3805,4471,4607,4916,5830,5878,5912,8537,8685,8054,7882,7388,6889,5968,6337,5370,4688,6022,7083,7007,7866,8456,8386,8454,9499,9916,9834,
"Natural gas consumed by the electric power sector, New Hampshire (Million cubic feet)",0,174,115,152,357,177,7,0,0,30,0,138,0,20,67,0,0,15,55,23,0,0,633,136,1277,2248,3,564,151,572,783,527,1096,28627,37732,45926,41339,39013,48688,38070,38937,46812,50408,29644,31240,42673,33841,25975,21563,25460,
"Residential carbon dioxide emissions, natural gas, New Hampshire (million metric tons CO2)",,,,,,,,,,,0.234404,0.242098,0.244963,0.233396,0.251382,0.255998,0.278017,0.305978,0.322319,0.34004,0.317597,0.299664,0.345134,0.347946,0.353145,0.348741,0.37909,0.372139,0.336167,0.353888,0.408165,0.383706,0.385669,0.438142,0.392195,0.421801,0.363226,0.402063,0.381849,0.39575,0.369009,0.382698,0.351713,0.392832,0.424135,0.428539,0.375005,0.400896,0.445198,,
"Commercial carbon dioxide emissions, natural gas, New Hampshire (million metric tons CO2)",,,,,,,,,,,0.222732,0.237269,0.238861,0.240347,0.223422,0.270005,0.241832,0.25117,0.273772,0.290379,0.272923,0.268679,0.313724,0.329111,0.344603,0.349113,0.383812,0.401639,0.365189,0.38604,0.467058,0.414001,0.488546,0.53375,0.495019,0.532848,0.459312,0.509026,0.543619,0.545104,0.460373,0.489182,0.445252,0.503242,0.514756,0.526216,0.465095,0.496398,0.554442,,
"Industrial carbon dioxide emissions, natural gas, New Hampshire (million metric tons CO2)",,,,,,,,,,,0.054171,0.063721,0.056983,0.047061,0.094069,0.0486,0.039739,0.094494,0.107174,0.121128,0.176254,0.18469,0.204852,0.203897,0.240241,0.246873,0.265814,0.312716,0.315263,0.316377,0.479102,0.489236,0.448753,0.434959,0.408908,0.372882,0.322691,0.344603,0.290697,0.257219,0.3298,0.389754,0.383759,0.430077,0.462442,0.45825,0.462071,0.519425,0.54277,,
"Natural Gas Citygate Price in New Hampshire, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.09,4.32,3.67,3.05,3.04,3.28,3.51,3.4,3.58,3.76,3.49,3.39,4.2,4.1,3.75,4.07,5.34,4.3,4.24,6.91,6.81,9.77,10.29,9.71,10.94,9.53,8.83,8.07,7.15,7.6,9.28,7.64,5.3,5.86,7.12,5.74,
"New Hampshire Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,4.66,5.68,6.85,7.47,7.02,7.15,7.07,6.5,6.28,6.85,7.41,7.14,7.55,7.66,7.96,7.16,7.4,8.48,8.12,7.67,10.07,12.75,10.08,11.44,14.52,14.98,16.38,16.71,16.45,15.33,14.46,14.67,13.74,13.84,16.27,16.18,14.25,14.55,15.35,15.75,14.66
"New Hampshire Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,2.2,,,4.13,5.11,6.07,6.73,6.64,6.29,6.53,5.81,5.66,6.23,6.73,6.35,6.74,6.83,7.17,6.44,6.74,7.63,7.18,6.86,8.52,11.15,8.51,10.27,13.04,13.69,15.03,15.42,15.21,14.37,12.72,11.46,11.95,12.13,14.96,13.63,11.36,11.71,12.72,12.48,11.29
