,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,NJ,Atlantic,15635,14917,14692,15058,15565,15359,15357,15374,15085,14656
4,House Heating Fuel: Fuel Oil,NJ,Atlantic,12436,11506,11234,10659,10228,9612,8784,8352,7826,7429
5,House Heating Fuel: Gas,NJ,Atlantic,68497,69920,69996,70144,70108,71616,71798,71652,71956,72811
6,House Heating Fuel: Propane,NJ,Atlantic,3566,3148,2997,2925,2806,2637,2525,2671,2489,2328
7,House Heating Fuel: Wood,NJ,Atlantic,777,1028,1138,1324,1281,1356,1328,1197,1061,1084
3,House Heating Fuel: Electric,NJ,Bergen,27981,28339,28225,29242,30264,31386,31928,34022,35105,37407
4,House Heating Fuel: Fuel Oil,NJ,Bergen,33677,29900,26932,24463,22411,21189,19002,17691,15734,14689
5,House Heating Fuel: Gas,NJ,Bergen,267380,270232,274189,276099,276902,276346,278954,278732,279804,279229
6,House Heating Fuel: Propane,NJ,Bergen,3148,2907,3420,3628,3773,4041,4382,4436,4545,5190
7,House Heating Fuel: Wood,NJ,Bergen,223,242,271,324,385,349,379,360,264,228
3,House Heating Fuel: Electric,NJ,Burlington,22937,23593,25007,25743,26173,26247,27012,27262,28243,29407
4,House Heating Fuel: Fuel Oil,NJ,Burlington,22771,22094,21395,20402,19298,17976,17092,15679,15213,14801
5,House Heating Fuel: Gas,NJ,Burlington,114449,115009,114005,113767,113946,114880,114696,115492,115724,115932
6,House Heating Fuel: Propane,NJ,Burlington,3638,3573,3597,3403,3230,3192,3124,3134,3318,3287
7,House Heating Fuel: Wood,NJ,Burlington,716,781,880,992,1166,1217,1234,1252,1187,1074
3,House Heating Fuel: Electric,NJ,Camden,22268,21578,22141,22414,21919,22138,23967,24652,25213,27238
4,House Heating Fuel: Fuel Oil,NJ,Camden,21298,20223,18330,16397,14991,14174,13084,12947,12688,12381
5,House Heating Fuel: Gas,NJ,Camden,143138,144798,144598,145569,146705,146312,144960,145304,144794,143263
6,House Heating Fuel: Propane,NJ,Camden,2194,2038,2005,1741,1775,1764,1722,1962,2365,2342
7,House Heating Fuel: Wood,NJ,Camden,430,444,501,537,396,363,313,307,264,240
3,House Heating Fuel: Electric,NJ,Cape May,9718,10042,9511,9513,9329,9154,8621,8432,8236,7900
4,House Heating Fuel: Fuel Oil,NJ,Cape May,4381,4255,4146,3843,3354,2937,2640,2421,2239,2154
5,House Heating Fuel: Gas,NJ,Cape May,23621,23446,23264,22806,23035,23590,24086,24789,25208,25836
6,House Heating Fuel: Propane,NJ,Cape May,6647,6050,5693,5201,4442,3882,3601,3076,3029,2997
7,House Heating Fuel: Wood,NJ,Cape May,665,545,541,556,507,442,522,500,429,384
3,House Heating Fuel: Electric,NJ,Cumberland,5106,4767,4350,4464,4454,4683,5457,5621,5921,6150
4,House Heating Fuel: Fuel Oil,NJ,Cumberland,16456,16285,15875,15062,14480,13954,12443,11751,11406,10804
5,House Heating Fuel: Gas,NJ,Cumberland,26368,26845,27417,28120,28719,29218,30550,30979,30883,31126
6,House Heating Fuel: Propane,NJ,Cumberland,2026,1987,1944,1821,1588,1411,1166,1145,1287,1507
7,House Heating Fuel: Wood,NJ,Cumberland,478,604,727,789,808,814,683,671,663,653
3,House Heating Fuel: Electric,NJ,Essex,24551,25258,27303,29942,31672,34341,37841,37940,38904,41373
4,House Heating Fuel: Fuel Oil,NJ,Essex,39882,36208,32770,29976,27890,25770,23671,21836,20164,17719
