,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NJ,Atlantic,2.64,2.69,2.7,2.71,2.71,2.7,2.69,2.7,2.68,2.66
1,Avg household size of renter-occupied unit,NJ,Atlantic,2.35,2.42,2.47,2.5,2.52,2.52,2.57,2.55,2.53,2.49
36,Owner-Occupied,NJ,Atlantic,189771,192858,190066,186758,185839,184077,182338,183290,180154,178282
37,Renter-Occupied,NJ,Atlantic,69818,71986,75920,80453,82368,84802,85599,83669,82451,81848
0,Avg household size of owner-occupied unit,NJ,Bergen,2.85,2.86,2.87,2.86,2.89,2.91,2.91,2.92,2.9,2.89
1,Avg household size of renter-occupied unit,NJ,Bergen,2.25,2.28,2.31,2.35,2.38,2.39,2.4,2.42,2.39,2.37
36,Owner-Occupied,NJ,Bergen,641558,637805,634664,629810,627799,633379,633440,637113,631766,635951
37,Renter-Occupied,NJ,Bergen,244230,251897,260957,271709,281280,281683,285500,289566,287234,283860
0,Avg household size of owner-occupied unit,NJ,Burlington,2.74,2.73,2.74,2.75,2.75,2.76,2.77,2.75,2.72,2.7
1,Avg household size of renter-occupied unit,NJ,Burlington,2.21,2.24,2.26,2.31,2.33,2.34,2.33,2.37,2.34,2.32
36,Owner-Occupied,NJ,Burlington,358197,354928,353746,352787,351382,347548,347603,345187,340612,339019
37,Renter-Occupied,NJ,Burlington,76714,80159,82474,84642,86513,90844,90726,92060,93908,94830
0,Avg household size of owner-occupied unit,NJ,Camden,2.82,2.83,2.83,2.84,2.85,2.86,2.86,2.84,2.82,2.82
1,Avg household size of renter-occupied unit,NJ,Camden,2.26,2.28,2.34,2.37,2.39,2.4,2.42,2.4,2.38,2.36
36,Owner-Occupied,NJ,Camden,374147,370372,368196,365181,361089,360091,356261,355167,352302,353202
37,Renter-Occupied,NJ,Camden,130830,135109,137645,140829,144191,144805,147813,148920,148206,146630
0,Avg household size of owner-occupied unit,NJ,Cape May,2.17,2.19,2.24,2.28,2.33,2.34,2.33,2.31,2.28,2.25
1,Avg household size of renter-occupied unit,NJ,Cape May,1.9,1.9,1.96,2.04,2.12,2.19,2.26,2.27,2.31,2.25
36,Owner-Occupied,NJ,Cape May,73394,72723,72491,72055,72132,71768,71263,71533,70450,70321
37,Renter-Occupied,NJ,Cape May,22153,21954,21864,21964,21506,21261,21391,20337,20694,20229
0,Avg household size of owner-occupied unit,NJ,Cumberland,2.84,2.81,2.82,2.83,2.83,2.83,2.79,2.8,2.77,2.75
1,Avg household size of renter-occupied unit,NJ,Cumberland,2.85,2.92,2.93,2.94,2.96,2.91,2.85,2.82,2.79,2.72
36,Owner-Occupied,NJ,Cumberland,97183,97663,97254,96170,95066,94604,91044,90347,90224,91138
37,Renter-Occupied,NJ,Cumberland,47156,46880,47669,48989,49816,49424,51506,51741,50169,47910
0,Avg household size of owner-occupied unit,NJ,Essex,3.01,3.02,3.04,3.03,3.07,3.08,3.08,3.11,3.06,3.03
1,Avg household size of renter-occupied unit,NJ,Essex,2.49,2.51,2.5,2.52,2.52,2.52,2.5,2.52,2.47,2.45
36,Owner-Occupied,NJ,Essex,394667,391413,388897,386316,384488,380853,380152,387667,382473,381435
37,Renter-Occupied,NJ,Essex,364602,368297,373274,377713,383704,389366,391120,391601,389772,392421
0,Avg household size of owner-occupied unit,NJ,Gloucester,2.85,2.84,2.84,2.83,2.84,2.85,2.85,2.86,2.86,2.85
1,Avg household size of renter-occupied unit,NJ,Gloucester,2.18,2.22,2.23,2.29,2.29,2.29,2.28,2.28,2.27,2.27
36,Owner-Occupied,NJ,Gloucester,236930,236712,237999,236894,236863,236835,237293,238241,239413,239526
37,Renter-Occupied,NJ,Gloucester,42777,45043,44997,47181,47986,48771,49392,48724,47129,47340
0,Avg household size of owner-occupied unit,NJ,Hudson,2.79,2.77,2.76,2.76,2.77,2.75,2.75,2.78,2.73,2.71
1,Avg household size of renter-occupied unit,NJ,Hudson,2.49,2.48,2.5,2.54,2.57,2.57,2.57,2.61,2.52,2.49
36,Owner-Occupied,NJ,Hudson,227536,226169,222946,219319,217758,215086,212699,220078,219765,222126
37,Renter-Occupied,NJ,Hudson,387880,394095,405973,418041,429811,440271,448316,451934,440915,439724
0,Avg household size of owner-occupied unit,NJ,Hunterdon,2.72,2.7,2.7,2.71,2.68,2.7,2.68,2.68,2.65,2.65
1,Avg household size of renter-occupied unit,NJ,Hunterdon,1.99,2.05,2.08,2.09,2.14,2.12,2.1,2.14,2.11,2.12
36,Owner-Occupied,NJ,Hunterdon,109671,109421,108427,107126,105447,105538,104870,104844,104127,103511
37,Renter-Occupied,NJ,Hunterdon,13538,14280,15100,15142,16263,16409,16445,16314,16610,17129
0,Avg household size of owner-occupied unit,NJ,Mercer,2.81,2.76,2.77,2.76,2.77,2.79,2.81,2.82,2.78,2.77
1,Avg household size of renter-occupied unit,NJ,Mercer,2.48,2.44,2.43,2.48,2.47,2.51,2.53,2.61,2.58,2.57
36,Owner-Occupied,NJ,Mercer,246531,241973,240080,237714,237274,234453,234272,234594,230784,227302
37,Renter-Occupied,NJ,Mercer,102799,103016,106308,110805,113078,116761,118340,121139,120976,123625
0,Avg household size of owner-occupied unit,NJ,Middlesex,2.91,2.92,2.91,2.92,2.94,2.95,2.94,2.94,2.89,2.87
1,Avg household size of renter-occupied unit,NJ,Middlesex,2.52,2.56,2.59,2.61,2.62,2.65,2.66,2.67,2.66,2.66
36,Owner-Occupied,NJ,Middlesex,540593,541914,543664,543652,540289,535610,530716,531465,519374,519909
37,Renter-Occupied,NJ,Middlesex,230887,237707,242523,248188,257740,267042,272162,275829,276664,276371
0,Avg household size of owner-occupied unit,NJ,Monmouth,2.82,2.81,2.8,2.8,2.81,2.81,2.81,2.81,2.78,2.75
1,Avg household size of renter-occupied unit,NJ,Monmouth,2.2,2.22,2.22,2.24,2.23,2.26,2.27,2.3,2.25,2.22
36,Owner-Occupied,NJ,Monmouth,497602,495608,495357,492958,491004,487748,482361,481300,478426,478194
37,Renter-Occupied,NJ,Monmouth,123359,125803,126591,129645,131814,134770,138624,139900,138745,137261
0,Avg household size of owner-occupied unit,NJ,Morris,2.85,2.85,2.85,2.85,2.86,2.87,2.86,2.86,2.83,2.81
1,Avg household size of renter-occupied unit,NJ,Morris,2.16,2.17,2.22,2.25,2.26,2.25,2.31,2.29,2.25,2.26
36,Owner-Occupied,NJ,Morris,389560,389392,388317,388665,388689,388503,386854,386853,381518,377372
37,Renter-Occupied,NJ,Morris,90474,93339,96311,97531,99372,100641,102325,103086,103964,106968
0,Avg household size of owner-occupied unit,NJ,Ocean,2.5,2.49,2.49,2.52,2.52,2.51,2.53,2.53,2.51,2.53
1,Avg household size of renter-occupied unit,NJ,Ocean,2.71,2.74,2.81,2.83,2.9,2.92,2.91,2.95,2.94,2.9
36,Owner-Occupied,NJ,Ocean,457463,455364,453992,454191,453148,448995,450637,451543,452948,458197
