,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,NJ,Atlantic,10793,10615,10161,10424,9937,9700,10096,10357,10273,10881
41,Units in Structure: 1 DETACHED,NJ,Atlantic,71725,72650,72855,72746,73231,73873,73817,74139,74582,74591
42,Units in Structure: 10-19,NJ,Atlantic,5439,5392,5557,5931,6424,6926,7034,7150,7228,6964
43,Units in Structure: 2,NJ,Atlantic,7662,7709,7820,7851,8373,7786,7928,7667,7785,7519
44,Units in Structure: 20-49,NJ,Atlantic,3389,3492,3568,3311,3193,3273,3232,3388,3549,3610
45,Units in Structure: 3-4,NJ,Atlantic,5444,5504,5391,5649,5289,5324,5558,5743,5449,5230
46,Units in Structure: 5-9,NJ,Atlantic,6820,6969,7478,7470,7359,7381,7161,6465,6033,5966
47,Units in Structure: 50+,NJ,Atlantic,11315,10713,10558,10224,10068,9864,9744,9987,10117,10303
48,"Units in Structure: Boat,RV,Van,Etc.",NJ,Atlantic,33,0,0,0,0,0,0,0,0,28
49,Units in Structure: Mobile Home,NJ,Atlantic,3206,3301,3436,3323,3230,3308,3047,2913,2971,3159
40,Units in Structure: 1 ATTACHED,NJ,Bergen,16878,17133,17381,17988,17920,17944,18174,18081,17635,18567
41,Units in Structure: 1 DETACHED,NJ,Bergen,189712,190771,191054,189275,188385,189197,189130,189658,190138,190824
42,Units in Structure: 10-19,NJ,Bergen,15623,15194,14847,14036,13863,13673,13612,13862,14348,14361
43,Units in Structure: 2,NJ,Bergen,50991,50292,49774,50316,50522,49766,50887,50928,50926,49889
44,Units in Structure: 20-49,NJ,Bergen,16045,16470,15982,15966,16156,15582,15323,14784,14338,14778
45,Units in Structure: 3-4,NJ,Bergen,18051,18335,19067,19935,20802,21794,21720,21786,22276,21625
46,Units in Structure: 5-9,NJ,Bergen,11859,11049,10956,11590,12107,12510,12728,13082,12679,12162
47,Units in Structure: 50+,NJ,Bergen,30879,31380,32494,32842,33177,32063,31908,32322,33167,34367
48,"Units in Structure: Boat,RV,Van,Etc.",NJ,Bergen,83,178,180,182,169,102,100,128,77,76
49,Units in Structure: Mobile Home,NJ,Bergen,1001,1052,1250,1285,1197,1347,1190,1001,1070,1179
40,Units in Structure: 1 ATTACHED,NJ,Burlington,26376,26144,26320,26210,25764,26345,26614,27132,27316,28135
41,Units in Structure: 1 DETACHED,NJ,Burlington,113178,113425,113588,114105,115334,115179,115542,116156,115995,115830
42,Units in Structure: 10-19,NJ,Burlington,9033,8893,8820,8521,8035,7853,7928,7618,7390,7060
43,Units in Structure: 2,NJ,Burlington,3279,3513,3340,3422,3772,3860,3641,3690,3928,3768
44,Units in Structure: 20-49,NJ,Burlington,3339,3725,3636,3725,3846,3913,3856,4297,4201,4497
45,Units in Structure: 3-4,NJ,Burlington,5492,5457,5827,5740,5647,5770,5950,5606,5718,6000
46,Units in Structure: 5-9,NJ,Burlington,7562,7998,8264,8577,8255,7871,7819,7692,7872,7845
47,Units in Structure: 50+,NJ,Burlington,3270,3223,3269,3205,3467,3878,3888,3703,4014,4121
48,"Units in Structure: Boat,RV,Van,Etc.",NJ,Burlington,15,14,10,10,18,11,17,19,17,0
49,Units in Structure: Mobile Home,NJ,Burlington,2838,2870,2770,2665,2535,2378,2368,2265,2321,2158
40,Units in Structure: 1 ATTACHED,NJ,Camden,35866,35328,35517,36253,37102,36736,36851,36653,36013,35812
41,Units in Structure: 1 DETACHED,NJ,Camden,114675,113986,114416,113555,113074,113395,113814,113928,114470,114532
42,Units in Structure: 10-19,NJ,Camden,10025,10490,9849,9666,9447,9943,9851,9687,9949,9852
43,Units in Structure: 2,NJ,Camden,8760,9012,8988,9408,9448,9444,8982,8926,8272,8233
