,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NJ,2.83,2.83,2.82,2.85,2.84,2.86,2.83,2.84,2.81,2.77
1,Avg household size of renter-occupied unit,NJ,2.49,2.53,2.52,2.55,2.56,2.56,2.59,2.57,2.46,2.43
2,House Heating Fuel: Electric,NJ,343112,360855,377997,388226,384329,385792,423650,415119,437888,448114
3,House Heating Fuel: Fuel Oil,NJ,392540,376568,356378,329733,309236,299222,271179,271265,258889,241742
4,House Heating Fuel: Gas,NJ,2344455,2342608,2368222,2354824,2393423,2398744,2389530,2425008,2435183,2474295
5,House Heating Fuel: Propane,NJ,63241,58315,60990,60943,62396,61082,59916,62490,67930,71419
6,House Heating Fuel: Wood,NJ,11886,11869,13974,17421,14471,14398,13466,11994,12069,10368
25,Median Number of Rooms,NJ,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
26,Number of Rooms: 1,NJ,119894,120010,89375,77348,89082,84701,88493,79722,89529,100749
27,Number of Rooms: 2,NJ,73974,79276,81480,76775,69182,75612,80584,78697,85816,91818
28,Number of Rooms: 3,NJ,364934,364005,372402,368260,371874,366783,366816,363233,371771,370225
29,Number of Rooms: 4,NJ,522388,544018,547845,559567,547969,564327,555962,554161,551820,555508
30,Number of Rooms: 5,NJ,579984,582141,603766,612817,618177,604119,610323,604919,599727,593525
31,Number of Rooms: 6,NJ,578787,569501,582962,572176,588398,570766,574384,588974,564711,570030
32,Number of Rooms: 7,NJ,445364,435183,439793,455152,448209,450763,449536,444004,447125,454214
33,Number of Rooms: 8,NJ,380091,380057,374191,363588,364811,369090,369750,376128,382307,372912
34,Number of Rooms: 9+,NJ,489493,488529,482949,492577,494145,507561,508840,526053,535392,532873
35,Owner-Occupied,NJ,5960550,5830604,5866915,5801897,5748713,5749063,5720059,5825893,5842207,5771159
36,Renter-Occupied,NJ,2654198,2804314,2810799,2910820,3003935,3022937,3038503,2996678,2884200,2930544
37,Total Housing Units,NJ,3554909,3562720,3574763,3578260,3591847,3593722,3604688,3615891,3628198,3641854
38,Total Population,NJ,8801624,8821155,8864590,8899339,8938175,8958013,8944469,9005644,8908520,8882190
39,Units in Structure: 1 ATTACHED,NJ,333174,331238,322236,334704,333741,340164,349756,345917,349571,354386
40,Units in Structure: 1 DETACHED,NJ,1909293,1905248,1919531,1903693,1914624,1905668,1919230,1940253,1939149,1933898
41,Units in Structure: 10-19,NJ,178408,173648,176553,183097,182402,187556,175694,168772,182005,171485
42,Units in Structure: 2,NJ,343395,342340,350572,352638,337764,344885,336411,338282,329672,313537
43,Units in Structure: 20-49,NJ,137522,147092,138033,136035,138604,147503,137667,142423,143938,152316
44,Units in Structure: 3-4,NJ,221841,230680,237448,227475,237886,234318,231835,238440,213252,222902
45,Units in Structure: 5-9,NJ,172256,166864,163457,178343,177865,170689,171187,168054,169496,173592
46,Units in Structure: 50+,NJ,224167,228433,230060,227980,234449,226305,248971,240829,266524,283446
47,"Units in Structure: Boat,RV,Van,Etc.",NJ,1465,1016,745,1033,243,730,968,320,570,1047
48,Units in Structure: Mobile Home,NJ,33388,36161,36128,33262,34269,35904,32969,32601,34021,35245
49,Year Built: 1940-1949,NJ,321057,308848,295625,287586,270199,272160,268580,255465,261854,251000
50,Year Built: 1950-1959,NJ,559940,566335,571983,556155,556672,541871,538598,533610,526380,527033
51,Year Built: 1960-1969,NJ,497442,498470,499845,484829,494741,481881,492671,485984,488841,472383
52,Year Built: 1970-1979,NJ,466371,451439,461615,465786,453823,471680,450456,451114,450975,460618
53,Year Built: 1980-1989,NJ,406337,401599,410049,444977,429765,417112,419759,423304,419546,434094
54,Year Built: 1990-1999,NJ,315958,311047,319552,328243,346229,338770,345665,349568,347662,347551
55,Year Built: 2000-2009,NJ,206562,215012,357659,341119,342869,341594,327840,315919,324910,323354
56,Year Built: 2010-2013,NJ,130934,146974,19819,33166,46928,58209,61443,60589,66821,61943
57,Year Built: 2014 or later,NJ,,,,,,12827.0,38390.0,61622.0,78332.0,105455.0
58,Year Built: before 1940,NJ,650308,662996,638616,636399,650621,657618,661286,678716,662877,658423
