,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, New Jersey (million metric tons CO2)",6.440077,7.078546,7.360035,8.606961,7.892154,9.709722,7.316871,8.509431,7.631935,8.922269,7.685786,5.894123,5.977675,5.990904,6.177018,7.596879,8.234994,9.495019,8.204152,8.475554,10.935951,10.69681,10.016014,10.222046,10.784863,11.989611,11.084391,10.677426,9.329484,5.689427,6.873678,4.737002,2.444248,2.47491,2.935409,2.189784,1.667293,1.574925,1.598232,,
"Total carbon dioxide emissions from all sectors, natural gas, New Jersey (million metric tons CO2)",18.624906,21.402263,20.549165,22.175352,22.721942,20.643871,19.260048,22.939315,22.551842,25.635337,24.302606,27.070997,33.989586,35.395853,37.88559,38.235977,38.504178,39.369638,37.429409,39.450921,33.239206,31.081869,32.934873,33.753537,34.222346,33.207266,30.078143,33.989533,33.701648,33.892174,35.626172,35.968388,35.599432,37.790513,42.74765,41.349766,42.139674,38.951393,42.421564,,
"Total carbon dioxide emissions from all sectors, petroleum, New Jersey (million metric tons CO2)",88.376071,80.713166,82.420985,79.825567,86.6593,81.464367,87.103557,86.901178,86.147198,86.28108,76.861799,76.939162,76.451379,71.430104,78.633632,76.264461,74.572223,73.997224,73.025741,74.601478,78.156458,77.925505,76.825792,77.19688,78.725421,83.321906,80.204404,84.260237,83.604842,70.01938,71.388484,73.50072,65.56839,67.08749,67.63883,68.054289,67.09566,61.84408,64.205634,,
"Residential carbon dioxide emissions, all fuels, New Jersey (million metric tons CO2)",17.993769,18.192353,16.721531,15.216471,17.070921,17.40293,17.333693,18.119082,18.894496,18.700262,15.469855,15.441776,16.749417,16.417842,18.239988,16.225009,17.910792,17.16875,15.209952,16.225614,16.985637,16.470911,15.818228,18.445605,17.443886,16.877275,14.143286,16.092249,15.855222,15.528027,14.600004,13.932487,12.463002,14.71022,16.155302,15.524992,13.558445,13.883536,15.781156,,
"Commercial carbon dioxide emissions, all fuels, New Jersey (million metric tons CO2)",12.917827,10.911865,9.987874,9.242312,10.341065,9.280898,10.701177,10.531357,11.203929,11.610555,10.946932,11.053081,11.454856,10.836316,11.081095,10.096933,11.276266,11.553732,10.217399,11.756866,11.032031,9.558321,9.551539,10.646131,10.899191,11.271975,9.544838,10.980809,10.655111,11.118724,10.909208,11.675558,10.450393,10.539425,12.279328,10.732726,10.039634,9.716234,10.716174,,
"Industrial carbon dioxide emissions, all fuels, New Jersey (million metric tons CO2)",23.500449,19.143689,17.526658,13.848839,15.780612,13.210726,13.199909,14.929581,14.581923,14.531128,13.066946,13.37166,17.222221,17.103627,17.753035,17.611799,17.407405,17.346433,16.563017,17.369666,10.453639,11.95005,11.378444,11.551845,11.711222,11.695038,10.834828,10.428899,8.554071,7.189667,8.302213,8.639636,9.150974,9.395969,9.243783,9.145293,9.69661,8.788057,9.21451,,
"Transportation carbon dioxide emissions, all fuels, New Jersey (million metric tons CO2)",40.824205,44.28649,51.39619,54.998623,57.210106,57.103549,59.360115,60.23222,57.452669,59.150139,57.035423,57.888317,58.164084,54.990354,60.090453,61.079096,58.837692,59.556325,60.511881,60.34203,64.699422,62.823249,63.715109,62.254248,64.460885,69.223686,68.443952,71.906125,72.801106,61.052676,62.252481,64.296112,56.688441,58.262278,58.860316,58.290137,57.921885,53.269041,55.256266,,
"Electric power carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",4.36216,4.404234,3.590132,5.330656,5.239611,3.405442,2.026977,4.118152,2.798792,3.788617,3.636663,5.23351,6.372742,6.926548,7.912447,8.324538,7.03664,7.401458,7.435308,7.741817,7.407453,7.030804,8.775413,7.148431,7.749298,6.867124,7.17671,8.637997,9.299136,8.959626,10.834755,10.864944,12.389474,11.93515,13.721515,15.650072,17.991356,15.138606,15.659092,,
"Residential carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",7.477966,8.000521,8.138733,8.008639,8.216355,8.184097,8.61497,9.166547,9.871034,10.634784,9.329378,9.605856,10.800056,10.783714,11.993406,10.673197,12.25105,11.912601,10.82165,11.553301,12.086096,11.844954,11.567945,13.433736,12.817483,12.751798,10.842342,12.525034,12.086362,12.338805,11.929792,11.629332,10.436565,12.571353,13.735204,13.179647,11.936901,12.245638,13.662251,,
"Commercial carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",3.313813,4.092048,4.305973,4.347622,4.542871,4.52653,4.66904,5.134347,5.510465,6.38415,6.282175,6.59314,7.122911,7.109912,7.300279,7.628328,8.278485,9.267567,8.069972,9.035179,8.714664,7.240272,8.058512,8.798228,9.305184,9.373893,8.384492,9.269636,9.242949,9.84875,9.879576,10.441393,9.524202,9.548025,11.210343,9.072902,8.479835,8.230575,9.234778,,
"Industrial carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",3.445394,4.869116,4.46196,4.434423,4.59492,4.405879,3.794825,4.336427,4.215777,4.610359,4.911774,5.479852,9.499796,10.415342,10.538115,11.469047,10.761431,10.596265,10.943468,10.88049,4.857338,4.743425,4.436864,4.268356,4.246762,4.131151,3.60849,3.464229,2.959819,2.64583,2.682121,2.714485,2.987727,3.416213,3.409315,3.077658,3.373767,3.000408,3.540896,,
