,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,NM,All Sectors,Ammonia,CAP,4824.2687300988,TON
1,NM,All Sectors,Carbon Monoxide,CAP,20019.280945653874,TON
2,NM,All Sectors,Nitrogen Oxides,CAP,3528.0794392239995,TON
3,NM,All Sectors,PM10 Primary (Filt + Cond),CAP,876.1526876808483,TON
4,NM,All Sectors,PM2.5 Primary (Filt + Cond),CAP,964.2855442083998,TON
5,NM,All Sectors,Sulfur Dioxide,CAP,147.78223300492738,TON
6,NM,All Sectors,Volatile Organic Compounds,CAP,10068.587269990907,TON
7,NM,All Sectors,Carbon Dioxide,GHG,1260426.0314848789,TON
8,NM,All Sectors,Methane,GHG,213.03202791539996,TON
9,NM,All Sectors,Nitrous Oxide,GHG,0.66484550275,TON
10,NM,All Sectors,Sulfur Hexafluoride,GHG,0.1300727569999999,TON
11,NM,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,286.185297386,TON
12,NM,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,224.9367152427,TON
13,NM,Agriculture - Fertilizer Application,Ammonia,CAP,1410.1000000000001,TON
14,NM,Agriculture - Livestock Waste,Ammonia,CAP,3368.76929152,TON
15,NM,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,4054.427,TON
16,NM,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,3312.432,TON
17,NM,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,8494.696,TON
18,NM,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,42.277148100000005,TON
19,NM,Commercial Cooking,Volatile Organic Compounds,CAP,0.355252615,TON
20,NM,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,166.206002,TON
21,NM,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,51.05383,TON
22,NM,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,480.4638,TON
23,NM,Fires - Agricultural Field Burning,Nitrogen Oxides,CAP,1.5379999999999998,TON
24,NM,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.153,TON
25,NM,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,6.0,TON
26,NM,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,78.41819100000001,TON
27,NM,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,0.085547,TON
28,NM,Fires - Prescribed Fires,Sulfur Dioxide,CAP,0.4494489999999999,TON
29,NM,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,38.445197,TON
30,NM,Fires - Prescribed Fires,Carbon Dioxide,GHG,16330.3155,TON
31,NM,Fires - Wildfires,Ammonia,CAP,0.036406,TON
