,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NM,Bernalillo,2.58,2.6,2.59,2.61,2.6,2.61,2.61,2.61,2.61,2.59
1,Avg household size of renter-occupied unit,NM,Bernalillo,2.24,2.24,2.27,2.31,2.35,2.37,2.41,2.38,2.36,2.34
2,FIPS Code,NM,Bernalillo,35001,35001,35001,35001,35001,35001,35001,35001,35001,35001
3,House Heating Fuel: Electric,NM,Bernalillo,32121,32936,32699,33610,34172,34229,35275,37154,37936,40870
4,House Heating Fuel: Fuel Oil,NM,Bernalillo,188,190,205,197,165,134,125,149,166,131
5,House Heating Fuel: Gas,NM,Bernalillo,213120,214375,216889,215431,215436,214418,213029,212130,212276,211126
6,House Heating Fuel: Propane,NM,Bernalillo,7579,7468,7107,6982,6855,6938,6776,6910,7435,7678
7,House Heating Fuel: Wood,NM,Bernalillo,4269,4754,4737,4993,5301,5447,5039,4880,5222,4927
26,Median Number of Rooms,NM,Bernalillo,5.4,5.4,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4
27,Number of Rooms: 1,NM,Bernalillo,5251,5867,6666,6613,6862,7358,8049,8373,8997,9320
28,Number of Rooms: 2,NM,Bernalillo,6420,5961,5837,6158,6636,7533,8097,8228,8444,9216
29,Number of Rooms: 3,NM,Bernalillo,27235,26695,25809,26435,26378,26746,27550,28254,28318,28963
30,Number of Rooms: 4,NM,Bernalillo,45370,45738,46188,45814,47327,46962,45157,45743,45183,45289
31,Number of Rooms: 5,NM,Bernalillo,61394,60704,60024,60389,60827,60996,61055,60939,61326,60365
32,Number of Rooms: 6,NM,Bernalillo,56224,56540,56185,55900,55743,55939,56240,55972,55521,54793
33,Number of Rooms: 7,NM,Bernalillo,39493,40305,40778,40306,38866,38010,37537,37283,37996,38428
34,Number of Rooms: 8,NM,Bernalillo,20829,21778,22096,22113,22114,21655,21877,23440,23458,23462
35,Number of Rooms: 9+,NM,Bernalillo,18219,19269,20792,21276,21517,21855,22454,22867,23196,23951
36,Owner-Occupied,NM,Bernalillo,431642,437235,434189,433068,428531,427791,426663,432509,435408,437055
37,Renter-Occupied,NM,Bernalillo,205608,208713,217881,224290,233009,236077,238258,233036,233325,231971
38,Total Housing Units,NM,Bernalillo,280435,282857,284375,285004,286270,287054,288016,291099,292439,293787
39,Total Population,NM,Bernalillo,646881,655306,661924,667092,671429,673943,674777,674855,677692,677858
40,Units in Structure: 1 ATTACHED,NM,Bernalillo,15164,15388,14865,15617,15401,15896,15789,15827,14879,14579
41,Units in Structure: 1 DETACHED,NM,Bernalillo,179462,180849,182628,183076,184323,184273,185734,188718,189870,190362
42,Units in Structure: 10-19,NM,Bernalillo,12632,13336,13759,15130,15382,15324,15384,14473,13263,12501
43,Units in Structure: 2,NM,Bernalillo,4286,4310,4413,4050,4379,4573,4686,4585,5086,5642
44,Units in Structure: 20-49,NM,Bernalillo,8890,8867,9038,9037,8876,9186,9174,9408,9207,9686
45,Units in Structure: 3-4,NM,Bernalillo,16812,16521,16747,15818,15657,14965,14968,15112,16066,16231
46,Units in Structure: 5-9,NM,Bernalillo,12490,12934,12603,12068,12439,12390,12157,12123,11837,11628
47,Units in Structure: 50+,NM,Bernalillo,13884,13716,13832,13614,13740,13951,14028,14178,15078,16089
48,"Units in Structure: Boat,RV,Van,Etc.",NM,Bernalillo,156,190,219,202,249,242,250,251,322,274
49,Units in Structure: Mobile Home,NM,Bernalillo,16659,16746,16271,16392,15824,16254,15846,16424,16831,16795
50,Year Built: 1940-1949,NM,Bernalillo,13279,13028,13117,13234,13058,33641,33115,32975,32562,32844
51,Year Built: 1950-1959,NM,Bernalillo,36064,36241,35771,35417,35184,31772,32305,32353,32235,31366
52,Year Built: 1960-1969,NM,Bernalillo,30871,29954,29936,30031,31203,55557,55237,55180,54999,55936
53,Year Built: 1970-1979,NM,Bernalillo,56532,57158,56698,55892,55042,45355,45199,46015,47366,46677
54,Year Built: 1980-1989,NM,Bernalillo,43048,43332,43823,43122,43854,46635,47157,47757,47576,46912
55,Year Built: 1990-1999,NM,Bernalillo,45163,44842,45202,45442,46926,48609,48216,47511,46165,46162
56,Year Built: 2000-2009,NM,Bernalillo,31840,31908,49468,50939,49236,2807,3819,4776,5666,6159
57,Year Built: 2010-2013,NM,Bernalillo,13881,16513,309,966,1648,183,919,2004,3691,5471
58,Year Built: before 1940,NM,Bernalillo,9757,9881,10051,9961,10119,12968,13022,13414,12959,13143
0,Avg household size of owner-occupied unit,NM,Catron,1.91,1.95,2.09,2.16,2.25,2.19,2.21,2.12,2.37,2.45
1,Avg household size of renter-occupied unit,NM,Catron,2.55,2.46,2.38,2.8,3.44,5.59,4.06,5.52,3.55,3.39
2,FIPS Code,NM,Catron,35003,35003,35003,35003,35003,35003,35003,35003,35003,35003
3,House Heating Fuel: Electric,NM,Catron,52,65,65,59,41,91,87,126,139,143
4,House Heating Fuel: Fuel Oil,NM,Catron,11,11,16,31,30,12,14,17,0,0
5,House Heating Fuel: Gas,NM,Catron,22,33,37,49,54,55,64,66,59,55
6,House Heating Fuel: Propane,NM,Catron,694,722,576,542,513,428,530,550,565,351
7,House Heating Fuel: Wood,NM,Catron,981,862,888,805,737,751,718,651,593,677
26,Median Number of Rooms,NM,Catron,4.8,4.8,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.4
27,Number of Rooms: 1,NM,Catron,90,112,155,121,109,96,50,3,18,68
28,Number of Rooms: 2,NM,Catron,125,171,162,213,182,164,115,154,150,191
29,Number of Rooms: 3,NM,Catron,464,372,299,299,235,284,348,441,484,482
30,Number of Rooms: 4,NM,Catron,795,756,830,831,972,1100,1294,1359,1359,1205
31,Number of Rooms: 5,NM,Catron,925,942,887,1002,1097,1176,1197,1166,1124,1043
32,Number of Rooms: 6,NM,Catron,569,599,692,708,646,559,510,413,340,301
33,Number of Rooms: 7,NM,Catron,272,253,252,275,240,188,210,241,251,316
34,Number of Rooms: 8,NM,Catron,84,118,145,122,130,125,107,130,85,37
35,Number of Rooms: 9+,NM,Catron,144,140,129,99,87,93,99,93,82,113
36,Owner-Occupied,NM,Catron,3007,3025,3057,3019,2831,2812,2913,2817,3020,2847
37,Renter-Occupied,NM,Catron,645,578,511,509,633,570,443,563,373,553
38,Total Housing Units,NM,Catron,3468,3463,3551,3670,3698,3785,3930,4000,3893,3756
39,Total Population,NM,Catron,3652,3687,3686,3683,3651,3583,3547,3547,3539,3526
40,Units in Structure: 1 ATTACHED,NM,Catron,5,7,8,0,0,20,21,28,31,25
41,Units in Structure: 1 DETACHED,NM,Catron,2402,2458,2528,2701,2627,2617,2656,2729,2567,2450
42,Units in Structure: 10-19,NM,Catron,0,0,0,0,0,0,0,0,0,0
43,Units in Structure: 2,NM,Catron,0,0,0,6,6,4,4,4,0,0
44,Units in Structure: 20-49,NM,Catron,8,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,NM,Catron,0,0,0,0,8,8,7,8,7,2
46,Units in Structure: 5-9,NM,Catron,0,0,0,0,0,0,0,0,0,0
47,Units in Structure: 50+,NM,Catron,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",NM,Catron,22,21,22,26,22,0,0,0,0,0
49,Units in Structure: Mobile Home,NM,Catron,1031,977,993,937,1035,1136,1242,1231,1288,1279
50,Year Built: 1940-1949,NM,Catron,183,129,147,122,89,199,215,160,114,101
51,Year Built: 1950-1959,NM,Catron,319,233,230,254,262,358,410,479,386,344
52,Year Built: 1960-1969,NM,Catron,334,311,309,330,327,519,544,539,494,628
53,Year Built: 1970-1979,NM,Catron,674,653,590,568,518,765,1015,971,991,931
54,Year Built: 1980-1989,NM,Catron,592,515,595,572,602,797,783,960,955,834
55,Year Built: 1990-1999,NM,Catron,854,789,728,779,813,708,549,548,632,533
56,Year Built: 2000-2009,NM,Catron,112,237,489,569,670,23,40,17,26,34
57,Year Built: 2010-2013,NM,Catron,72,188,25,25,23,0,8,9,10,17
58,Year Built: before 1940,NM,Catron,328,408,438,451,394,85,74,60,107,129
0,Avg household size of owner-occupied unit,NM,Chaves,2.64,2.66,2.72,2.74,2.78,2.75,2.77,2.72,2.74,2.71
1,Avg household size of renter-occupied unit,NM,Chaves,2.62,2.58,2.58,2.61,2.58,2.66,2.71,2.73,2.72,2.69
2,FIPS Code,NM,Chaves,35005,35005,35005,35005,35005,35005,35005,35005,35005,35005
3,House Heating Fuel: Electric,NM,Chaves,8935,9193,9427,9653,10007,10104,10522,10637,10827,11116
4,House Heating Fuel: Fuel Oil,NM,Chaves,19,15,15,0,0,27,29,36,45,46
5,House Heating Fuel: Gas,NM,Chaves,12618,12603,12373,12301,11785,11515,10947,10979,10652,10624
6,House Heating Fuel: Propane,NM,Chaves,1483,1419,1210,1063,1142,1158,1067,1146,1069,1021
7,House Heating Fuel: Wood,NM,Chaves,320,387,412,388,444,478,434,368,372,332
26,Median Number of Rooms,NM,Chaves,5.4,5.4,5.4,5.5,5.4,5.5,5.5,5.6,5.6,5.6
27,Number of Rooms: 1,NM,Chaves,449,468,482,496,710,484,429,472,631,581
28,Number of Rooms: 2,NM,Chaves,591,702,791,667,526,435,449,415,428,497
29,Number of Rooms: 3,NM,Chaves,1740,1868,1920,1850,1890,1990,1827,1758,1720,1481
30,Number of Rooms: 4,NM,Chaves,4731,4426,4149,4057,4079,4285,4453,4196,4026,4172
31,Number of Rooms: 5,NM,Chaves,6607,6475,6553,6478,6466,6385,6349,6372,6067,6276
32,Number of Rooms: 6,NM,Chaves,6289,6345,5957,5958,5826,5879,5840,6215,6096,6226
33,Number of Rooms: 7,NM,Chaves,3231,3183,3371,3463,3467,3451,3664,3607,4094,3907
34,Number of Rooms: 8,NM,Chaves,1654,1612,1705,1872,1797,1931,1858,2089,2215,2245
35,Number of Rooms: 9+,NM,Chaves,1311,1576,1765,1807,1911,1869,1841,1961,1917,1894
36,Owner-Occupied,NM,Chaves,42975,43218,42981,42822,42719,42939,42580,43090,43881,43475
37,Renter-Occupied,NM,Chaves,18887,19398,20053,20603,20976,20810,21005,20365,19488,19492
38,Total Housing Units,NM,Chaves,26603,26655,26693,26648,26672,26709,26710,27085,27194,27279
39,Total Population,NM,Chaves,64268,64949,65343,65627,65850,65811,65610,65454,65459,65144
40,Units in Structure: 1 ATTACHED,NM,Chaves,570,539,646,679,799,776,728,705,611,623
41,Units in Structure: 1 DETACHED,NM,Chaves,19902,19673,19440,19620,19368,19557,19657,20198,20288,19930
42,Units in Structure: 10-19,NM,Chaves,347,472,501,492,453,372,338,300,197,238
43,Units in Structure: 2,NM,Chaves,713,750,872,718,673,656,620,526,588,628
44,Units in Structure: 20-49,NM,Chaves,251,278,258,309,331,335,387,417,425,546
45,Units in Structure: 3-4,NM,Chaves,520,589,636,609,630,658,600,559,632,633
46,Units in Structure: 5-9,NM,Chaves,422,411,350,341,372,358,388,338,333,411
47,Units in Structure: 50+,NM,Chaves,317,186,375,574,699,720,795,745,578,523
48,"Units in Structure: Boat,RV,Van,Etc.",NM,Chaves,61,45,45,18,19,26,32,58,72,81
49,Units in Structure: Mobile Home,NM,Chaves,3500,3712,3570,3288,3328,3251,3165,3239,3470,3666
50,Year Built: 1940-1949,NM,Chaves,2558,2792,2756,2456,2353,4697,4792,5131,5215,5196
51,Year Built: 1950-1959,NM,Chaves,5438,5061,4960,4865,4826,4514,4700,4706,4859,4938
52,Year Built: 1960-1969,NM,Chaves,4538,4571,4614,4483,4319,4537,4656,4415,4053,3989
53,Year Built: 1970-1979,NM,Chaves,4115,4203,4296,4561,4411,3782,3631,3412,3661,3553
54,Year Built: 1980-1989,NM,Chaves,3020,3269,3506,3423,3743,2743,2438,2625,2542,2917
55,Year Built: 1990-1999,NM,Chaves,2667,2715,2639,2806,2719,1791,2015,2119,2139,2041
56,Year Built: 2000-2009,NM,Chaves,974,884,1710,1726,1741,269,344,404,423,576
57,Year Built: 2010-2013,NM,Chaves,853,931,134,227,257,0,9,16,199,326
58,Year Built: before 1940,NM,Chaves,2440,2229,2078,2101,2303,2321,2024,2299,2330,2349
0,Avg household size of owner-occupied unit,NM,Cibola,3.15,3.18,3.19,3.11,2.95,2.85,2.82,2.7,2.82,2.91
1,Avg household size of renter-occupied unit,NM,Cibola,3.03,3.09,3.16,3.25,3.29,3.35,3.13,2.97,2.89,2.93
