,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,NM,Bernalillo,5.4,5.4,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4
27,Number of Rooms: 1,NM,Bernalillo,5251,5867,6666,6613,6862,7358,8049,8373,8997,9320
28,Number of Rooms: 2,NM,Bernalillo,6420,5961,5837,6158,6636,7533,8097,8228,8444,9216
29,Number of Rooms: 3,NM,Bernalillo,27235,26695,25809,26435,26378,26746,27550,28254,28318,28963
30,Number of Rooms: 4,NM,Bernalillo,45370,45738,46188,45814,47327,46962,45157,45743,45183,45289
31,Number of Rooms: 5,NM,Bernalillo,61394,60704,60024,60389,60827,60996,61055,60939,61326,60365
32,Number of Rooms: 6,NM,Bernalillo,56224,56540,56185,55900,55743,55939,56240,55972,55521,54793
33,Number of Rooms: 7,NM,Bernalillo,39493,40305,40778,40306,38866,38010,37537,37283,37996,38428
34,Number of Rooms: 8,NM,Bernalillo,20829,21778,22096,22113,22114,21655,21877,23440,23458,23462
35,Number of Rooms: 9+,NM,Bernalillo,18219,19269,20792,21276,21517,21855,22454,22867,23196,23951
26,Median Number of Rooms,NM,Catron,4.8,4.8,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.4
27,Number of Rooms: 1,NM,Catron,90,112,155,121,109,96,50,3,18,68
28,Number of Rooms: 2,NM,Catron,125,171,162,213,182,164,115,154,150,191
29,Number of Rooms: 3,NM,Catron,464,372,299,299,235,284,348,441,484,482
30,Number of Rooms: 4,NM,Catron,795,756,830,831,972,1100,1294,1359,1359,1205
31,Number of Rooms: 5,NM,Catron,925,942,887,1002,1097,1176,1197,1166,1124,1043
32,Number of Rooms: 6,NM,Catron,569,599,692,708,646,559,510,413,340,301
33,Number of Rooms: 7,NM,Catron,272,253,252,275,240,188,210,241,251,316
34,Number of Rooms: 8,NM,Catron,84,118,145,122,130,125,107,130,85,37
35,Number of Rooms: 9+,NM,Catron,144,140,129,99,87,93,99,93,82,113
26,Median Number of Rooms,NM,Chaves,5.4,5.4,5.4,5.5,5.4,5.5,5.5,5.6,5.6,5.6
27,Number of Rooms: 1,NM,Chaves,449,468,482,496,710,484,429,472,631,581
28,Number of Rooms: 2,NM,Chaves,591,702,791,667,526,435,449,415,428,497
29,Number of Rooms: 3,NM,Chaves,1740,1868,1920,1850,1890,1990,1827,1758,1720,1481
30,Number of Rooms: 4,NM,Chaves,4731,4426,4149,4057,4079,4285,4453,4196,4026,4172
31,Number of Rooms: 5,NM,Chaves,6607,6475,6553,6478,6466,6385,6349,6372,6067,6276
32,Number of Rooms: 6,NM,Chaves,6289,6345,5957,5958,5826,5879,5840,6215,6096,6226
33,Number of Rooms: 7,NM,Chaves,3231,3183,3371,3463,3467,3451,3664,3607,4094,3907
34,Number of Rooms: 8,NM,Chaves,1654,1612,1705,1872,1797,1931,1858,2089,2215,2245
35,Number of Rooms: 9+,NM,Chaves,1311,1576,1765,1807,1911,1869,1841,1961,1917,1894
26,Median Number of Rooms,NM,Cibola,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
27,Number of Rooms: 1,NM,Cibola,342,354,357,388,408,409,341,340,309,337
28,Number of Rooms: 2,NM,Cibola,459,447,430,436,347,327,287,371,343,327
29,Number of Rooms: 3,NM,Cibola,1081,1024,890,962,870,883,1003,1086,1098,1038
30,Number of Rooms: 4,NM,Cibola,1962,1960,1968,2023,2086,2265,2467,2318,2405,2378
31,Number of Rooms: 5,NM,Cibola,3015,3101,3264,3261,3452,3388,3170,3104,3103,3035
32,Number of Rooms: 6,NM,Cibola,1954,2181,2008,1946,1818,1755,1804,2111,2167,2440
33,Number of Rooms: 7,NM,Cibola,1388,1041,1014,975,944,976,1044,1131,1187,1150
34,Number of Rooms: 8,NM,Cibola,509,580,683,678,638,530,496,457,364,407
35,Number of Rooms: 9+,NM,Cibola,318,387,473,391,537,555,498,388,367,285
26,Median Number of Rooms,NM,Colfax,5.1,5.0,5.0,5.0,5.1,5.1,5.1,5.2,5.1,5.1
27,Number of Rooms: 1,NM,Colfax,93,57,116,112,105,106,178,206,203,315
28,Number of Rooms: 2,NM,Colfax,207,272,344,301,285,238,185,138,116,175
29,Number of Rooms: 3,NM,Colfax,1014,1177,1178,1090,1104,996,898,917,908,766
30,Number of Rooms: 4,NM,Colfax,2066,2030,1910,2053,2017,1989,2072,2097,2246,2188
31,Number of Rooms: 5,NM,Colfax,2719,2801,2875,2648,2709,2849,2737,2629,2757,2666
32,Number of Rooms: 6,NM,Colfax,1793,1620,1615,1801,1786,1866,1883,1747,1616,1763
