,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,NM,31764,33627,32872,37483,34138,33057,31748,30602,29690,33042
40,Units in Structure: 1 DETACHED,NM,582888,577532,586747,585831,594708,582455,589893,598406,604140,613704
41,Units in Structure: 10-19,NM,22933,24788,22757,24426,25013,20897,24332,23044,21190,21622
42,Units in Structure: 2,NM,18774,18912,17620,16837,17168,17327,17478,17641,18303,18284
43,Units in Structure: 20-49,NM,16335,14289,14966,16237,14693,17484,16180,15364,18046,16268
44,Units in Structure: 3-4,NM,37004,32929,31976,31160,33693,37264,33228,36862,40313,34208
45,Units in Structure: 5-9,NM,23969,27086,25597,23151,25502,28264,29094,27601,26119,26208
46,Units in Structure: 50+,NM,18451,21642,23149,18587,19554,20733,22551,22463,23530,24122
47,"Units in Structure: Boat,RV,Van,Etc.",NM,1309,1562,1755,1112,2428,1772,1612,2096,2586,1550
48,Units in Structure: Mobile Home,NM,148815,155801,149399,150310,146013,155726,151525,163897,159315,159462
