,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, New Mexico (million metric tons CO2)",19.020682,18.471802,21.186425,24.778107,23.764768,25.234454,22.705957,24.510177,25.04723,26.337743,26.234358,22.322369,25.495437,25.657981,26.429577,26.167415,26.543018,27.423846,27.624451,28.393935,29.119464,28.320563,27.140218,29.235004,29.605377,30.411281,30.191215,28.274746,27.159151,29.243187,25.548045,27.197444,25.16269,24.487939,20.56869,20.602489,18.823721,19.017747,13.067825,,
"Total carbon dioxide emissions from all sectors, natural gas, New Mexico (million metric tons CO2)",12.273599,10.899643,11.319587,9.794048,9.008014,8.611734,7.668333,8.732385,9.828535,10.88362,13.342107,12.062486,11.20005,11.93775,11.750884,11.644665,12.391756,13.89448,12.808092,12.272697,13.742579,13.774943,12.186639,11.949422,12.158678,11.956532,12.078934,12.726013,13.414423,13.155294,13.062604,13.361685,13.254404,13.41628,13.585478,13.796696,13.750113,13.229839,14.921126,,
"Total carbon dioxide emissions from all sectors, petroleum, New Mexico (million metric tons CO2)",13.654099,14.57786,12.531228,13.963774,13.21721,12.462797,12.442637,12.801026,12.858102,12.997655,13.804185,14.804483,15.050772,14.873929,14.250348,13.181961,13.642327,14.605012,15.032066,15.764204,15.337652,16.274567,16.115613,16.508916,17.038458,17.036101,17.671959,18.076177,15.943727,15.029142,14.748315,15.245276,15.317823,15.425801,16.108201,15.963873,15.939321,16.928778,17.501029,,
"Residential carbon dioxide emissions, all fuels, New Mexico (million metric tons CO2)",1.940752,1.609999,1.807311,1.889474,1.705456,1.768975,1.63051,1.825445,1.801732,1.772753,1.972924,1.961135,1.998529,1.952125,1.820221,1.758793,2.049159,2.238852,2.23169,2.324715,2.315434,2.584343,2.358061,2.20399,2.304659,2.277788,2.138399,2.237628,2.288041,2.202597,2.298828,2.210867,2.065812,2.326138,2.079622,2.096504,2.103264,1.905275,2.165412,,
"Commercial carbon dioxide emissions, all fuels, New Mexico (million metric tons CO2)",1.858715,1.745874,1.635368,2.363856,1.799607,1.294681,1.424235,1.446031,2.028928,1.867993,1.66107,1.664321,1.733591,1.730995,1.466727,1.46559,1.593234,1.637275,1.58373,1.668361,1.632243,1.764229,1.736837,1.773029,1.707662,1.693254,1.545092,1.545278,1.734816,1.54999,1.560197,1.543829,1.547474,1.652698,1.631251,1.71336,1.698864,1.591419,1.718005,,
"Industrial carbon dioxide emissions, all fuels, New Mexico (million metric tons CO2)",7.133644,6.275012,6.308124,7.303621,7.357473,5.580744,4.558368,5.284702,4.974506,5.360688,7.386188,7.235192,7.340703,6.991731,7.048831,7.343502,7.979693,7.243741,6.38395,6.463818,7.66356,7.749518,7.05158,7.617978,8.094551,7.767149,7.404785,8.589406,7.772452,7.042798,7.019127,7.275365,7.331216,7.126466,7.577002,7.358726,7.366632,7.62096,7.614169,,
"Transportation carbon dioxide emissions, all fuels, New Mexico (million metric tons CO2)",11.841008,13.052257,11.80702,10.697694,9.842026,11.061529,11.544417,12.042748,12.802123,13.444751,14.789076,14.555569,14.040293,14.749171,14.050936,12.68154,12.700276,15.396035,15.385921,15.442251,15.166901,15.544427,15.326417,15.01204,15.590281,15.218041,15.854395,15.283037,13.95763,13.669663,13.164689,13.623469,13.633478,13.72337,14.27093,14.388268,14.11974,15.028316,15.672654,,
"Electric power carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",3.072618,2.978707,2.422833,1.611915,1.62815,1.512062,1.114668,1.004575,1.146661,1.498745,1.397247,1.519172,1.216165,1.498214,1.752037,1.731027,1.861652,2.137282,2.405536,2.273266,2.467613,2.552503,1.984479,2.008778,1.670118,2.198297,2.967884,3.296941,3.710253,3.821725,3.832389,3.977128,4.053317,4.084196,4.220127,4.310536,4.52966,4.180865,5.421649,,
"Residential carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",1.588729,1.378571,1.474763,1.469457,1.542782,1.267152,1.380588,1.578542,1.586447,1.482191,1.577534,1.646083,1.739304,1.761004,1.637276,1.557319,1.849343,1.986654,1.863297,1.839315,1.844356,1.794642,1.728056,1.715959,1.868497,1.807057,1.64932,1.822284,1.854171,1.767795,1.909085,1.860167,1.763975,1.96957,1.776549,1.825255,1.804192,1.656482,1.89078,,
"Commercial carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",1.36223,1.143318,1.211708,1.238502,1.292301,0.965897,1.186506,1.143106,1.767954,1.586288,1.328008,1.382073,1.542888,1.542888,1.324082,1.295538,1.452851,1.486489,1.412952,1.402341,1.386742,1.40128,1.314161,1.28864,1.385257,1.314744,1.268267,1.354378,1.373531,1.347533,1.36223,1.357773,1.350717,1.464735,1.409928,1.37942,1.38202,1.304716,1.424678,,
"Industrial carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",4.117834,3.201068,4.264111,3.797584,4.019944,3.367772,2.506291,3.532566,3.21412,3.396423,4.77441,3.545353,3.915688,3.687704,3.897118,3.982699,5.742429,4.900102,4.399087,4.238962,5.683483,5.667938,5.005048,5.336917,5.747416,5.552645,5.232342,5.506964,5.728263,5.573231,5.477093,5.769806,5.667725,5.409074,5.70062,5.796122,5.562196,5.594454,5.628251,,
