,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in New Mexico, Annual (Dollars per Thousand Cubic Feet)",3.79,3.99,2.91,4.78,5.4,7.04,6.82,6.45,7.05,4.07,4.84,4.52,3.7,4.08,4.99,3.32,3.05,3.51,3.05,2.56
"New Mexico Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",6.1,7.72,6.13,8.41,9.57,11.14,12.64,11.99,12.23,9.53,9.63,9.14,8.69,8.92,10.13,8.63,8.05,9.22,7.89,6.4
"New Mexico Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",4.9,5.99,4.75,6.89,7.99,9.31,10.65,10.04,10.39,7.52,7.47,6.98,6.31,6.77,7.87,6.32,5.68,6.59,5.57,4.56
"Electricity price in the residential sector, New Mexico (Dollars per million Btu)",24.5,25.61,24.92,25.48,25.4,26.76,26.55,26.73,29.34,29.38,30.84,32.23,33.34,34.24,35.99,36.55,35.27,37.75,37.17,36.67
"Electricity price in the commercial sector, New Mexico (Dollars per million Btu)",19.84,21.34,20.61,21.56,21.66,22.89,22.31,22.46,25.41,24.61,25.12,26.59,27.33,28.55,30.1,30.2,28.57,29.87,29.37,28.7
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),2.5527088670971985,2.763110857294849,2.047357042553774,3.4402882031503643,3.990186698376315,5.377131033079995,5.376919339886487,5.231187586298616,5.935939339651793,3.415878358556325,4.128595557259254,3.9766869936984897,3.3227390251630147,3.7177117420879084,4.620355912115251,3.0777915377484324,2.8633157052723806,3.365606349231184,2.9957055070740415,2.56
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),4.108581553903142,5.346169378024118,4.312817412664823,6.052892005961206,7.071497537678025,8.508698822231697,9.9654340844817,9.72433165266983,10.297381294176091,7.998358908364072,8.214540333968309,8.041353788142523,7.803946521261241,8.127938416525526,9.379600278502503,8.000403906858125,7.5572758778500555,8.84070955553035,7.749546377316127,6.4
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),3.3003360023156394,4.148128830876227,3.3419058254743734,4.95890914638201,5.903998466671621,7.110950272439596,8.396508939852065,8.14280982425397,8.748143225387537,6.311401782885395,6.372026614199716,6.140990092038819,5.666617094264492,6.168850121062534,7.287014234137679,5.858928469448824,5.332338756048237,6.318901949126355,5.470845794886038,4.56
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),16.501680011578195,17.735155151709545,17.532693299120293,18.338607409261773,18.768655951621923,20.439208301877937,20.93214200498332,21.679014601823567,24.70361137948704,24.658109625155973,26.307001443362683,28.355889780288123,29.940572729441868,31.199620110071077,33.32396979499556,33.88351828454976,33.11119505736291,36.197048342871,36.50831924522693,36.67
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),13.362993119580057,14.778141778113302,14.500353486953017,15.517283192452268,16.005082201264994,17.48331382772743,17.589306520948316,18.215887316010374,21.394640939085402,20.65473376021404,21.42775214841993,23.39382901823957,24.543366907487886,26.01487015603181,27.870283157248306,27.996778445783935,26.821288426108826,28.641214145736605,28.84717073533266,28.7
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
