,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New Mexico (Million cubic feet)",30771,32396,34621,23730,25331,27826,36476,25525,25882,27874,28579,24653,26429,26593,27394,21952,24019,27534,27846,26591,28145,29767,31433,31843,30868,28770,33689,36623,35877,35548,35921,34750,33499,31619,34339,33242,30435,33471,33996,32405,35253,34299,32515,36024,32374,33130,32577,29993,34438,42384,
"Natural gas consumed by (delivered to) the commercial sector, New Mexico (Million cubic feet)",33035,33760,32354,25569,25221,22800,33708,25476,25706,26371,24505,20446,21715,22413,22947,16733,20642,19939,31032,28459,23694,24993,27884,27898,24964,23934,26466,27403,27206,27103,27009,27133,25476,23745,25458,24186,23404,24876,25183,24701,25155,25035,24898,26790,25693,25038,24954,23624,25948,29661,
"Natural gas consumed by the industrial sector, New Mexico (Million cubic feet)",121116,124928,125571,111565,106644,95387,111228,86452,75857,67391,74074,57246,76416,68725,71380,58344,43603,61617,56415,60934,85181,64112,70767,66681,73473,73576,104609,90333,84702,81925,110693,109749,97025,98340,105626,102146,96554,101148,105026,102162,101138,106387,104473,98933,103881,105204,100433,101295,102596,108157,
"Natural gas consumed by the electric power sector, New Mexico (Million cubic feet)",54894,49189,59141,66431,67894,65229,69663,70203,63279,60410,56280,54560,44726,30626,30810,28133,20182,18454,21064,27365,25475,28156,22542,27786,32305,32029,35150,40256,45534,43018,46885,48981,37324,37849,30817,41207,55506,61050,68742,70102,70694,73379,74357,74817,76973,78337,81274,75459,98438,103430,
"Residential carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",,,,,,,,,,,1.588729,1.378571,1.474763,1.469457,1.542782,1.267152,1.380588,1.578542,1.586447,1.482191,1.577534,1.646083,1.739304,1.761004,1.637276,1.557319,1.849343,1.986654,1.863297,1.839315,1.844356,1.794642,1.728056,1.715959,1.868497,1.807057,1.64932,1.822284,1.854171,1.767795,1.909085,1.860167,1.763975,1.96957,1.776549,1.825255,1.804192,1.656482,1.89078,,
"Commercial carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",,,,,,,,,,,1.36223,1.143318,1.211708,1.238502,1.292301,0.965897,1.186506,1.143106,1.767954,1.586288,1.328008,1.382073,1.542888,1.542888,1.324082,1.295538,1.452851,1.486489,1.412952,1.402341,1.386742,1.40128,1.314161,1.28864,1.385257,1.314744,1.268267,1.354378,1.373531,1.347533,1.36223,1.357773,1.350717,1.464735,1.409928,1.37942,1.38202,1.304716,1.424678,,
"Industrial carbon dioxide emissions, natural gas, New Mexico (million metric tons CO2)",,,,,,,,,,,4.117834,3.201068,4.264111,3.797584,4.019944,3.367772,2.506291,3.532566,3.21412,3.396423,4.77441,3.545353,3.915688,3.687704,3.897118,3.982699,5.742429,4.900102,4.399087,4.238962,5.683483,5.667938,5.005048,5.336917,5.747416,5.552645,5.232342,5.506964,5.728263,5.573231,5.477093,5.769806,5.667725,5.409074,5.70062,5.796122,5.562196,5.594454,5.628251,,
"Natural Gas Citygate Price in New Mexico, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.5,3.34,2.83,2.55,2.58,2.66,2.63,2.49,2.25,2.39,2.02,1.46,1.99,2.53,2.08,2.24,3.79,3.99,2.91,4.78,5.4,7.04,6.82,6.45,7.05,4.07,4.84,4.52,3.7,4.08,4.99,3.32,3.05,3.51,3.05,2.56,
"New Mexico Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.93,0.95,0.97,1.0,1.24,1.33,1.36,2.11,2.5,2.73,3.32,3.86,4.94,5.5,5.9,6.08,5.72,4.98,5.23,5.73,5.67,5.4,4.75,5.46,5.61,5.04,4.47,5.87,5.22,5.03,6.1,7.72,6.13,8.41,9.57,11.14,12.64,11.99,12.23,9.53,9.63,9.14,8.69,8.92,10.13,8.63,8.05,9.22,7.89,6.4,
"New Mexico Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.48,0.5,0.53,0.52,0.72,0.8,1.07,1.68,2.0,2.3,2.93,3.39,4.43,4.8,4.96,5.81,4.37,3.97,3.31,3.72,4.43,4.15,3.36,4.31,4.41,3.74,3.35,4.41,4.04,3.78,4.9,5.99,4.75,6.89,7.99,9.31,10.65,10.04,10.39,7.52,7.47,6.98,6.31,6.77,7.87,6.32,5.68,6.59,5.57,4.56,
