,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,NY,Albany,15836,17251,17918,18710,19555,19894,20102,21240,22312,22985
4,House Heating Fuel: Fuel Oil,NY,Albany,16559,15292,14177,13342,12663,11975,11318,10937,10430,10415
5,House Heating Fuel: Gas,NY,Albany,86974,85306,84784,84591,84717,85457,86296,86281,86037,85642
6,House Heating Fuel: Propane,NY,Albany,2371,2681,2720,2690,2714,2759,2766,2982,3270,3502
7,House Heating Fuel: Wood,NY,Albany,1695,1953,2104,2136,2079,2099,2061,2110,2058,1965
3,House Heating Fuel: Electric,NY,Allegany,1772,1620,1604,1658,1604,1632,1883,1911,2067,2054
4,House Heating Fuel: Fuel Oil,NY,Allegany,1818,1675,1524,1467,1239,1149,1069,1083,1142,1207
5,House Heating Fuel: Gas,NY,Allegany,9675,9678,9759,9708,9796,10026,9714,9744,9479,9254
6,House Heating Fuel: Propane,NY,Allegany,1715,1726,1803,1811,1870,1902,2004,2000,2056,2161
7,House Heating Fuel: Wood,NY,Allegany,2796,2947,3034,3010,2854,2652,2565,2576,2461,2499
3,House Heating Fuel: Electric,NY,Bronx,34824,34105,34869,36461,40355,41714,45598,47801,51705,53195
4,House Heating Fuel: Fuel Oil,NY,Bronx,276609,271743,266341,256961,248636,242202,233140,223324,211687,196747
5,House Heating Fuel: Gas,NY,Bronx,145744,150440,156690,164627,172950,181096,189454,198394,207664,223263
6,House Heating Fuel: Propane,NY,Bronx,5447,5499,5276,5803,5925,6539,6881,7941,8757,9663
7,House Heating Fuel: Wood,NY,Bronx,230,192,254,220,288,229,225,144,103,86
3,House Heating Fuel: Electric,NY,Broome,8015,8039,8426,8506,9038,9771,10128,10394,11055,11311
4,House Heating Fuel: Fuel Oil,NY,Broome,10742,10366,9583,9504,9319,9211,9112,9245,9035,8818
5,House Heating Fuel: Gas,NY,Broome,53395,52904,52699,52252,51207,50192,49666,49473,48793,48447
