,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,NY,Albany,5825,6126,6456,6151,6074,5792,5440,5429,5731,6120
41,Units in Structure: 1 DETACHED,NY,Albany,69165,70032,70798,70475,69736,69554,69305,69913,70262,70390
42,Units in Structure: 10-19,NY,Albany,5641,5808,6208,6362,6482,6194,6061,5933,6000,6026
43,Units in Structure: 2,NY,Albany,22436,22209,21598,21503,21897,22203,22572,22600,22892,22408
44,Units in Structure: 20-49,NY,Albany,3342,3445,3212,3019,2920,2871,2968,3300,3077,3468
45,Units in Structure: 3-4,NY,Albany,12606,12326,12264,12622,13425,13978,14438,14511,14410,14129
46,Units in Structure: 5-9,NY,Albany,8991,8709,8548,8664,8701,8651,8643,8873,8905,8980
47,Units in Structure: 50+,NY,Albany,6800,6734,6581,6953,6794,7077,7185,7422,7490,7973
48,"Units in Structure: Boat,RV,Van,Etc.",NY,Albany,20,28,7,12,13,31,17,42,43,33
49,Units in Structure: Mobile Home,NY,Albany,1984,1882,1754,1822,1817,1730,1819,2065,2020,2026
40,Units in Structure: 1 ATTACHED,NY,Allegany,175,150,138,177,196,191,189,204,202,181
41,Units in Structure: 1 DETACHED,NY,Allegany,18189,18138,18241,18452,18477,18588,18917,18976,18826,18923
42,Units in Structure: 10-19,NY,Allegany,130,117,130,135,152,158,205,210,257,236
43,Units in Structure: 2,NY,Allegany,994,993,1060,1076,1203,1207,1154,1164,1103,970
44,Units in Structure: 20-49,NY,Allegany,285,253,244,242,229,283,249,229,246,240
45,Units in Structure: 3-4,NY,Allegany,949,971,926,893,873,918,844,878,815,884
46,Units in Structure: 5-9,NY,Allegany,652,727,737,710,583,503,421,434,456,488
47,Units in Structure: 50+,NY,Allegany,36,16,75,80,76,78,121,69,74,77
48,"Units in Structure: Boat,RV,Van,Etc.",NY,Allegany,19,13,12,14,10,13,12,14,15,12
49,Units in Structure: Mobile Home,NY,Allegany,4479,4679,4483,4247,4307,4085,3879,4146,4306,4362
40,Units in Structure: 1 ATTACHED,NY,Bronx,22575,22648,23188,22778,23089,23853,24446,24969,24975,25317
41,Units in Structure: 1 DETACHED,NY,Bronx,31898,31390,30572,29036,28868,29086,29088,29667,31032,31739
42,Units in Structure: 10-19,NY,Bronx,28545,27954,27810,26964,26675,26691,27638,28483,29384,29867
43,Units in Structure: 2,NY,Bronx,45458,45925,46696,47559,48768,48141,48300,47903,47083,46175
44,Units in Structure: 20-49,NY,Bronx,118866,116175,113329,113234,117714,124219,128958,134371,139454,142708
45,Units in Structure: 3-4,NY,Bronx,45801,47657,47346,49686,49274,48204,47008,46486,44497,44592
46,Units in Structure: 5-9,NY,Bronx,20396,20482,19668,19245,18877,19195,18946,19123,19011,19599
47,Units in Structure: 50+,NY,Bronx,195018,197689,202638,203844,203469,199371,196669,191910,189836,188360
48,"Units in Structure: Boat,RV,Van,Etc.",NY,Bronx,499,521,511,553,686,754,712,783,780,619
49,Units in Structure: Mobile Home,NY,Bronx,609,739,662,696,729,815,636,793,732,820
40,Units in Structure: 1 ATTACHED,NY,Broome,1866,1858,2011,1936,1934,1877,1880,2000,1777,1941
41,Units in Structure: 1 DETACHED,NY,Broome,55094,55263,55357,55137,54536,54586,54622,55072,55549,55995
42,Units in Structure: 10-19,NY,Broome,2563,2693,2747,2972,3080,2819,2810,3078,3075,2898
43,Units in Structure: 2,NY,Broome,10646,10461,10565,10628,10709,10303,10465,10197,10213,10010
44,Units in Structure: 20-49,NY,Broome,1949,1765,1830,1980,2084,2200,2087,2113,2034,2005
45,Units in Structure: 3-4,NY,Broome,6499,6384,6069,6166,6235,6617,6652,7077,7089,7012
