,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NY,2.76,2.76,2.76,2.78,2.77,2.8,2.8,2.78,2.73,2.71
1,Avg household size of renter-occupied unit,NY,2.44,2.47,2.47,2.48,2.47,2.5,2.5,2.47,2.39,2.34
2,House Heating Fuel: Electric,NY,676262,707016,775390,764400,770577,808370,860856,867925,890554,911445
3,House Heating Fuel: Fuel Oil,NY,2068004,1979067,1901118,1802442,1752656,1649860,1540787,1496843,1459976,1393560
4,House Heating Fuel: Gas,NY,3961085,4014222,4044389,4074510,4186666,4202413,4227422,4339349,4397917,4519999
5,House Heating Fuel: Propane,NY,227607,222634,237738,259367,258775,265224,273838,294973,308020,319576
6,House Heating Fuel: Wood,NY,143242,143287,155603,148422,145012,141016,126890,122088,120159,114011
25,Median Number of Rooms,NY,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
26,Number of Rooms: 1,NY,290865,305994,310581,313312,312257,371998,358834,341160,360713,353543
27,Number of Rooms: 2,NY,288943,300541,289960,312844,299736,293864,300858,314983,346185,365068
28,Number of Rooms: 3,NY,1237142,1252169,1251314,1235120,1252597,1252708,1237961,1260719,1263170,1268809
29,Number of Rooms: 4,NY,1506731,1500704,1492485,1497175,1539255,1526455,1543935,1550778,1544035,1570867
30,Number of Rooms: 5,NY,1357477,1361368,1371174,1359948,1389833,1357912,1357128,1362241,1347414,1321561
31,Number of Rooms: 6,NY,1240999,1207906,1214826,1223811,1217415,1209353,1213558,1235172,1236632,1241765
32,Number of Rooms: 7,NY,832576,843470,840495,826536,823282,832118,836011,847232,839347,830632
33,Number of Rooms: 8,NY,618144,606564,616680,606065,610673,608635,609836,628954,624089,625698
34,Number of Rooms: 9+,NY,735334,741088,736070,751588,746480,754118,773918,786382,802262,826262
35,Owner-Occupied,NY,10771541,10641766,10712764,10774490,10701486,10745512,10744531,10940127,10809040,10782814
36,Renter-Occupied,NY,8035064,8237759,8273545,8292826,8463563,8475673,8424794,8333121,8160221,8102134
37,Total Housing Units,NY,8108211,8119804,8123585,8126399,8191528,8207161,8232039,8327621,8363847,8404205
38,Total Population,NY,19392283,19465197,19570261,19651127,19746227,19795791,19745289,19849399,19542209,19453561
39,Units in Structure: 1 ATTACHED,NY,390965,395171,397587,409804,397743,400706,406772,425973,420883,428146
40,Units in Structure: 1 DETACHED,NY,3399808,3401598,3411632,3394447,3408433,3410801,3436829,3491667,3492617,3478118
41,Units in Structure: 10-19,NY,338849,324432,336941,334514,344306,331677,350152,351697,361400,349173
42,Units in Structure: 2,NY,869382,871962,871949,856443,880997,865490,864480,848967,850449,848063
43,Units in Structure: 20-49,NY,631172,626366,630148,648864,669454,697740,668515,678791,679889,709228
44,Units in Structure: 3-4,NY,613621,609504,593821,606783,600848,605224,583094,574232,572714,589060
45,Units in Structure: 5-9,NY,442856,430641,428065,420567,425776,438239,430914,430141,438507,432697
46,Units in Structure: 50+,NY,1220364,1255524,1260006,1255638,1264638,1261803,1299981,1330421,1357891,1377347
47,"Units in Structure: Boat,RV,Van,Etc.",NY,3817,3938,3533,3999,3405,3602,2808,2239,3008,2189
48,Units in Structure: Mobile Home,NY,197377,200668,189903,195340,195928,191879,188494,193493,186489,190184
49,Year Built: 1940-1949,NY,715956,693504,684304,687406,724133,686446,685689,683220,655919,667197
50,Year Built: 1950-1959,NY,1242251,1222949,1209392,1230562,1210273,1221324,1202304,1207018,1209707,1250256
51,Year Built: 1960-1969,NY,1019315,1028775,988817,1014574,1056826,1008943,1017958,1031019,1044840,1070864
52,Year Built: 1970-1979,NY,820577,810770,813641,819541,826212,817366,805485,821971,848236,840302
53,Year Built: 1980-1989,NY,591547,597608,613381,614939,627834,619465,634844,626155,625734,624395
54,Year Built: 1990-1999,NY,487826,498243,503351,488798,508852,491020,503176,521860,529934,520816
55,Year Built: 2000-2009,NY,314330,311839,539400,540780,533390,556425,519366,513411,495043,501208
56,Year Built: 2010-2013,NY,228908,276598,40709,71872,87594,110177,134529,134973,133667,129945
57,Year Built: 2014 or later,NY,,,,,,13989.0,50371.0,91442.0,137702.0,185317.0
58,Year Built: before 1940,NY,2687501,2679518,2730590,2657927,2616414,2682006,2678317,2696552,2683065,2613905
