,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,NY,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
26,Number of Rooms: 1,NY,290865,305994,310581,313312,312257,371998,358834,341160,360713,353543
27,Number of Rooms: 2,NY,288943,300541,289960,312844,299736,293864,300858,314983,346185,365068
28,Number of Rooms: 3,NY,1237142,1252169,1251314,1235120,1252597,1252708,1237961,1260719,1263170,1268809
29,Number of Rooms: 4,NY,1506731,1500704,1492485,1497175,1539255,1526455,1543935,1550778,1544035,1570867
30,Number of Rooms: 5,NY,1357477,1361368,1371174,1359948,1389833,1357912,1357128,1362241,1347414,1321561
31,Number of Rooms: 6,NY,1240999,1207906,1214826,1223811,1217415,1209353,1213558,1235172,1236632,1241765
32,Number of Rooms: 7,NY,832576,843470,840495,826536,823282,832118,836011,847232,839347,830632
33,Number of Rooms: 8,NY,618144,606564,616680,606065,610673,608635,609836,628954,624089,625698
34,Number of Rooms: 9+,NY,735334,741088,736070,751588,746480,754118,773918,786382,802262,826262
