,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,NY,715956,693504,684304,687406,724133,686446,685689,683220,655919,667197
50,Year Built: 1950-1959,NY,1242251,1222949,1209392,1230562,1210273,1221324,1202304,1207018,1209707,1250256
51,Year Built: 1960-1969,NY,1019315,1028775,988817,1014574,1056826,1008943,1017958,1031019,1044840,1070864
52,Year Built: 1970-1979,NY,820577,810770,813641,819541,826212,817366,805485,821971,848236,840302
53,Year Built: 1980-1989,NY,591547,597608,613381,614939,627834,619465,634844,626155,625734,624395
54,Year Built: 1990-1999,NY,487826,498243,503351,488798,508852,491020,503176,521860,529934,520816
55,Year Built: 2000-2009,NY,314330,311839,539400,540780,533390,556425,519366,513411,495043,501208
56,Year Built: 2010-2013,NY,228908,276598,40709,71872,87594,110177,134529,134973,133667,129945
57,Year Built: 2014 or later,NY,,,,,,13989.0,50371.0,91442.0,137702.0,185317.0
58,Year Built: before 1940,NY,2687501,2679518,2730590,2657927,2616414,2682006,2678317,2696552,2683065,2613905
