,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,36001000100,837,38714,1132,0.029240068192385185,546.5,547.9,37.5
1,36001000200,2133,42826,1021,0.023840657544482325,685.3,308.8,26.7
2,36001000300,2480,50221,1258,0.02504928217279624,667.3,561.0,29.8
3,36001000401,1029,88703,1074,0.012107820479577917,548.7,490.9,34.8
4,36001000403,2172,84262,1342,0.015926514917756523,603.2,703.8,34.6
5,36001000404,5,63395,2428,0.03829955043773168,1634.9,602.1,191.5
6,36001000501,1403,44857,1200,0.026751677553113227,575.5,594.5,30.4
7,36001000502,862,71545,1347,0.01882731148228388,622.5,679.8,45.1
8,36001000600,1413,35462,1220,0.0344030229541481,620.3,595.9,3.5
9,36001000700,1448,46087,1392,0.03020374509080652,704.5,662.5,24.6
10,36001000800,828,29340,1192,0.04062713019768235,740.6,443.9,7.9
11,36001001100,845,43971,762,0.017329603602374292,461.6,283.1,17.4
12,36001001400,2811,64756,800,0.012354067576749644,424.2,373.6,2.0
13,36001001500,2192,50799,1063,0.020925608771826216,577.9,478.1,6.8
14,36001001600,1900,69147,1371,0.019827324395852313,589.4,750.8,30.8
15,36001001700,1987,77247,1365,0.01767058914909317,605.1,662.8,96.8
16,36001001801,3391,101258,1465,0.0144679926524324,626.5,769.6,69.1
17,36001001802,1946,72889,1458,0.02000301828808188,666.0,663.4,128.2
18,36001001901,1231,96440,1655,0.017160929075072585,627.9,921.4,105.5
19,36001001902,1028,97239,1713,0.017616388486101257,745.7,814.7,152.8
20,36001002000,2359,58399,1415,0.024229866949776538,589.4,688.8,137.2
21,36001002100,1069,68059,1244,0.018278258569770348,624.1,571.7,48.4
22,36001002200,1494,61221,1016,0.016595612616585813,523.9,488.1,4.0
23,36001002300,1038,60727,1254,0.02064979333739523,748.7,486.1,19.0
24,36001002500,1382,23425,973,0.04153681963713981,672.8,271.8,28.4
25,36001002600,1924,48508,1285,0.026490475797806546,655.7,601.8,27.8
26,36001012700,1357,70335,1679,0.023871472239994314,943.8,672.7,62.5
27,36001012800,1630,44620,1770,0.039668310174809505,1127.5,603.0,39.8
28,36001012900,1662,41902,1459,0.03481934036561501,931.8,512.8,14.0
29,36001013000,2835,82305,1878,0.022817568798979407,1081.9,708.0,87.9
30,36001013100,1247,67815,1677,0.024729042247290424,963.5,633.5,80.4
31,36001013200,1518,44339,1579,0.035611989444958164,921.8,627.6,29.9
32,36001013300,2132,58079,1847,0.031801511734017456,1107.7,687.1,52.5
33,36001013400,1066,58158,1993,0.03426871625571718,1114.3,823.7,55.4
34,36001013503,2139,106148,1800,0.016957455627991107,1093.1,608.2,99.0
35,36001013505,969,91323,2167,0.023728962035850773,1198.2,830.7,138.2
36,36001013506,2789,89028,1959,0.02200431324976412,1163.3,710.4,85.5
37,36001013507,956,95704,1866,0.019497617654434505,1096.2,699.1,70.9
38,36001013508,2538,124797,2204,0.01766068094585607,1283.0,816.3,104.5
39,36001013601,3329,100053,1745,0.017440756399108474,1093.8,580.8,70.4
40,36001013602,1963,79531,1512,0.019011454652902642,935.2,543.5,33.2
41,36001013703,586,125666,2299,0.01829452676141518,1338.6,848.7,111.9
42,36001013705,2725,100020,2071,0.020705858828234353,1208.4,764.5,98.1
43,36001013706,763,133983,2288,0.017076793324526246,1242.2,866.6,179.3
44,36001013707,2390,111279,2089,0.018772634549196164,1235.7,781.2,71.8
45,36001013801,2958,88166,2316,0.026268629630469796,1219.0,989.5,107.2
46,36001013802,1479,132622,2353,0.017742154393690337,1357.1,902.5,93.5
47,36001013901,903,91175,2257,0.024754592816013162,1170.9,909.4,176.5
48,36001013902,2110,91077,2132,0.023408764012868233,1248.8,755.4,127.5
49,36001014001,1856,70148,1604,0.022865940582767863,973.4,524.6,105.9
50,36001014002,1875,78906,2053,0.026018300256000812,1169.2,762.8,121.2
51,36001014100,2322,124580,2058,0.01651950553860973,1211.0,699.4,147.3
52,36001014201,2331,114883,1989,0.01731326654074145,1222.7,662.9,103.8
53,36001014202,2549,120309,2036,0.016923089710661712,1191.1,758.6,86.7
54,36001014203,2607,141013,2187,0.015509208370859425,1196.7,806.6,183.8
55,36001014301,1202,91899,2438,0.02652912436479178,1110.6,704.7,622.3
56,36001014302,3092,131088,2441,0.018621078969852312,1317.8,884.5,239.0
