,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New York (Million cubic feet)",346533,352085,363412,342608,341032,327384,339949,325603,330968,313027,333902,336813,343029,321949,337253,320073,336712,334417,357260,364713,337988,338892,378689,384216,385408,375005,403264,375641,339512,370711,400224,376176,369614,409649,392738,406175,356453,400259,394196,404868,390491,393825,357709,416357,458313,452166,412467,432566,485693,473617,
"Natural gas consumed by (delivered to) the commercial sector, New York (Million cubic feet)",139498,145458,147326,142736,136332,128273,143530,130898,142988,143512,161813,167253,164784,161770,170365,165498,167503,167178,188037,196380,194990,199598,217214,220729,223256,231352,253075,320862,335343,360188,365879,347253,362247,339371,359070,275721,259972,285030,290150,280763,287389,291118,270232,300776,320168,311207,302572,310319,330213,322778,
"Natural gas consumed by the industrial sector, New York (Million cubic feet)",115532,117054,103638,124597,108882,104696,104180,98448,91129,88034,113809,122029,110769,97575,107844,100870,87643,97056,91671,97468,102125,120017,148485,142366,161733,214539,215580,206524,172679,102265,97097,85051,93125,83523,78903,81485,78462,77930,80653,73171,76048,75660,74556,80151,84578,83335,81066,83030,91600,90505,
"Natural gas consumed by the electric power sector, New York (Million cubic feet)",106141,98536,74953,69580,38231,13613,5293,4089,1222,75964,124391,130507,152577,135811,169620,172631,133580,173328,148493,182529,229445,228710,254415,240770,289132,430886,319502,413102,377087,432513,373388,357409,365705,260733,258650,304059,388040,408260,399385,368353,425488,434019,499074,455846,452796,471586,472427,385490,415495,378567,
"Residential carbon dioxide emissions, natural gas, New York (million metric tons CO2)",,,,,,,,,,,18.119117,18.183103,18.587289,17.526845,18.347314,17.444608,18.354848,18.275369,19.495991,19.890308,18.457937,18.469026,20.680268,20.980675,21.026516,20.514891,21.973312,20.469209,18.545852,20.228279,21.920203,20.626681,20.098608,22.338395,21.407251,22.118794,19.327536,21.745646,21.367724,21.945776,21.204627,21.452084,19.590909,22.85729,25.128752,24.777092,22.578954,23.696752,26.613967,,
"Commercial carbon dioxide emissions, natural gas, New York (million metric tons CO2)",,,,,,,,,,,8.780719,9.02929,8.928959,8.806717,9.268204,9.019952,9.130946,9.135987,10.261372,10.709966,10.648632,10.877731,11.862144,12.053201,12.180113,12.656296,13.789693,17.484241,18.318079,19.654046,20.039132,19.040764,19.697977,18.506112,19.572127,15.014718,14.096148,15.485384,15.727853,15.218721,15.605929,15.857523,14.799998,16.512084,17.554435,17.052996,16.563177,16.999727,18.094286,,
"Industrial carbon dioxide emissions, natural gas, New York (million metric tons CO2)",,,,,,,,,,,6.175796,6.587834,6.002088,5.31198,5.866953,5.497626,4.777594,5.303969,5.002554,5.315588,5.577158,6.54072,8.10881,7.774075,8.823589,11.736453,11.74664,11.253743,9.432573,5.580235,5.318029,4.663575,5.063887,4.554543,4.300826,4.437394,4.254349,4.233869,4.371869,3.966198,4.129613,4.121283,4.083241,4.400149,4.637312,4.566481,4.43766,4.548601,5.020328,,
"Natural Gas Citygate Price in New York, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.1,3.94,3.35,2.92,2.91,3.07,3.05,2.92,3.01,3.32,3.02,2.47,3.36,4.2,2.65,2.92,4.67,4.71,3.9,5.73,6.36,8.22,9.22,9.02,10.07,7.35,6.86,6.04,5.35,5.02,5.47,4.15,3.57,4.29,4.87,4.25,3.64
"New York Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.4,1.5,1.62,1.74,2.0,2.54,2.87,3.28,3.68,4.12,4.95,5.5,6.51,7.87,7.64,7.74,7.46,6.88,6.5,7.22,7.4,7.35,7.58,8.15,8.75,8.42,8.9,9.73,9.59,9.12,9.86,11.75,9.85,11.59,12.5,14.89,15.35,15.73,16.78,15.05,14.04,13.71,12.97,12.49,12.54,11.2,10.84,12.04,12.37,12.61,12.82
"New York Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.19,1.27,1.3,1.37,1.59,2.0,2.35,2.85,3.05,3.5,4.27,4.73,5.48,6.48,6.25,6.11,5.77,5.17,5.39,5.62,5.59,5.47,5.75,6.16,6.51,6.1,6.88,6.49,6.08,5.15,7.77,9.61,6.42,8.6,10.11,11.8,11.91,11.82,12.86,10.72,10.88,9.32,7.84,8.0,8.31,6.86,6.19,6.87,7.36,7.21,6.91
