Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NY,3301667,27130,105034,26130,121073,370335,396328,467982,645594,521524,582005,38532
Statewide Total,,Cooperative,NY,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,NY,19892,863,0,0,0,5342,2508,2285,4528,2456,1824,86
Statewide Total,,Investor Owned,NY,3279646,26267,104695,26045,120907,364870,393701,465478,640734,518829,579750,38370
Statewide Total,,Municipal Owned,NY,2129,0,339,85,166,123,119,219,332,239,431,76
VILLAGE OF HAMILTON MUNICIPAL GAS UTILITY,39261,Municipal Owned,NY,213,0,0,0,0,0,0,0,0,0,191,22
"NEA CROSS OF NY, INC.",32201,Privately Owned,NY,825,0,0,0,0,0,0,0,445,263,111,6
CHAUTAUQUA UTILITIES INCORPORATED,32133,Privately Owned,NY,394,0,0,0,0,0,0,0,0,355,39,0
"VALLEY ENERGY, INC.",21030,Investor Owned,NY,1911,0,0,0,1,147,327,336,313,400,351,36
ST LAWRENCE GAS CO INC,18084,Privately Owned,NY,16482,0,0,0,0,5342,2404,2020,3683,1594,1380,59
ROCHESTER GAS & ELECTRIC CORP,17570,Investor Owned,NY,284744,61,1953,320,14919,44982,39077,49710,55351,47953,29176,1242
RESERVE GAS CO INC,17240,Privately Owned,NY,864,64,0,0,0,0,104,128,191,191,174,12
ORANGE & ROCKLAND UTILITY INC,14330,Investor Owned,NY,106326,608,89,76,1044,13812,16087,16915,18599,17636,19616,1844
NIAGARA MOHAWK POWER CORP,13480,Investor Owned,NY,570476,0,30027,4196,40576,86898,73531,88174,113324,63737,68517,1496
NEW YORK STATE ELECTRIC & GAS CORP,13420,Investor Owned,NY,247634,21025,673,391,8790,21343,14796,32560,59971,45443,40730,1912
NATIONAL FUEL GAS SUPPLY CORP,13063,Investor Owned,NY,0,0,0,0,0,0,0,0,0,0,0,0
NATIONAL FUEL GAS DISTRIBUTION CORP - NEW YORK,13062,Investor Owned,NY,461825,9,17610,4629,12399,41528,55483,69749,90011,78789,84587,7031
KEYSPAN ENERGY DELIVERY - LONG ISLAND,11713,Investor Owned,NY,578115,0,20316,7528,14376,44904,42083,48853,120396,119073,151990,8596
FILLMORE GAS CO INC,5160,Privately Owned,NY,1327,799,0,0,0,0,0,137,209,53,120,9
CORNING NATURAL GAS CORP,2800,Investor Owned,NY,14189,1514,318,0,238,661,629,1177,1755,2859,4704,334
CONSOLIDATED EDISON CO OF NEW YORK,2704,Investor Owned,NY,377490,0,25600,7155,11582,10347,46672,62129,71012,67052,71787,4154
CENTRAL HUDSON GAS & ELECTRIC CORP,2196,Investor Owned,NY,64888,3050,3172,363,2415,4035,4300,7701,8217,11222,18191,2222
KEYSPAN ENERGY DELIVERY - NY CITY,1800,Investor Owned,NY,572048,0,4937,1387,14567,96213,100716,88174,101785,64665,90101,9503
BATH ELECTRIC GAS & WATER SYSTEMS,1168,Municipal Owned,NY,1916,0,339,85,166,123,119,219,332,239,240,54
