,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,NC,5.5,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
26,Number of Rooms: 1,NC,44917,56591,48504,54325,61635,75623,72008,73615,70405,75783
27,Number of Rooms: 2,NC,61230,61324,70145,71010,70100,77252,76030,76692,76855,87608
28,Number of Rooms: 3,NC,306450,306140,296557,296656,322781,308668,313289,331973,337978,356447
29,Number of Rooms: 4,NC,773963,766769,779463,760558,769749,755782,778074,767885,802100,800152
30,Number of Rooms: 5,NC,1024445,1045832,1041523,1032512,1035644,1042382,1049774,1056098,1056982,1043591
31,Number of Rooms: 6,NC,823560,811882,823793,816518,830241,841007,845343,846404,860050,851875
32,Number of Rooms: 7,NC,530286,539820,546999,545296,533122,539929,549286,560326,566453,568680
33,Number of Rooms: 8,NC,351877,345077,342799,355060,372897,366024,367011,373032,383934,406291
34,Number of Rooms: 9+,NC,416751,429521,425617,462580,456295,484423,489882,536631,530205,557721
