Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,NC,1132,1110,999,1420,1300,1831,2315,1918,1899,2045,1780
,Statewide Total,Cooperative,NC,8,1,13,15,4,7,11,13,19,18,24
,Statewide Total,Privately Owned,NC,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,NC,858,876,761,1196,1091,1556,2013,1639,1583,1667,1397
,Statewide Total,Municipal Owned,NC,266,233,225,209,205,268,291,266,297,360,359
31406,FRONTIER NATURAL GAS COMPANY,Cooperative,NC,8,1,13,15,4,7,11,13,19,18,24
22679,"WILSON GAS DEPT, CITY OF",Municipal Owned,NC,26,26,47,47,44,69,77,71,81,90,87
19490,"TOCCOA NATURAL GAS SYSTEM, CITY OF",Municipal Owned,NC,4,8,0,4,7,2,9,5,3,6,4
18264,"SHELBY GAS DEPT, CITY OF",Municipal Owned,NC,9,21,12,7,8,14,17,17,15,18,17
17610,"ROCKY MOUNT MUNICIPAL SYSTEM, CITY OF",Municipal Owned,NC,66,78,61,56,46,57,42,35,74,84,88
15938,PUBLIC SERVICE CO OF NORTH CAROLINA,Investor Owned,NC,858,876,761,1196,1091,1556,2013,1639,1583,1667,1397
12672,"MONROE NATURAL GAS DEPT, CITY OF",Municipal Owned,NC,11,9,13,18,22,33,27,24,30,50,69
11456,"LEXINGTON GAS DEPT, CITY OF",Municipal Owned,NC,34,10,21,11,21,11,28,28,13,15,10
10270,KINGS MOUNTAIN NATURAL GAS SYSTEM,Municipal Owned,NC,5,0,19,15,14,19,11,8,6,22,14
6790,GREENVILLE UTILITIES COMMISSION,Municipal Owned,NC,111,80,52,51,43,60,70,74,72,68,66
1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",Municipal Owned,NC,0,1,0,0,0,3,10,4,3,7,4
