Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NC,33121.199,26.583333333333332,3615,7463.0,0.0,1.0,661.0,2772.0,1238.0,2621.0,4757.0,8036.0,5120.0,450.0
Statewide Total,,Cooperative,NC,445.36,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,179.0,213.0,17.0
Statewide Total,,Privately Owned,NC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Investor Owned,NC,29283.288,23.0,3119,7446.0,0.0,1.0,444.0,2529.0,968.0,2182.0,3727.0,7072.0,4514.0,396.0
Statewide Total,,Municipal Owned,NC,3392.551,29.11111111111111,496,17.0,0.0,0.0,217.0,243.0,270.0,438.0,994.0,784.0,392.0,35.0
FRONTIER NATURAL GAS COMPANY,31406,Cooperative,NC,445.36,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,179.2,213.86,17.4
"WILSON GAS DEPT, CITY OF",22679,Municipal Owned,NC,404.43,28.0,61,0.16,0.0,0.0,32.57,26.65,16.76,48.21,136.99,108.48,32.34,2.27
"TOCCOA NATURAL GAS SYSTEM, CITY OF",19490,Municipal Owned,NC,60.33,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25,5.1,0.98
"SHELBY GAS DEPT, CITY OF",18264,Municipal Owned,NC,508.301,34.0,114,0.0,0.0,0.0,85.712,28.39,0.313,108.691,204.779,49.484,30.278,0.654
"ROCKY MOUNT MUNICIPAL SYSTEM, CITY OF",17610,Municipal Owned,NC,554.1,25.0,71,1.0,0.0,0.0,2.9,65.3,24.4,69.7,138.9,131.0,117.3,4.4
PUBLIC SERVICE CO OF NORTH CAROLINA,15938,Investor Owned,NC,12262.0,27.0,2337,0.0,0.0,1.0,390.0,1845.0,672.0,1546.0,2560.0,2918.0,2171.0,159.0
PIEDMONT NATURAL GAS CO INC,15518,Investor Owned,NC,17021.288,19.0,782,7446.078,0.0,0.0,54.126,684.09,296.637,636.228,1167.909,4154.475,2343.84,237.896
"MONROE NATURAL GAS DEPT, CITY OF",12672,Municipal Owned,NC,456.45,29.0,78,0.0,0.0,0.0,11.06,53.92,92.07,50.55,61.13,117.75,53.87,16.1
"LEXINGTON GAS DEPT, CITY OF",11456,Municipal Owned,NC,485.54,28.0,74,0.0,0.0,0.0,40.08,20.28,97.16,14.03,100.91,127.25,82.22,3.61
KINGS MOUNTAIN NATURAL GAS SYSTEM,10270,Municipal Owned,NC,134.33,40.0,52,0.901,0.0,0.0,44.808,6.855,3.918,17.948,37.981,9.676,11.955,0.288
GREENVILLE UTILITIES COMMISSION,6790,Municipal Owned,NC,735.57,25.0,22,14.95,0.0,0.0,0.0,17.55,35.22,120.99,299.22,184.38,56.37,7.63
"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",1384,Municipal Owned,NC,53.5,39.0,24,0.0,0.0,0.0,0.0,24.32,0.33,8.86,15.04,2.23,2.66,0.06
