,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,ND,Adams,2.2,2.17,2.15,2.1,2.13,2.19,2.29,2.22,2.25,2.27
1,Avg household size of renter-occupied unit,ND,Adams,1.82,1.79,1.78,1.92,1.92,2.01,2.02,2.11,2.0,1.85
36,Owner-Occupied,ND,Adams,1514,1671,1699,1700,1692,1719,1776,1711,1708,1730
37,Renter-Occupied,ND,Adams,594,585,553,561,586,564,513,597,575,506
0,Avg household size of owner-occupied unit,ND,Barnes,2.43,2.45,2.41,2.42,2.36,2.27,2.27,2.21,2.18,2.21
1,Avg household size of renter-occupied unit,ND,Barnes,1.73,1.6,1.54,1.53,1.59,1.64,1.62,1.66,1.66,1.54
36,Owner-Occupied,ND,Barnes,7983,8175,8192,8259,8097,7898,7784,7571,7631,7752
37,Renter-Occupied,ND,Barnes,2662,2281,2263,2222,2373,2589,2651,2809,2632,2408
0,Avg household size of owner-occupied unit,ND,Benson,2.62,2.51,2.53,2.59,2.59,2.79,2.83,2.75,2.75,2.86
1,Avg household size of renter-occupied unit,ND,Benson,3.32,3.53,3.51,3.53,3.44,3.29,3.31,3.41,3.5,3.45
36,Owner-Occupied,ND,Benson,3757,3668,3828,3820,3928,4087,4012,3956,4100,4301
37,Renter-Occupied,ND,Benson,2905,2955,2816,2875,2809,2689,2776,2906,2773,2557
0,Avg household size of owner-occupied unit,ND,Billings,2.67,2.45,2.46,2.6,2.53,2.48,2.49,2.61,2.68,2.5
1,Avg household size of renter-occupied unit,ND,Billings,1.88,1.83,1.6,1.58,1.44,1.6,1.66,1.7,1.53,1.68
36,Owner-Occupied,ND,Billings,784,764,685,711,670,746,698,773,757,758
37,Renter-Occupied,ND,Billings,113,95,115,122,138,170,207,178,158,134
0,Avg household size of owner-occupied unit,ND,Bottineau,2.1,2.12,2.14,2.15,2.21,2.2,2.18,2.16,2.18,2.18
1,Avg household size of renter-occupied unit,ND,Bottineau,1.67,1.75,1.78,1.78,1.74,1.75,1.77,1.7,1.6,1.66
36,Owner-Occupied,ND,Bottineau,4933,5097,5078,4995,5012,4975,5018,5073,5233,5190
37,Renter-Occupied,ND,Bottineau,1106,1034,1093,1243,1268,1360,1329,1277,1061,1025
0,Avg household size of owner-occupied unit,ND,Bowman,2.31,2.45,2.38,2.4,2.5,2.41,2.32,2.3,2.33,2.34
1,Avg household size of renter-occupied unit,ND,Bowman,1.82,1.76,1.81,1.87,1.88,1.93,2.04,1.93,1.93,2.08
36,Owner-Occupied,ND,Bowman,2443,2545,2529,2507,2462,2454,2471,2439,2432,2376
37,Renter-Occupied,ND,Bowman,476,489,539,577,650,690,693,714,686,691
