,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in North Dakota, Annual (Dollars per Thousand Cubic Feet)",4.6,4.82,3.68,5.79,6.93,8.54,7.82,7.04,8.03,5.16,5.5,5.06,4.43,4.99,6.37,4.46,3.88,4.28,3.82,3.57
"North Dakota Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",6.37,7.68,5.14,7.25,9.03,11.4,10.8,9.13,10.34,8.46,8.08,8.1,7.43,7.43,8.86,8.15,7.21,7.64,7.2,7.0
"North Dakota Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",5.8,6.96,4.54,6.89,8.21,10.33,9.68,8.37,9.58,7.41,7.03,7.0,6.04,6.32,7.74,6.62,5.45,6.0,5.9,5.67
"Electricity price in the residential sector, North Dakota (Dollars per million Btu)",18.86,18.97,18.72,19.02,19.91,20.49,20.91,21.41,22.03,22.22,23.82,25.16,26.55,26.72,26.81,28.2,29.78,30.16,30.04,30.19
"Electricity price in the commercial sector, North Dakota (Dollars per million Btu)",17.01,16.64,16.31,16.52,17.19,17.91,18.46,19.3,19.96,19.96,21.14,22.29,23.51,24.59,25.75,25.89,26.81,26.94,26.66,26.41
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),6.829607647277457,6.960198483975554,5.230548349613882,8.044732989130436,9.378508533254282,11.180981015737425,9.918765119717401,8.680246932633692,9.537075222760087,6.14811120173374,6.447713182560208,5.751320140670361,4.932978448163214,5.47627180706755,6.879621527997803,4.810982101416865,4.132970729776463,4.463623621173553,3.889234096104372,3.57
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),9.457521894164653,11.09010878774528,7.30571155353678,10.073283967391305,12.22048081605861,14.925431332483216,13.698550293215849,11.25719524075932,12.280617410129429,10.080042784237877,9.472276820924815,9.206658723207497,8.273595907415956,8.15404800130499,9.568829943180617,8.791368638239339,7.680082206620694,7.967776744337836,7.330493584280492,7.0
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),8.611244424828099,10.05041108889416,6.452904757404082,9.573093315217392,11.110758305630254,13.52453558460979,12.277959892437908,10.320123128713634,11.377980153678909,8.828973644350198,8.241349758799684,7.956371736105244,6.725776484628852,6.935879322778941,8.359226158038148,7.140964464434899,5.805332597237557,6.257416291364793,6.006932242674292,5.67
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),28.001391353837576,27.393146315563534,26.607572039340177,26.42673945652174,26.944603881254366,26.82649894759483,26.52191542880957,26.398307788023768,26.164603631059123,26.47500598886118,27.924459637924393,28.597473268629706,29.56446451438676,29.323844225419826,28.954890606847894,30.419214183846545,31.721615549676045,31.453945891260357,30.584448232192496,30.19
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),25.254701321780338,24.028569040114775,23.182131408207173,22.953193260869565,23.263573114955427,23.44863817234863,23.414373927107828,23.796699687475886,23.70610478783205,23.782228602055323,24.782664850785967,25.335360856826554,26.179305489010652,26.986277301761735,27.810087024480914,27.927427490063373,28.557975583841998,28.095799148227922,27.143188744016378,26.41
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
