,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",ND,17023,15118,14102,14362,13998,15618,13042,12052,12933,14453
8,"Household Income: $100,000 to $124,999",ND,21510,24309,25261,26449,27200,30483,33549,30131,35916,35067
9,"Household Income: $125,000 to $149,999",ND,9348,10874,12097,13610,16337,19456,18175,18805,19893,21819
10,"Household Income: $15,000 to $19,999",ND,14622,13701,12133,11768,13099,12933,14280,13328,13222,11616
11,"Household Income: $150,000 to $199,999",ND,7051,8394,11222,13479,15027,18496,15300,17844,20234,18358
12,"Household Income: $20,000 to $24,999",ND,17323,18020,16272,16158,13287,14698,14087,15073,12498,13643
13,"Household Income: $200,000 or more",ND,6102,9275,12729,12478,15849,15865,15157,16305,16211,21175
14,"Household Income: $25,000 to $29,999",ND,14757,13302,14474,15376,15291,13075,14895,14433,13048,13292
15,"Household Income: $30,000 to $34,999",ND,17060,15624,15875,16175,15161,16325,13485,15008,13015,15401
16,"Household Income: $35,000 to $39,999",ND,14519,14409,16250,12942,13076,15446,12481,12702,13109,12756
17,"Household Income: $40,000 to $44,999",ND,14241,14013,14503,15791,14805,14984,13526,13878,13518,13584
18,"Household Income: $45,000 to $49,999",ND,12082,11745,13063,11841,13662,13002,13927,11446,15369,12172
19,"Household Income: $50,000 to $59,999",ND,23370,23417,24251,23246,23065,21822,26821,23336,24677,27485
20,"Household Income: $60,000 to $74,999",ND,32260,31504,31200,30574,34649,31842,34340,34546,33698,32565
21,"Household Income: $75,000 to $99,999",ND,37583,37889,38393,43860,41806,42072,42836,47485,43633,42595
22,"Household Income: Less than $10,000",ND,21561,21846,19119,20189,19119,17358,19233,19934,18381,17538
23,Household Income: Total:,ND,280412,283440,290944,298298,305431,313475,315134,316306,319355,323519
24,Median Household Income,ND,48670.0,51704.0,53585.0,55759.0,59029.0,60557.0,60656.0,61843.0,63837.0,64577.0
