,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, North Dakota (Million cubic feet)",9644,8958,10932,9685,9974,10353,9351,8063,9147,9824,9183,10338,9693,10717,10661,11209,12591,11370,10092,10573,10963,10570,11725,11876,11132,10692,9644,10698,11500,11518,10536,10937,9594,12085,12505,10552,10059,11015,12681,13124,
"Natural gas consumed by (delivered to) the commercial sector, North Dakota (Million cubic feet)",11026,9419,11361,9828,9961,10118,9084,7908,9827,10609,10236,10732,9759,10642,10783,11644,12150,10870,10082,10023,11060,10456,11675,10952,10473,9903,9355,10296,11101,10987,10302,10973,10364,13236,13999,12317,11810,12957,14454,15455,
"Natural gas consumed by the industrial sector, North Dakota (Million cubic feet)",1992,15874,5578,5944,9728,6919,6726,7892,7915,7913,11298,16706,14402,14352,17152,17847,19513,29152,28915,26267,23885,26161,29028,23886,24248,19145,21310,25139,29010,23187,31809,36976,37162,41005,43042,54005,54744,59582,68734,75681,
"Natural gas consumed by the electric power sector, North Dakota (Million cubic feet)",15,20,17,11,10,2,2,3,2,1,2,1,1,1,3,1,3,1,0,0,0,3,1,0,3,1,2,2,1,1,2,0,1,337,1888,6546,11320,7223,9873,14877,
"Total energy consumption per capita in the residential sector, North Dakota (Million Btu)",76.6,76.8,81.3,75.4,74.6,79.7,78.2,71.8,80.4,85.2,81.6,87.5,81.8,85,83.6,87.8,95.3,93.5,85.8,89.2,93.3,95.5,98.5,100.9,99.1,95.5,92.8,98.2,105.5,103.1,97.3,99.5,91.4,101.7,106.1,92.6,89.7,91.3,99.5,103.3,
"Electricity consumed by (i.e., sold to) the residential sector, North Dakota (Million kilowatthours)",2456,2651,2900,2702,2953,3012,2954,2788,3050,3060,2954,3096,3020,3209,3243,3384,3602,3437,3272,3307,3390,3480,3664,3707,3663,3796,3853,4067,4259,4449,4393,4552,4485,5039,5358,4863,4741,4848,5133,5125,
"Electricity consumed by (i.e., sold to) the residential sector per capita, North Dakota (Kilowatthours)",3753,4019,4335,3992,4340,4449,4412,4217,4654,4735,4632,4870,4732,5005,5029,5223,5538,5290,5053,5133,5280,5445,5741,5804,5681,5875,5933,6230,6477,6691,6510,6640,6386,6968,7252,6436,6271,6407,6754,6711,
"Distillate fuel oil consumed by the residential sector, North Dakota (Billion Btu)",6835,6206,5314,5332,6549,6768,6475,5741,5921,6196,5716,5241,3710,4392,3884,4172,4760,3503,3094,2821,3282,2861,2470,3009,3384,2677,2679,2716,3874,1845,1473,1114,806,987,891,742,759,786,741,818,
"Propane consumed by the residential sector, North Dakota (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5794,6358,5130,5739,6437,5464,5193,5192,6362,8217,
"Distillate fuel oil consumed by the commercial sector, North Dakota (Billion Btu)",3739,2284,1225,2461,3023,2926,1923,1552,945,1261,1021,928,910,837,1019,861,1213,1497,1566,1361,1348,1522,824,1068,1047,821,867,926,1321,1142,2431,6105,5187,6484,6964,1763,1255,1879,1816,1336,
"Electricity consumed by (i.e., sold to) the commercial sector, North Dakota (Million kilowatthours)",1145,1243,1347,1264,1950,2026,2005,1970,1987,1989,2300,2397,2273,2318,2427,2728,2877,2769,2761,2793,2992,3577,3920,3800,3843,3994,4127,4215,4460,4558,4714,4866,5109,5685,5403,6279,6346,6530,6836,7035,
"Total energy consumption per capita in the commercial sector, North Dakota (Million Btu)",51,44.3,48.9,46.6,51.9,55.4,51.6,47.4,51.3,55,60.7,63.5,58.5,60.1,62.2,68.3,72.9,71.9,70.1,71.1,76,87.1,94.2,91.4,92.1,92.3,90.3,96.3,100,98.3,98.2,106.7,104.9,118.4,112.1,113.7,112.8,116.2,121.8,127.3,
