,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,OH,All Sectors,Ammonia,CAP,7182.7007865373835,TON
1,OH,All Sectors,Carbon Monoxide,CAP,14824.434252757515,TON
2,OH,All Sectors,Nitrogen Oxides,CAP,7884.722977797899,TON
3,OH,All Sectors,PM10 Primary (Filt + Cond),CAP,12628.951579255805,TON
4,OH,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1456.9403186904374,TON
5,OH,All Sectors,Sulfur Dioxide,CAP,2341.6512058960398,TON
6,OH,All Sectors,Volatile Organic Compounds,CAP,25417.37653873741,TON
7,OH,All Sectors,Carbon Dioxide,GHG,1323326.8209746582,TON
8,OH,All Sectors,Methane,GHG,120.44491018741999,TON
9,OH,All Sectors,Nitrous Oxide,GHG,9.871512328699998,TON
10,OH,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,3073.846583594,TON
11,OH,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,194.50269992,TON
12,OH,Agriculture - Fertilizer Application,Ammonia,CAP,768.3,TON
13,OH,Agriculture - Livestock Waste,Ammonia,CAP,5784.678268850001,TON
14,OH,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,188.963808387,TON
15,OH,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,737.7538,TON
16,OH,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,816.8603,TON
17,OH,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,10324.1394,TON
18,OH,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,191.69489575,TON
19,OH,Commercial Cooking,Carbon Monoxide,CAP,29.49504453,TON
20,OH,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,10.4990444,TON
21,OH,Commercial Cooking,Volatile Organic Compounds,CAP,0.5644083879999999,TON
22,OH,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,1902.4604849999998,TON
23,OH,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,10.1526562,TON
24,OH,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,2134.4915,TON
25,OH,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,101.10036,TON
26,OH,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,2558.7958,TON
27,OH,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,107.43814,TON
28,OH,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,0.261,TON
29,OH,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.0258,TON
30,OH,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,0.603,TON
31,OH,Fires - Prescribed Fires,Ammonia,CAP,5.320632,TON
32,OH,Fires - Prescribed Fires,Carbon Monoxide,CAP,491.9402390000001,TON
33,OH,Fires - Prescribed Fires,Nitrogen Oxides,CAP,17.454964999999998,TON
34,OH,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,97.011274,TON
35,OH,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,99.562995,TON
36,OH,Fires - Prescribed Fires,Sulfur Dioxide,CAP,4.59944,TON
37,OH,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,130.157584,TON
38,OH,Fires - Prescribed Fires,Carbon Dioxide,GHG,8515.84379,TON
39,OH,Fires - Prescribed Fires,Methane,GHG,9.350794,TON
40,OH,Fires - Wildfires,Ammonia,CAP,4.026539,TON
41,OH,Fires - Wildfires,Nitrogen Oxides,CAP,1.454001,TON
42,OH,Fires - Wildfires,PM10 Primary (Filt + Cond),CAP,16.649531,TON
43,OH,Fires - Wildfires,Volatile Organic Compounds,CAP,14.67636,TON
44,OH,Fires - Wildfires,Methane,GHG,2.569295,TON
45,OH,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.19824122,TON
46,OH,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,25.7464342,TON
47,OH,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.1237029,TON
48,OH,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,127.84771640000001,TON
49,OH,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,3.711583664,TON
50,OH,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.02959598,TON
51,OH,Fuel Comb - Comm/Institutional - Biomass,Carbon Dioxide,GHG,1933.55,TON
52,OH,Fuel Comb - Comm/Institutional - Biomass,Methane,GHG,0.18685,TON
53,OH,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
54,OH,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
55,OH,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
56,OH,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
57,OH,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
58,OH,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
59,OH,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
60,OH,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.09005977,TON
61,OH,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,484.1788725,TON
62,OH,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.40121454,TON
63,OH,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.034883397,TON
64,OH,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.02764021,TON
65,OH,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,1.45720465,TON
66,OH,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.016941892739999898,TON
67,OH,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.5869829799999999,TON
68,OH,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,2.869728813,TON
69,OH,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.156401507,TON
70,OH,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.199914158,TON
71,OH,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0687375476,TON
72,OH,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.04097557559,TON
73,OH,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,2.5359091999999994,TON
74,OH,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,5.165601199999999,TON
75,OH,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0077609309999999996,TON
76,OH,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.0154793375,TON
77,OH,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0121281379999999,TON
78,OH,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.04102255,TON
79,OH,Fuel Comb - Electric Generation - Biomass,Nitrogen Oxides,CAP,60.1,TON
