,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,OH,Sandusky,2.57,2.51,2.51,2.51,2.52,2.54,2.52,2.52,2.52,2.52
1,Avg household size of renter-occupied unit,OH,Sandusky,2.31,2.26,2.31,2.33,2.36,2.35,2.34,2.31,2.31,2.25
2,FIPS Code,OH,Sandusky,39143,39143,39143,39143,39143,39143,39143,39143,39143,39143
3,House Heating Fuel: Electric,OH,Sandusky,4260,4239,4327,4428,4550,4482,4618,4592,4481,4432
4,House Heating Fuel: Fuel Oil,OH,Sandusky,490,380,330,348,285,237,196,248,190,194
5,House Heating Fuel: Gas,OH,Sandusky,14582,14738,14411,14325,14134,14286,14362,14475,14459,14492
6,House Heating Fuel: Propane,OH,Sandusky,4058,3932,4034,3991,3754,3450,3190,2903,2952,3107
7,House Heating Fuel: Wood,OH,Sandusky,547,549,601,539,546,513,544,582,602,617
26,Median Number of Rooms,OH,Sandusky,6.0,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.2
27,Number of Rooms: 1,OH,Sandusky,189,232,236,291,258,288,286,389,373,378
28,Number of Rooms: 2,OH,Sandusky,273,225,295,234,272,155,196,188,309,320
29,Number of Rooms: 3,OH,Sandusky,1503,1405,1357,1363,1209,1209,1149,1188,1168,943
30,Number of Rooms: 4,OH,Sandusky,2923,2970,3003,2832,2984,3057,3009,3201,3327,3366
31,Number of Rooms: 5,OH,Sandusky,5490,5204,5124,4992,4810,4798,4669,4487,4428,4301
32,Number of Rooms: 6,OH,Sandusky,5896,5930,6059,6181,6074,6158,6211,5999,5682,5670
33,Number of Rooms: 7,OH,Sandusky,4644,4502,4421,4522,4673,4559,4753,4646,4479,4760
34,Number of Rooms: 8,OH,Sandusky,2858,2835,2738,2758,2631,2614,2616,2919,3041,3278
35,Number of Rooms: 9+,OH,Sandusky,2609,3090,3131,3132,3382,3419,3340,3315,3529,3302
36,Owner-Occupied,OH,Sandusky,46926,45544,45467,45395,44549,44577,43968,42629,42390,43230
37,Renter-Occupied,OH,Sandusky,13526,13298,13388,13514,14485,14336,14631,15640,15601,14468
38,Total Housing Units,OH,Sandusky,26385,26393,26364,26305,26293,26257,26229,26332,26336,26318
39,Total Population,OH,Sandusky,61284,61088,60842,60619,60498,60187,59870,59559,59299,59029
40,Units in Structure: 1 ATTACHED,OH,Sandusky,524,554,492,534,490,483,402,394,433,542
41,Units in Structure: 1 DETACHED,OH,Sandusky,20442,20397,20436,20461,20637,20751,20786,20445,20105,19875
42,Units in Structure: 10-19,OH,Sandusky,400,372,308,339,380,256,255,362,327,347
43,Units in Structure: 2,OH,Sandusky,1450,1347,1295,1144,1097,1083,1068,1262,1489,1575
44,Units in Structure: 20-49,OH,Sandusky,280,393,382,387,390,380,331,286,316,301
45,Units in Structure: 3-4,OH,Sandusky,1107,1188,1174,1164,1139,1120,1165,1271,1313,1310
46,Units in Structure: 5-9,OH,Sandusky,548,483,544,534,536,623,661,809,889,883
47,Units in Structure: 50+,OH,Sandusky,244,210,238,218,207,196,211,189,174,154
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Sandusky,9,9,8,10,0,0,0,18,15,16
49,Units in Structure: Mobile Home,OH,Sandusky,1381,1440,1487,1514,1417,1365,1350,1296,1275,1315
50,Year Built: 1940-1949,OH,Sandusky,1741,1874,1613,1692,1725,3753,3719,3717,3653,3834
51,Year Built: 1950-1959,OH,Sandusky,3797,3924,4052,3950,3867,2445,2387,2338,2318,2563
52,Year Built: 1960-1969,OH,Sandusky,2682,2651,2739,2888,2639,2987,3042,3094,2982,2976
53,Year Built: 1970-1979,OH,Sandusky,3215,3104,3085,3125,3038,2270,2164,2100,2131,1959
54,Year Built: 1980-1989,OH,Sandusky,1842,1806,1861,1958,2107,2390,2555,2656,2578,2583
55,Year Built: 1990-1999,OH,Sandusky,2369,2363,2479,2459,2389,2361,2311,2218,2180,1981
56,Year Built: 2000-2009,OH,Sandusky,1472,1508,2111,2102,2191,58,68,74,109,122
57,Year Built: 2010-2013,OH,Sandusky,447,488,15,16,45,0,0,0,31,92
58,Year Built: before 1940,OH,Sandusky,8820,8675,8409,8115,8292,1589,1400,1352,1427,1285
0,Avg household size of owner-occupied unit,OH,Scioto,2.61,2.65,2.64,2.63,2.6,2.58,2.57,2.54,2.51,2.5
1,Avg household size of renter-occupied unit,OH,Scioto,2.29,2.33,2.38,2.4,2.38,2.33,2.28,2.19,2.22,2.28
2,FIPS Code,OH,Scioto,39145,39145,39145,39145,39145,39145,39145,39145,39145,39145
3,House Heating Fuel: Electric,OH,Scioto,11437,11559,11460,11686,12166,12142,12135,12241,11801,11765
4,House Heating Fuel: Fuel Oil,OH,Scioto,1174,959,994,927,817,838,810,667,646,535
5,House Heating Fuel: Gas,OH,Scioto,11515,11301,11151,10971,10932,11080,10971,11440,11468,11417
6,House Heating Fuel: Propane,OH,Scioto,4725,4629,4536,4388,4358,4427,4619,4612,4888,4862
7,House Heating Fuel: Wood,OH,Scioto,981,1085,1220,1254,1055,954,962,929,925,929
26,Median Number of Rooms,OH,Scioto,5.5,5.5,5.6,5.6,5.7,5.6,5.7,5.7,5.7,5.6
27,Number of Rooms: 1,OH,Scioto,571,493,579,477,378,329,347,345,401,443
28,Number of Rooms: 2,OH,Scioto,574,531,449,391,389,333,308,451,454,462
29,Number of Rooms: 3,OH,Scioto,1979,1938,1943,1872,1973,2261,2201,2335,2260,2270
30,Number of Rooms: 4,OH,Scioto,6083,6042,5565,5227,5626,5303,4981,5358,5216,5363
31,Number of Rooms: 5,OH,Scioto,8243,7812,7693,7992,7572,7725,7741,7511,7596,7853
32,Number of Rooms: 6,OH,Scioto,7752,7767,7817,7805,7410,7612,7888,7668,7741,7621
33,Number of Rooms: 7,OH,Scioto,4038,4298,4299,4578,4870,4889,4817,5082,4859,4605
34,Number of Rooms: 8,OH,Scioto,2931,2879,3009,2866,2756,2447,2548,2518,2830,2934
35,Number of Rooms: 9+,OH,Scioto,2179,2460,2833,2830,3126,3185,3215,3064,3068,3012
