,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,OH,Sandusky,524,554,492,534,490,483,402,394,433,542
41,Units in Structure: 1 DETACHED,OH,Sandusky,20442,20397,20436,20461,20637,20751,20786,20445,20105,19875
42,Units in Structure: 10-19,OH,Sandusky,400,372,308,339,380,256,255,362,327,347
43,Units in Structure: 2,OH,Sandusky,1450,1347,1295,1144,1097,1083,1068,1262,1489,1575
44,Units in Structure: 20-49,OH,Sandusky,280,393,382,387,390,380,331,286,316,301
45,Units in Structure: 3-4,OH,Sandusky,1107,1188,1174,1164,1139,1120,1165,1271,1313,1310
46,Units in Structure: 5-9,OH,Sandusky,548,483,544,534,536,623,661,809,889,883
47,Units in Structure: 50+,OH,Sandusky,244,210,238,218,207,196,211,189,174,154
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Sandusky,9,9,8,10,0,0,0,18,15,16
49,Units in Structure: Mobile Home,OH,Sandusky,1381,1440,1487,1514,1417,1365,1350,1296,1275,1315
40,Units in Structure: 1 ATTACHED,OH,Scioto,271,426,466,520,571,590,481,502,342,418
41,Units in Structure: 1 DETACHED,OH,Scioto,23981,23731,23694,24092,24144,23963,24299,24851,25036,25038
42,Units in Structure: 10-19,OH,Scioto,633,749,624,523,498,501,409,513,526,563
43,Units in Structure: 2,OH,Scioto,1336,1228,1171,1036,1132,1091,1081,994,1026,959
44,Units in Structure: 20-49,OH,Scioto,589,453,440,283,288,280,322,374,435,482
45,Units in Structure: 3-4,OH,Scioto,808,727,611,489,495,542,597,581,664,690
46,Units in Structure: 5-9,OH,Scioto,946,939,941,928,936,1001,983,971,810,824
47,Units in Structure: 50+,OH,Scioto,719,800,765,761,764,709,801,735,793,691
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Scioto,9,10,10,9,12,43,62,77,90,83
49,Units in Structure: Mobile Home,OH,Scioto,5058,5157,5465,5397,5260,5364,5011,4734,4703,4815
40,Units in Structure: 1 ATTACHED,OH,Seneca,611,591,552,485,464,462,567,598,609,625
41,Units in Structure: 1 DETACHED,OH,Seneca,19065,18861,18943,18928,18925,18846,18771,18787,18881,19034
42,Units in Structure: 10-19,OH,Seneca,194,297,333,253,333,353,352,324,318,243
43,Units in Structure: 2,OH,Seneca,1357,1352,1245,1374,1178,1283,1254,1227,1146,1189
44,Units in Structure: 20-49,OH,Seneca,344,326,317,301,307,252,292,382,364,408
45,Units in Structure: 3-4,OH,Seneca,483,561,681,663,734,719,734,747,803,776
46,Units in Structure: 5-9,OH,Seneca,584,541,485,596,672,734,713,696,653,556
47,Units in Structure: 50+,OH,Seneca,222,226,220,218,229,202,186,210,224,220
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Seneca,3,8,10,12,23,20,10,10,8,0
49,Units in Structure: Mobile Home,OH,Seneca,1353,1386,1305,1205,1163,1088,1092,1124,1108,1081
40,Units in Structure: 1 ATTACHED,OH,Shelby,612,674,671,697,696,544,556,599,606,561
41,Units in Structure: 1 DETACHED,OH,Shelby,15424,15493,15291,15101,15071,14879,15140,15323,15516,15728
42,Units in Structure: 10-19,OH,Shelby,338,328,327,395,503,566,469,498,518,471
43,Units in Structure: 2,OH,Shelby,1139,1153,1253,1420,1371,1680,1618,1569,1494,1422
44,Units in Structure: 20-49,OH,Shelby,78,67,110,107,154,185,222,172,166,149
45,Units in Structure: 3-4,OH,Shelby,627,683,737,753,845,859,799,753,606,545
46,Units in Structure: 5-9,OH,Shelby,667,510,560,529,400,368,433,418,467,491
47,Units in Structure: 50+,OH,Shelby,189,227,152,97,92,102,110,115,219,279
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Shelby,0,0,0,0,2,3,3,4,3,0
49,Units in Structure: Mobile Home,OH,Shelby,975,994,1069,1090,1076,1015,977,948,826,802
40,Units in Structure: 1 ATTACHED,OH,Stark,7724,7844,7977,7174,6428,5856,5629,5105,5171,5273
41,Units in Structure: 1 DETACHED,OH,Stark,122903,122947,122157,122888,122661,122718,123235,124692,124909,125551
42,Units in Structure: 10-19,OH,Stark,4083,4473,4594,4492,4589,4763,4711,4641,4555,4189
43,Units in Structure: 2,OH,Stark,8981,8708,9136,9242,10317,10690,10766,10601,10537,10128
44,Units in Structure: 20-49,OH,Stark,2050,1973,1992,2061,1960,2111,2105,2118,2139,2148
45,Units in Structure: 3-4,OH,Stark,5925,6051,6151,6067,5819,5671,5436,5339,5745,6065
46,Units in Structure: 5-9,OH,Stark,6810,6534,6556,6558,6565,6676,6721,6906,6488,6356
47,Units in Structure: 50+,OH,Stark,2671,2834,2740,2837,3039,3185,3391,3397,3693,3774
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Stark,62,12,12,17,16,5,5,5,0,0
49,Units in Structure: Mobile Home,OH,Stark,3615,3705,3811,3700,3884,3787,3525,3403,3265,3241
40,Units in Structure: 1 ATTACHED,OH,Summit,13324,13579,13809,13943,13223,12958,13063,13000,12996,13259
41,Units in Structure: 1 DETACHED,OH,Summit,173745,173924,173912,173303,172756,173289,173330,172761,172917,173408
42,Units in Structure: 10-19,OH,Summit,8664,8704,9040,9109,9515,9570,9161,9340,9384,8969
43,Units in Structure: 2,OH,Summit,10921,10469,10327,10453,11043,11095,11366,11666,11423,10942
44,Units in Structure: 20-49,OH,Summit,4650,4496,4530,4545,4748,4934,4897,5287,5780,5761
45,Units in Structure: 3-4,OH,Summit,8453,8948,9263,9394,9557,9266,9249,9174,8960,8901
46,Units in Structure: 5-9,OH,Summit,11373,11173,10919,10926,10943,11193,11236,11315,10841,11114
47,Units in Structure: 50+,OH,Summit,10843,11149,10811,11009,11054,10740,10707,10936,11039,11461
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Summit,12,13,13,0,9,8,23,40,38,39
49,Units in Structure: Mobile Home,OH,Summit,2329,2362,2305,2228,2330,2184,2132,2212,2414,2135
40,Units in Structure: 1 ATTACHED,OH,Trumbull,2964,2952,2934,2858,2653,2599,2464,2490,2505,2358
41,Units in Structure: 1 DETACHED,OH,Trumbull,72097,72480,72903,72720,72524,72079,71795,72402,72517,72484
42,Units in Structure: 10-19,OH,Trumbull,2050,1943,1966,1905,1780,1914,2096,1857,2026,2197
43,Units in Structure: 2,OH,Trumbull,4383,4181,3971,3953,4147,4095,4331,4260,4391,4255
44,Units in Structure: 20-49,OH,Trumbull,1069,1020,947,941,1079,963,1051,1260,1296,1204
45,Units in Structure: 3-4,OH,Trumbull,3251,3282,3296,3215,3331,3451,3208,3225,3049,2741
46,Units in Structure: 5-9,OH,Trumbull,3587,3748,3698,3962,3978,4237,4163,4015,3746,3541
47,Units in Structure: 50+,OH,Trumbull,2145,2216,2078,1860,1875,2023,1959,1999,1912,2239
48,"Units in Structure: Boat,RV,Van,Etc.",OH,Trumbull,0,0,0,17,14,13,13,19,7,8
49,Units in Structure: Mobile Home,OH,Trumbull,4817,4440,4360,4415,4418,4295,4386,4250,4258,4660
40,Units in Structure: 1 ATTACHED,OH,Tuscarawas,899,836,825,770,790,711,718,712,680,617
41,Units in Structure: 1 DETACHED,OH,Tuscarawas,29352,29350,29575,29821,30236,30378,30225,30434,30371,30392
42,Units in Structure: 10-19,OH,Tuscarawas,326,325,287,321,319,332,406,445,376,355
43,Units in Structure: 2,OH,Tuscarawas,2423,2480,2410,2408,2306,2324,2276,2063,2321,2115
44,Units in Structure: 20-49,OH,Tuscarawas,429,468,395,402,355,284,257,281,276,283
45,Units in Structure: 3-4,OH,Tuscarawas,1440,1623,1763,1645,1658,1887,1717,1763,1572,1799
46,Units in Structure: 5-9,OH,Tuscarawas,671,655,534,547,654,601,627,752,689,713
