,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,OH,Sandusky,1741,1874,1613,1692,1725,3753,3719,3717,3653,3834
51,Year Built: 1950-1959,OH,Sandusky,3797,3924,4052,3950,3867,2445,2387,2338,2318,2563
52,Year Built: 1960-1969,OH,Sandusky,2682,2651,2739,2888,2639,2987,3042,3094,2982,2976
53,Year Built: 1970-1979,OH,Sandusky,3215,3104,3085,3125,3038,2270,2164,2100,2131,1959
54,Year Built: 1980-1989,OH,Sandusky,1842,1806,1861,1958,2107,2390,2555,2656,2578,2583
55,Year Built: 1990-1999,OH,Sandusky,2369,2363,2479,2459,2389,2361,2311,2218,2180,1981
56,Year Built: 2000-2009,OH,Sandusky,1472,1508,2111,2102,2191,58,68,74,109,122
57,Year Built: 2010-2013,OH,Sandusky,447,488,15,16,45,0,0,0,31,92
58,Year Built: before 1940,OH,Sandusky,8820,8675,8409,8115,8292,1589,1400,1352,1427,1285
50,Year Built: 1940-1949,OH,Scioto,2881,3202,3094,2870,2612,4328,4558,4675,4906,4486
51,Year Built: 1950-1959,OH,Scioto,5110,4716,4286,4493,4540,3114,3168,3198,3346,3748
52,Year Built: 1960-1969,OH,Scioto,3537,3055,3121,3140,3293,5026,4888,5079,5072,5347
53,Year Built: 1970-1979,OH,Scioto,4946,5021,4855,5036,4986,3210,3358,3217,3320,3416
54,Year Built: 1980-1989,OH,Scioto,3591,3417,3265,3079,3300,4096,4090,4248,4039,4021
55,Year Built: 1990-1999,OH,Scioto,4459,4414,4355,4179,4045,2640,2215,2181,2243,2321
56,Year Built: 2000-2009,OH,Scioto,1899,1947,2815,2698,2643,225,401,572,571,632
57,Year Built: 2010-2013,OH,Scioto,472,742,28,83,154,13,29,99,198,307
58,Year Built: before 1940,OH,Scioto,7455,7706,8368,8460,8527,2584,2309,2588,2548,2621
50,Year Built: 1940-1949,OH,Seneca,1579,1428,1618,1382,1365,3112,2965,3050,3089,2927
51,Year Built: 1950-1959,OH,Seneca,3032,3229,2989,2821,3006,2197,2013,2239,2277,2382
52,Year Built: 1960-1969,OH,Seneca,2397,2422,2464,2403,2349,3180,3215,3289,3326,3275
53,Year Built: 1970-1979,OH,Seneca,3057,3047,3071,3102,3175,1519,1616,1677,1633,1795
54,Year Built: 1980-1989,OH,Seneca,1344,1553,1674,1714,1521,2240,2083,2186,2176,1948
55,Year Built: 1990-1999,OH,Seneca,1870,1973,2039,2170,2388,1392,1559,1570,1534,1508
56,Year Built: 2000-2009,OH,Seneca,894,952,1271,1365,1332,47,37,39,60,120
57,Year Built: 2010-2013,OH,Seneca,266,264,27,27,35,17,33,36,67,146
58,Year Built: before 1940,OH,Seneca,9777,9281,8938,9051,8857,1390,1550,1487,1488,1230
50,Year Built: 1940-1949,OH,Shelby,949,1110,1092,1004,1014,2104,2130,1953,1958,1705
51,Year Built: 1950-1959,OH,Shelby,1920,1916,1874,1981,2248,2389,2267,1984,1987,2089
52,Year Built: 1960-1969,OH,Shelby,2187,1922,2050,2266,2373,3470,3606,3589,3659,3547
53,Year Built: 1970-1979,OH,Shelby,3227,3442,3525,3461,3478,2348,2337,2303,2412,2287
54,Year Built: 1980-1989,OH,Shelby,2132,2030,2139,2141,1920,2821,2965,3268,2974,2976
55,Year Built: 1990-1999,OH,Shelby,2791,2698,2626,2758,2980,2038,2036,2038,2073,2052
56,Year Built: 2000-2009,OH,Shelby,986,1012,1697,1796,2033,193,228,223,233,245
57,Year Built: 2010-2013,OH,Shelby,409,593,50,104,140,6,43,127,293,363
58,Year Built: before 1940,OH,Shelby,5448,5406,5117,4678,4024,1064,1018,1133,1061,942
50,Year Built: 1940-1949,OH,Stark,14223,14464,14242,14281,13982,25322,25673,25897,26022,26356
51,Year Built: 1950-1959,OH,Stark,26283,26204,26224,26450,25135,21660,21122,21217,21037,20698
52,Year Built: 1960-1969,OH,Stark,21355,21503,21161,20951,21616,27586,27883,27762,27685,27765
53,Year Built: 1970-1979,OH,Stark,25882,25563,26042,25913,26983,12477,12433,12563,12295,12482
54,Year Built: 1980-1989,OH,Stark,12009,12873,13051,12914,12734,15251,15261,15120,15174,15107
55,Year Built: 1990-1999,OH,Stark,15122,14823,15205,15144,15323,12804,13085,13030,13302,12593
56,Year Built: 2000-2009,OH,Stark,8831,9113,12709,12889,13243,1252,1533,1775,1890,1944
57,Year Built: 2010-2013,OH,Stark,3269,3926,267,503,798,79,212,649,1071,1699
58,Year Built: before 1940,OH,Stark,37850,36612,36225,35991,35464,13915,13441,13230,12682,12628
50,Year Built: 1940-1949,OH,Summit,20128,20245,19670,19552,19094,42670,42112,41337,41074,41535
51,Year Built: 1950-1959,OH,Summit,41815,42063,42491,42627,43106,33158,32163,32672,31974,32018
52,Year Built: 1960-1969,OH,Summit,31997,32744,32287,32856,32282,32059,31692,31878,32668,31867
53,Year Built: 1970-1979,OH,Summit,31537,32238,32329,31272,31708,20190,20412,20078,20453,20161
54,Year Built: 1980-1989,OH,Summit,19882,19975,20094,19881,20254,27933,28717,29026,28451,28618
55,Year Built: 1990-1999,OH,Summit,27875,27191,27522,28546,28150,19732,19369,20162,19643,19644
56,Year Built: 2000-2009,OH,Summit,14043,13722,19708,20276,20340,1217,1821,2429,3056,3434
57,Year Built: 2010-2013,OH,Summit,5147,6102,213,516,803,66,223,526,1338,2310
58,Year Built: before 1940,OH,Summit,51890,50537,50615,49384,49441,18961,18853,18167,18143,17881
50,Year Built: 1940-1949,OH,Trumbull,9055,9172,9185,9213,8947,17374,17481,17678,17593,18362
51,Year Built: 1950-1959,OH,Trumbull,18172,18046,18008,17701,17494,15080,15304,15642,14738,14046
52,Year Built: 1960-1969,OH,Trumbull,14071,13889,14166,14458,14510,17211,16667,16736,16696,16852
53,Year Built: 1970-1979,OH,Trumbull,16621,16932,16615,16545,16697,6633,6500,6299,6802,6958
54,Year Built: 1980-1989,OH,Trumbull,6507,6465,6532,6476,6589,7851,8537,8298,8330,8143
55,Year Built: 1990-1999,OH,Trumbull,7914,7720,7821,7951,7849,4974,4716,4817,5402,5324
56,Year Built: 2000-2009,OH,Trumbull,3720,3789,5119,4976,5218,431,597,715,662,743
57,Year Built: 2010-2013,OH,Trumbull,1040,1281,47,179,270,38,61,176,380,620
58,Year Built: before 1940,OH,Trumbull,19263,18968,18660,18347,18225,8525,8431,8223,8405,8039
50,Year Built: 1940-1949,OH,Tuscarawas,1813,1857,1862,1805,1912,4528,4358,4434,4478,4340
51,Year Built: 1950-1959,OH,Tuscarawas,4223,4307,4262,4143,4432,3765,3480,3532,3698,3958
52,Year Built: 1960-1969,OH,Tuscarawas,3457,3578,3637,3614,3578,5028,5410,5389,5327,5308
53,Year Built: 1970-1979,OH,Tuscarawas,5306,5465,5386,5233,5279,3820,3810,3664,3544,3319
54,Year Built: 1980-1989,OH,Tuscarawas,3528,3498,3606,3733,3702,4718,4722,4962,5341,5163
55,Year Built: 1990-1999,OH,Tuscarawas,5391,5128,5058,5091,4887,4336,4570,4448,4362,4375
56,Year Built: 2000-2009,OH,Tuscarawas,2674,2845,4049,4155,4264,256,351,375,431,525
57,Year Built: 2010-2013,OH,Tuscarawas,906,1072,47,62,158,0,47,226,318,483
58,Year Built: before 1940,OH,Tuscarawas,12744,12389,12216,12207,11850,1891,1760,1779,1747,1619
50,Year Built: 1940-1949,OH,Union,689,713,665,677,631,1100,1065,1053,949,881
51,Year Built: 1950-1959,OH,Union,1051,955,1026,1108,1111,1452,1499,1487,1426,1330
52,Year Built: 1960-1969,OH,Union,1262,1223,1134,1370,1546,2457,2417,2313,2331,2486
53,Year Built: 1970-1979,OH,Union,2545,2571,2528,2470,2316,1506,1589,1620,1561,1828
54,Year Built: 1980-1989,OH,Union,1606,1571,1572,1622,1503,4675,4624,4590,4437,4331
55,Year Built: 1990-1999,OH,Union,4036,4246,4578,4674,4675,4477,4499,4615,4671,4493
56,Year Built: 2000-2009,OH,Union,3148,3258,4477,4305,4384,269,402,454,632,714
57,Year Built: 2010-2013,OH,Union,1080,1305,42,82,227,102,210,455,806,1292
58,Year Built: before 1940,OH,Union,3712,3461,3410,3206,3257,618,588,654,609,611
50,Year Built: 1940-1949,OH,Van Wert,1055,1084,1190,1166,1137,1682,1646,1768,1677,1659
51,Year Built: 1950-1959,OH,Van Wert,1467,1502,1352,1602,1520,1394,1345,1114,1162,1304
52,Year Built: 1960-1969,OH,Van Wert,1282,1240,1421,1411,1384,1616,1567,1560,1660,1620
53,Year Built: 1970-1979,OH,Van Wert,1745,1714,1747,1636,1599,915,942,1000,1021,940
54,Year Built: 1980-1989,OH,Van Wert,769,777,744,734,897,1162,1308,1224,1162,1173
55,Year Built: 1990-1999,OH,Van Wert,802,840,1016,1158,1172,731,871,905,898,877
56,Year Built: 2000-2009,OH,Van Wert,488,455,534,626,746,57,72,113,112,160
57,Year Built: 2010-2013,OH,Van Wert,150,138,13,30,53,4,6,42,43,104
58,Year Built: before 1940,OH,Van Wert,4893,4872,4610,4261,4154,1097,1024,1063,1201,1118
50,Year Built: 1940-1949,OH,Vinton,346,284,266,169,240,356,391,422,501,506
51,Year Built: 1950-1959,OH,Vinton,365,335,364,292,378,496,479,495,326,304
52,Year Built: 1960-1969,OH,Vinton,363,455,459,466,532,986,882,1060,1018,1067
53,Year Built: 1970-1979,OH,Vinton,955,1130,1089,994,999,772,863,808,842,852
54,Year Built: 1980-1989,OH,Vinton,1168,1030,1019,997,839,1279,1236,1298,1356,1297
55,Year Built: 1990-1999,OH,Vinton,946,1040,1057,1247,1203,1207,1127,1035,1016,887
56,Year Built: 2000-2009,OH,Vinton,764,854,1159,1139,1178,98,100,104,96,103
57,Year Built: 2010-2013,OH,Vinton,244,289,0,19,75,51,52,80,114,167
58,Year Built: before 1940,OH,Vinton,1067,837,845,903,796,229,220,244,273,264
50,Year Built: 1940-1949,OH,Warren,2071,1958,1864,1939,1801,7233,7501,7168,6819,6460
