,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,OH,Tenure,OWNER,3071227.0,89136.0,1590.16,760.17,64.74,2.71
2,OH,Tenure,RENTER,1582848.0,38911.26,1069.04,440.09,16.23,3.92
3,OH,Year Built,1940-59,965579.493,59037.23,1265.49,719.06,48.08,3.44
4,OH,Year Built,1960-79,1250219.587,64246.89,1405.31,539.61,45.45,3.1
5,OH,Year Built,1980-99,993670.334,87384.53,1487.5,595.04,39.81,2.4299999999999997
6,OH,Year Built,2000-09,454022.069,103137.35,1572.63,672.05,34.08,2.21
7,OH,Year Built,2010+,108539.332,102473.91,1357.78,463.82,15.93,1.79
8,OH,Year Built,BEFORE 1940,882044.186,60358.82,1425.68,811.26,73.11,3.83
9,OH,Building Type,1 ATTACHED,211695.356,61469.85,1062.14,517.46,12.74,2.59
10,OH,Building Type,1 DETACHED,3328621.538,84377.27,1599.03,773.22,62.04,2.8899999999999997
11,OH,Building Type,MOBILE_TRAILER,142336.797,36444.8,1659.29,560.79,81.85,6.32
12,OH,Building Type,10-19 UNIT,170778.428,38874.83,796.48,175.65,2.8,2.5100000000000002
13,OH,Building Type,2 UNIT,166734.134,37170.75,1016.99,576.96,7.68,4.31
14,OH,Building Type,3-4 UNIT,186522.853,37402.98,897.71,347.03,4.03,3.34
15,OH,Building Type,5-9 UNIT,207105.347,38699.14,867.52,248.92,3.31,2.8899999999999997
16,OH,Building Type,BOAT_RV_VAN,1109.003,31414.19,620.82,392.82,71.46,3.45
17,OH,Building Type,50+ UNIT,150184.239,35774.85,555.84,86.06,1.58,1.7999999999999998
18,OH,Building Type,20-49 UNIT,88987.305,34292.9,622.5,137.98,1.64,2.22
19,OH,Heating Fuel,BOTTLED GAS,243009.0,75087.35,1861.29,1721.74,131.81,4.95
20,OH,Heating Fuel,ELECTRICITY,1097464.0,60571.13,1707.41,134.92,18.79,3.0700000000000003
21,OH,Heating Fuel,OTHER,37382.0,62677.43,1539.47,207.1,309.77,3.2800000000000002
22,OH,Heating Fuel,SOLAR,927.0,46679.27,659.13,190.01,23.04,1.87
23,OH,Heating Fuel,UTILITY GAS,3064269.0,76639.83,1249.99,788.87,13.77,2.68
24,OH,Heating Fuel,WOOD,85761.0,69510.26,1851.58,249.26,305.49,3.46
25,OH,Heating Fuel,COAL,3463.0,54018.51,925.83,164.62,556.24,3.05
26,OH,Heating Fuel,NONE,20286.0,39328.37,893.71,82.38,24.39,2.54
27,OH,Heating Fuel,FUEL OIL,101514.0,63523.24,1784.19,157.06,880.92,4.44
28,OH,Percent of FPL,0-100%,587813.973,9219.14,1116.48,520.12,29.16,18.07
29,OH,Percent of FPL,100-150%,399002.984,21006.55,1216.67,566.09,41.89,8.690000000000001
30,OH,Percent of FPL,150-200%,423550.811,30221.07,1306.1,614.41,55.87,6.54
31,OH,Percent of FPL,200-400%,1456068.607,53228.82,1438.33,650.3,57.82,4.03
32,OH,Percent of FPL,400%+,1787638.625,129355.97,1558.83,723.04,46.32,1.7999999999999998
