,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,OK,Adair,All Sectors,Ammonia,CAP,5433.524385651987,TON
1,OK,Adair,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
2,OK,Adair,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
3,OK,Adair,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
4,OK,Adair,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
5,OK,Adair,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
6,OK,Adair,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
7,OK,Adair,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
8,OK,Adair,All Sectors,Methane,GHG,636.0980759670491,TON
9,OK,Adair,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
10,OK,Alfalfa,All Sectors,Ammonia,CAP,5433.524385651987,TON
11,OK,Alfalfa,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
12,OK,Alfalfa,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
13,OK,Alfalfa,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
14,OK,Alfalfa,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
15,OK,Alfalfa,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
16,OK,Alfalfa,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
17,OK,Alfalfa,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
18,OK,Alfalfa,All Sectors,Methane,GHG,636.0980759670491,TON
19,OK,Alfalfa,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
20,OK,Atoka,All Sectors,Ammonia,CAP,5433.524385651987,TON
21,OK,Atoka,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
22,OK,Atoka,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
23,OK,Atoka,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
24,OK,Atoka,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
25,OK,Atoka,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
26,OK,Atoka,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
27,OK,Atoka,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
28,OK,Atoka,All Sectors,Methane,GHG,636.0980759670491,TON
29,OK,Atoka,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
30,OK,Beaver,All Sectors,Ammonia,CAP,5433.524385651987,TON
31,OK,Beaver,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
32,OK,Beaver,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
33,OK,Beaver,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
34,OK,Beaver,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
35,OK,Beaver,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
36,OK,Beaver,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
37,OK,Beckham,All Sectors,Ammonia,CAP,5433.524385651987,TON
38,OK,Beckham,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
39,OK,Beckham,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
40,OK,Beckham,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
41,OK,Beckham,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
42,OK,Beckham,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
43,OK,Beckham,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
44,OK,Blaine,All Sectors,Ammonia,CAP,5433.524385651987,TON
45,OK,Blaine,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
46,OK,Blaine,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
47,OK,Blaine,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
48,OK,Blaine,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
49,OK,Blaine,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
50,OK,Blaine,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
51,OK,Blaine,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
52,OK,Blaine,All Sectors,Methane,GHG,636.0980759670491,TON
53,OK,Blaine,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
54,OK,Bryan,All Sectors,Ammonia,CAP,5433.524385651987,TON
55,OK,Bryan,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
56,OK,Bryan,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
57,OK,Bryan,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
58,OK,Bryan,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
59,OK,Bryan,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
60,OK,Bryan,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
61,OK,Bryan,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
62,OK,Bryan,All Sectors,Methane,GHG,636.0980759670491,TON
63,OK,Bryan,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
64,OK,Caddo,All Sectors,Ammonia,CAP,5433.524385651987,TON
65,OK,Caddo,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
66,OK,Caddo,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
67,OK,Caddo,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
68,OK,Caddo,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
69,OK,Caddo,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
70,OK,Caddo,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
