,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,OK,All Sectors,Ammonia,CAP,5433.524385651987,TON
1,OK,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
2,OK,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
3,OK,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
4,OK,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
5,OK,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
6,OK,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
7,OK,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
8,OK,All Sectors,Methane,GHG,636.0980759670491,TON
9,OK,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
10,OK,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,2025.9084982646002,TON
11,OK,Agriculture - Fertilizer Application,Ammonia,CAP,255.1,TON
12,OK,Agriculture - Livestock Waste,Ammonia,CAP,4549.661100347,TON
13,OK,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,162.4101526448,TON
14,OK,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,732.8111,TON
15,OK,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,878.0060000000001,TON
16,OK,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,15875.226999999999,TON
17,OK,Commercial Cooking,Carbon Monoxide,CAP,2.37225007,TON
18,OK,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,1.26746547,TON
19,OK,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,29.252348769999998,TON
20,OK,Commercial Cooking,Volatile Organic Compounds,CAP,1.3603244,TON
21,OK,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,5.612057,TON
22,OK,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,339.6308797,TON
23,OK,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,241.7321,TON
24,OK,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,105.42715,TON
25,OK,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,1321.8727,TON
26,OK,Fires - Agricultural Field Burning,Ammonia,CAP,162.018,TON
27,OK,Fires - Agricultural Field Burning,Nitrogen Oxides,CAP,15.456,TON
28,OK,Fires - Agricultural Field Burning,PM10 Primary (Filt + Cond),CAP,24.27,TON
29,OK,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,72.98,TON
30,OK,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.141,TON
31,OK,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,77.95,TON
32,OK,Fires - Prescribed Fires,Carbon Monoxide,CAP,4393.440619,TON
33,OK,Fires - Prescribed Fires,Nitrogen Oxides,CAP,506.300132,TON
34,OK,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,1455.455798,TON
35,OK,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,2536.464305,TON
36,OK,Fires - Prescribed Fires,Sulfur Dioxide,CAP,109.925775,TON
37,OK,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,3674.9096919999997,TON
38,OK,Fires - Prescribed Fires,Carbon Dioxide,GHG,574631.520375,TON
39,OK,Fires - Prescribed Fires,Methane,GHG,544.563138,TON
40,OK,Fires - Wildfires,Ammonia,CAP,421.930661,TON
41,OK,Fires - Wildfires,Carbon Monoxide,CAP,970.3213740000001,TON
42,OK,Fires - Wildfires,Nitrogen Oxides,CAP,571.1032389999999,TON
43,OK,Fires - Wildfires,PM2.5 Primary (Filt + Cond),CAP,617.7480479999999,TON
