,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,OK,Adair,2.85,2.83,2.82,2.76,2.79,2.74,2.74,2.72,2.72,2.81
1,Avg household size of renter-occupied unit,OK,Adair,2.72,2.76,2.78,2.77,2.82,2.88,2.93,3.06,3.11,2.96
2,FIPS Code,OK,Adair,40001,40001,40001,40001,40001,40001,40001,40001,40001,40001
3,House Heating Fuel: Electric,OK,Adair,1910,2089,2286,2329,2430,2450,2229,2177,2310,2416
4,House Heating Fuel: Fuel Oil,OK,Adair,23,38,32,29,14,16,20,35,33,36
5,House Heating Fuel: Gas,OK,Adair,2243,2121,2146,2262,2105,2077,2144,2198,2099,2163
6,House Heating Fuel: Propane,OK,Adair,1730,1508,1259,1276,1353,1554,1564,1570,1541,1420
7,House Heating Fuel: Wood,OK,Adair,1149,1224,1371,1521,1669,1759,1803,1696,1503,1346
26,Median Number of Rooms,OK,Adair,5.3,5.3,5.3,5.4,5.3,5.3,5.3,5.2,5.2,5.3
27,Number of Rooms: 1,OK,Adair,15,19,29,71,79,107,125,129,101,98
28,Number of Rooms: 2,OK,Adair,74,62,64,51,60,70,81,83,86,103
29,Number of Rooms: 3,OK,Adair,628,616,591,632,623,574,632,545,521,493
30,Number of Rooms: 4,OK,Adair,1780,1820,1890,1784,1779,1746,1737,1783,1738,1614
31,Number of Rooms: 5,OK,Adair,2646,2529,2418,2352,2442,2666,2715,2824,2990,2978
32,Number of Rooms: 6,OK,Adair,2395,2397,2512,2553,2489,2319,2264,2210,2192,2319
33,Number of Rooms: 7,OK,Adair,889,932,912,878,880,900,953,962,965,995
34,Number of Rooms: 8,OK,Adair,376,444,419,486,526,495,429,434,429,415
35,Number of Rooms: 9+,OK,Adair,251,275,300,341,320,335,311,335,322,365
36,Owner-Occupied,OK,Adair,16210,15964,15819,15725,15607,15333,15116,14798,14434,15062
37,Renter-Occupied,OK,Adair,6081,6254,6405,6510,6628,6804,6939,7227,7562,7034
38,Total Housing Units,OK,Adair,9054,9094,9135,9148,9198,9212,9247,9305,9344,9380
39,Total Population,OK,Adair,22424,22506,22470,22427,22380,22236,22161,22136,22113,22220
40,Units in Structure: 1 ATTACHED,OK,Adair,129,197,188,218,194,160,102,78,75,76
41,Units in Structure: 1 DETACHED,OK,Adair,6502,6403,6400,6400,6484,6566,6679,6721,6621,6572
42,Units in Structure: 10-19,OK,Adair,50,36,35,44,28,30,18,22,28,40
43,Units in Structure: 2,OK,Adair,316,329,314,255,308,273,294,307,299,310
44,Units in Structure: 20-49,OK,Adair,36,30,24,29,39,58,60,51,52,37
45,Units in Structure: 3-4,OK,Adair,89,110,137,161,194,215,203,206,227,267
46,Units in Structure: 5-9,OK,Adair,66,68,57,54,40,30,38,53,72,84
47,Units in Structure: 50+,OK,Adair,3,0,6,6,6,11,11,6,8,10
48,"Units in Structure: Boat,RV,Van,Etc.",OK,Adair,13,25,11,13,14,21,17,18,18,12
49,Units in Structure: Mobile Home,OK,Adair,1850,1896,1963,1968,1891,1848,1825,1843,1944,1972
50,Year Built: 1940-1949,OK,Adair,373,354,345,277,331,710,636,619,664,587
51,Year Built: 1950-1959,OK,Adair,920,1046,940,795,766,945,1001,1070,1021,993
52,Year Built: 1960-1969,OK,Adair,1180,1099,992,1012,919,2202,1976,1953,1995,2033
53,Year Built: 1970-1979,OK,Adair,2347,2339,2330,2239,2209,1480,1518,1499,1381,1434
54,Year Built: 1980-1989,OK,Adair,1717,1491,1500,1599,1531,1609,1586,1574,1633,1634
55,Year Built: 1990-1999,OK,Adair,1310,1399,1505,1529,1602,1350,1464,1399,1367,1306
56,Year Built: 2000-2009,OK,Adair,401,420,936,1054,1214,195,244,295,247,233
57,Year Built: 2010-2013,OK,Adair,201,304,20,82,140,2,14,63,158,255
58,Year Built: before 1940,OK,Adair,605,642,567,561,486,315,338,314,371,392
0,Avg household size of owner-occupied unit,OK,Alfalfa,2.15,2.2,2.19,2.25,2.23,2.28,2.35,2.46,2.45,2.57
1,Avg household size of renter-occupied unit,OK,Alfalfa,2.47,2.3,2.33,2.36,2.34,2.26,2.31,2.39,2.39,2.38
2,FIPS Code,OK,Alfalfa,40003,40003,40003,40003,40003,40003,40003,40003,40003,40003
3,House Heating Fuel: Electric,OK,Alfalfa,431,445,515,500,526,582,661,620,669,645
4,House Heating Fuel: Fuel Oil,OK,Alfalfa,0,0,4,2,3,2,3,0,0,0
5,House Heating Fuel: Gas,OK,Alfalfa,1174,1206,1198,1148,1136,1117,1005,984,969,903
6,House Heating Fuel: Propane,OK,Alfalfa,388,338,280,308,299,284,289,298,237,276
7,House Heating Fuel: Wood,OK,Alfalfa,21,17,25,36,39,39,37,40,45,25
26,Median Number of Rooms,OK,Alfalfa,5.5,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.8,5.6
27,Number of Rooms: 1,OK,Alfalfa,22,21,28,32,36,22,23,22,22,17
28,Number of Rooms: 2,OK,Alfalfa,11,12,11,21,35,30,33,37,31,16
29,Number of Rooms: 3,OK,Alfalfa,111,99,73,81,92,95,97,95,78,95
30,Number of Rooms: 4,OK,Alfalfa,505,464,478,445,424,421,423,403,387,430
31,Number of Rooms: 5,OK,Alfalfa,768,732,736,686,640,670,657,632,624,705
32,Number of Rooms: 6,OK,Alfalfa,651,661,686,680,704,706,711,751,778,675
33,Number of Rooms: 7,OK,Alfalfa,343,390,366,374,355,345,328,323,322,328
